tail,S1c,n,p10,median,p90,sigma_from_1090,sigma_std,event_sigma,frac_below_ROI,frac_below_event
nest_skew,300,14904,4.299921228380162,4.454882009056139,4.632231730851836,0.12964673161348067,0.13193531503580025,,0.0061057434245840045,0.0
nest_skew,400,15794,4.411858123133597,4.595477749784939,4.811265732738553,0.1558238177297737,0.15894934943131045,,0.001329618842598455,6.331518298087882e-05
nest_skew,540,18278,4.565053983720851,4.781867595454436,5.022115737002063,0.17831685131133426,0.17397740148608826,4.569851723737242,0.0001641317430791115,0.0
gauss,300,14987,4.299875301343977,4.46975935262078,4.624333833416666,0.12658338485981932,0.12926580012614589,,0.0135450723960766,0.000867418429305398
gauss,400,16148,4.402761296157023,4.605915717866662,4.79214609921096,0.1519135467594947,0.15615058890384118,,0.005201882586078771,0.0007431260837255387
gauss,540,18583,4.562723081249292,4.7990371534343845,5.016592231538796,0.17707129770970054,0.18013154038218634,4.698961034783585,0.0015605661088091266,0.0004843136199752462
