bin_keV,efficiency,raw_per_tyr,helm_per_tyr,helm_per_2p84,helm_shape_min_per_tyr,helm_shape_max_per_tyr,skin_per_tyr,shell_per_tyr,ext1000_helm_per_tyr,exposure_for_1_event_helm_tyr,exposure_for_1_event_shell_tyr,exposure_for_1_event_helm_hardest_tyr
5.4-55,LZ600phd,0.03949782218883464,0.03685777008988966,0.10467606705528663,0.036802798371614855,0.03702653808956591,0.03694612404141568,0.037072802601767055,0.03685777008988966,27.131321226465264,26.97395205703535,27.00765590293737
55-125,LZ600phd,0.0007078075840419135,0.0006759562427600274,0.0019197157294384777,0.0005547994433214139,0.0007292764029985008,0.0005551836117950789,0.0005790530237476682,0.0006759562427600274,1479.3857009395385,1726.9575651776,1371.2222086007296
125-200,LZ600phd,0.00023559968037649212,0.00022499769475787306,0.0006389934531123595,0.00013326296815777884,0.0002598921884663529,0.00023092938498162302,7.964282993810439e-05,0.00022499769475955,4444.489980557938,12556.058100612006,3847.7493529185685
200-270,LZ600phd,3.3123011323362774e-05,3.1445153213096766e-05,8.930423512519481e-05,1.606703802925618e-05,3.738632542348926e-05,2.125359686707661e-05,4.277379963366865e-06,3.163247581381145e-05,31801.403326713782,233787.97501376693,26747.747703809244
270-420,ext1000phd,1.2613506993629195e-05,1.1537658179415214e-05,3.276694922953921e-05,4.7712317665195315e-06,1.44017607123769e-05,1.4576732085413167e-05,8.30170597035279e-06,1.1537658179415214e-05,86672.70120587721,120457.16911333875,69435.95439275686
