window,background,signal,KL_s_b,KL_b_s,N3sigma_var_null,N3sigma_var_signal,median_E_signal,median_E_bkg
LZ 200-270 keV (600 phd),atm Helm,O1 inelastic d=300,0.0024592684913213787,0.002640169981126637,1959.6056201840026,1583.7321487634315,214.0,214.0
LZ 200-270 keV (600 phd),atm Helm,O1 inelastic d=350,0.013600683480844741,0.013931299175755288,337.802720832456,314.31343155786794,217.0,214.0
LZ 200-270 keV (600 phd),atm Helm,O1 inelastic d=366,0.08827427638006287,0.09185893238124396,52.13631732792191,46.283587755752905,222.0,214.0
LZ 200-270 keV (600 phd),atm Helm,L10 (d10=1),0.23659498262703044,0.19208248549195012,14.756331571216664,27.556813704479715,227.0,214.0
LZ 200-270 keV (600 phd),atm shell,O1 inelastic d=300,0.05332262396991002,0.05264287349233067,84.53817548589456,87.4345047867218,214.0,210.0
LZ 200-270 keV (600 phd),atm shell,O1 inelastic d=350,0.1254928132985436,0.1156812264454578,32.24123804544106,41.15785210737762,217.0,210.0
LZ 200-270 keV (600 phd),atm shell,O1 inelastic d=366,0.2735882918009176,0.26026122949332126,14.867746192424562,17.26813189124293,222.0,210.0
LZ 200-270 keV (600 phd),atm shell,L10 (d10=1),0.4179097225073637,0.3594952614982876,8.383965724874683,13.204414078625106,227.0,210.0
ext 200-420 keV (1000 phd),atm Helm,O1 inelastic d=300,0.09377973101763692,0.0790720995904184,39.206407650885474,65.49854408443301,235.0,222.0
ext 200-420 keV (1000 phd),atm Helm,O1 inelastic d=350,0.39983480374666075,0.3646791113224569,9.136366500818086,12.11616340131814,319.0,222.0
ext 200-420 keV (1000 phd),atm Helm,O1 inelastic d=366,0.820330720931183,0.9330644615811938,4.8086611440010065,3.2153453808283103,337.0,222.0
ext 200-420 keV (1000 phd),atm Helm,L10 (d10=1),0.3569336179044006,0.2965761768414005,10.171774428572817,17.681194418141903,261.0,222.0
ext 200-420 keV (1000 phd),atm shell,O1 inelastic d=300,0.12789713749827614,0.13228765233721332,36.29682605452966,32.825557547316734,235.0,298.0
ext 200-420 keV (1000 phd),atm shell,O1 inelastic d=350,0.0850582407505706,0.08982044317238637,55.148278133326095,46.873007540524206,319.0,298.0
ext 200-420 keV (1000 phd),atm shell,O1 inelastic d=366,0.21516191660444545,0.2883631600049086,25.821174524628525,10.696090200042116,337.0,298.0
ext 200-420 keV (1000 phd),atm shell,L10 (d10=1),0.3215363607665511,0.25997773091037135,10.591875663821495,20.036796698739842,261.0,298.0
