window,signal,case,exposure_tyr,kappa_DL,sigma_n_DL_cm2,n_crit
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1.0,0.0025758837921062774,7.635545361581435e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1.1547819846894583,0.0022306187499884353,6.612095895833821e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1.333521432163324,0.0019316315414109738,5.725825171734468e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1.539926526059492,0.001672719285641877,4.958346343825935e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1.7782794100389228,0.0014485105092651633,4.293737059922947e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",2.053525026457146,0.0012543537079387145,3.71820913108908e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",2.371373705661655,0.0010862208448523011,3.219822477621638e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",2.7384196342643614,0.0009406237838350848,2.788237416480018e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",3.1622776601683795,0.0008145419234080971,2.4145001510362034e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",3.651741272548377,0.0007053595304554623,2.0908570128517092e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",4.216965034285822,0.0006108114734194013,1.8105936016836453e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",4.869675251658631,0.0005289362291831598,1.5678954864689093e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",5.623413251903491,0.0004580351887081828,1.3577275773462168e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",6.493816315762113,0.0003966374171677447,1.1757296661307848e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",7.498942093324558,0.0003434691374799134,1.0181259680921681e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",8.659643233600654,0.00029742730413582184,8.816467883611132e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",10.0,0.0002575567190777487,7.634606878325737e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",11.547819846894582,0.0002230302148659645,6.611157412578122e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",13.33521432163324,0.00019313149400821834,5.7248866884787695e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",15.39926526059492,0.0001672402684313087,4.957407860570238e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",17.78279410038923,0.00014481939079363733,4.29279857666725e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",20.53525026457146,0.0001254037106609924,3.717270647833381e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",23.71373705661655,0.00010859042435235111,3.218883994365941e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",27.384196342643612,9.403071825062946e-05,2.7872989332243208e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",31.622776601683793,8.142253220793069e-05,2.413561667780506e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",36.51741272548377,7.050429291266721e-05,2.0899185295960115e-42,1
