source,N_ROI_LZeff_per_2p84,N_ROI_LZeff_turnon1keV_per_2p84,N_all_raw_per_tyr,N_above_5p4_raw_per_tyr,N_above_55_raw_per_tyr,LZ600phd|5.4-55|per_tyr,LZ600phd|55-125|per_tyr,LZ600phd|125-200|per_tyr,LZ600phd|200-270|per_tyr,LZ600phd|270-420|per_tyr,ext1000phd|270-420|per_tyr
DSNB central (30 cm-2 s-1; <E> 9/11/13 MeV),0.00417642708782775,0.004326440699559251,0.01258401074114449,0.0014799363179974802,1.0505348097009005e-08,0.001286533374652965,1.0031341833749643e-08,1.2641170282931782e-12,1.480814907595203e-15,3.589996537552367e-20,4.165795341722681e-19
DSNB very hard (30; <E> 12/15/25 MeV),0.04003051654606541,0.04038821756858191,0.03958085375995944,0.014609941364293227,1.0934480858816582e-05,0.01326703787883032,1.0359908065537247e-05,8.11721206878307e-08,1.3346967230791275e-09,2.5337308188462723e-13,1.159348197873282e-11
"solar 8B (5.25e6; <E> 6.7, end 16.5 MeV)",0.051801401212113206,0.3812409565863697,356.06116703914785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"solar hep (8.0e3; <E> 9.6, end 18.77 MeV)",0.005198598787886974,0.01208267504192719,1.3574348507438079,0.00011870652923065829,0.0,5.9273982443577195e-05,0.0,0.0,0.0,0.0,0.0
