window,signal,s_unit_per_tyr,b_atm_per_tyr,kappa_LZ_bestfit,exposure_single_event_3sigma_atm,exposure_single_event_3sigma_atm_max,exposure_single_event_3sigma_allNR,kappa_DL_10tyr_nobkg,kappa_DL_10tyr_atm,kappa_DL_100tyr_nobkg,kappa_DL_100tyr_atm,kappa_DL_100tyr_atm_max,kappa_DL_100tyr_allNR,exposure_atm_changes_DL_10pct,exposure_atm_changes_DL_x2,exposure_atm_max_changes_DL_10pct,exposure_allNR_changes_DL_10pct,exposure_DL_reaches_LZ_bestfit_nobkg,kappa_floor_25pct_norm,kappa_floor_shape_FF_bracket,floor_over_LZ_bestfit_25pct,floor_over_LZ_bestfit_bracket,exposure_floor_equals_1_event
LZ 200-270 keV (600 phd),O1 inelastic d=300,893.8887906732991,3.144515321309676e-05,7.3761122772685e-05,42.95913376316636,36.13236999846906,6.730583477825445,0.00025759189700316987,0.0002575567190777487,2.575918970031699e-05,4.347940924081461e-05,4.3472762807530764e-05,4.3290057865224006e-05,48.69675251658631,1778.2794100389228,36.51741272548377,7.498942093324558,34.99848407397619,2.6383444065853673e-08,1.1812312709513725e-07,0.00035768766897924595,0.0016014279969566874,42401.87110228505
LZ 200-270 keV (600 phd),O1 inelastic d=350,49.11706112863105,3.144515321309676e-05,0.0037497795761402422,42.95913376316636,36.13236999846906,6.730583477825445,0.004687953717271237,0.004687313508910017,0.0004687953717271238,0.0007912883151472967,0.0007911673557072595,0.0007878422809536842,48.69675251658631,1778.2794100389228,36.51741272548377,7.498942093324558,12.533820311133129,4.801562709148978e-07,2.1497405749317383e-06,0.00012804919893695104,0.000573297851588527,42401.87110228505
LZ 200-270 keV (600 phd),O1 inelastic d=366,6.095162133768971,3.144515321309676e-05,0.045737929192246646,42.95913376316636,36.13236999846906,6.730583477825445,0.03777725747830487,0.03777209844356174,0.003777725747830487,0.006376492649823644,0.006375517914110302,0.006348723237226517,48.69675251658631,1778.2794100389228,36.51741272548377,7.498942093324558,8.278077653266397,3.869276057344085e-06,1.7323401234009383e-05,8.459666027031222e-05,0.00037875351026924045,42401.87110228505
LZ 200-270 keV (600 phd),L10 (d10=1),0.40804232641361504,3.144515321309676e-05,0.30091916440420025,42.95913376316636,36.13236999846906,6.730583477825445,0.5643005501983177,0.5642234867390206,0.05643005501983178,0.09524932593895832,0.09523476575285555,0.09483451830459678,48.69675251658631,1778.2794100389228,36.51741272548377,7.498942093324558,18.798367918074224,5.779759447287489e-05,0.00025876957461170257,0.0001920701680376863,0.0008599305236143699,42401.87110228505
ext 200-420 keV (1000 phd),O1 inelastic d=300,1622.986883139983,4.317013399322666e-05,7.3761122772685e-05,31.291460510561116,25.970880204716636,1.109638423665853,0.00014187330266891916,0.00014184670348044653,1.4187330266891916e-05,2.393983091810973e-05,2.3934381618077415e-05,3.204327741999945e-05,31.622776601683793,1333.521432163324,27.384196342643612,1.1547819846894583,19.283352167958125,1.9949391354463225e-08,8.551228458496653e-08,0.00027045943180586756,0.001159313760020925,30885.55003193948
ext 200-420 keV (1000 phd),O1 inelastic d=350,146.69036712054174,4.317013399322666e-05,0.0037497795761402422,31.291460510561116,25.970880204716636,1.109638423665853,0.0015696907289773929,0.0015693964347109006,0.0001569690728977393,0.00026487105000393856,0.00026481075877522086,0.0003545278396006693,31.622776601683793,1333.521432163324,27.384196342643612,1.1547819846894583,4.188101127198991,2.2072069986922823e-07,9.461106339360937e-07,5.8862313207333245e-05,0.0002523109998134752,30885.55003193948
ext 200-420 keV (1000 phd),O1 inelastic d=366,38.209004488880055,4.317013399322666e-05,0.045737929192246646,31.291460510561116,25.970880204716636,1.109638423665853,0.006026289153029793,0.006025159311135959,0.0006026289153029793,0.001016881546233134,0.0010166500787402472,0.001361088037784652,31.622776601683793,1333.521432163324,27.384196342643612,1.1547819846894583,1.3185744339891583,8.473814203754727e-07,3.6322672648831942e-06,1.8526886445027735e-05,7.941477301291824e-05,30885.55003193948
ext 200-420 keV (1000 phd),L10 (d10=1),0.7817391560844423,4.317013399322666e-05,0.30091916440420025,31.291460510561116,25.970880204716636,1.109638423665853,0.29454647052952837,0.2944912473343523,0.029454647052952834,0.04970204097143134,0.04969072755261906,0.06652579513345641,31.622776601683793,1333.521432163324,27.384196342643612,1.1547819846894583,9.800640178621398,4.141739638205178e-05,0.00017753404719277318,0.00013763628668867086,0.0005899725514135289,30885.55003193948
ext 55-420 keV (1000 phd),O1 inelastic d=300,5497.676845411991,0.000944124071512804,7.3761122772685e-05,1.4308040477351223,1.2974248661660397,0.03041440148305127,4.188287448935154e-05,7.058033853682283e-05,4.1882874489351544e-06,9.509303798105231e-06,9.491649287090636e-06,2.6404713695292497e-05,1.539926526059492,56.23413251903491,1.333521432163324,1.0,5.682029140333891,1.287985950330151e-07,2.794666739586928e-07,0.0017461582767651607,0.0037888072124382583,1412.243764950178
ext 55-420 keV (1000 phd),O1 inelastic d=350,190.80736540403453,0.000944124071512804,0.0037497795761402422,1.4308040477351223,1.2974248661660397,0.03041440148305127,0.0012067590200820196,0.0020336106632654442,0.00012067590200820196,0.0002739887907163882,0.0002734801164510291,0.0007607912974688188,1.539926526059492,56.23413251903491,1.333521432163324,1.0,3.2219124533096473,3.7110362701943722e-06,8.05219158722539e-06,0.000989667844426805,0.002147377312112235,1412.243764950178
