E_keV,eff_LZ,eff_ext1000,atm_helm_anchored_per_tyr_keV,atm_helm_skin+0.15fm_anchored_per_tyr_keV,atm_shell(WimPyDD)_anchored_per_tyr_keV,atm_helm_shape_min,atm_helm_shape_max,F2_helm_nat,F2_skin_nat,F2_shell_nat,DSNB_central_per_tyr_keV,DSNB_veryhard_per_tyr_keV,B8_per_tyr_keV,hep_per_tyr_keV,signal_O1_inelastic_d=300_LZbestfit_per_tyr_keV,signal_O1_inelastic_d=350_LZbestfit_per_tyr_keV,signal_O1_inelastic_d=366_LZbestfit_per_tyr_keV,signal_L10_(d10=1)_LZbestfit_per_tyr_keV
0.5,1.3650143793064727e-11,1.3650143793064727e-11,0.005635704077866599,0.005629592146275493,0.005635704077866599,0.005133777244327376,0.006625481702005684,0.9762216324823589,0.9751633000795539,0.9762216324823589,0.007464108217284587,0.009876307323457267,609.7049013250316,1.5402843695933752,0.0,0.0,0.0,0.0
0.75,1.296710117060229e-10,1.296710117060229e-10,0.005471533799602971,0.005462621377381525,0.005471533799602971,0.004997827495259023,0.006357687517706589,0.9645214152696586,0.9629508909893264,0.9645214152696586,0.006086711158175924,0.00894773341723423,379.6076991765986,1.1302747137483808,0.0,0.0,0.0,0.0
1.0,1.1005218633619584e-09,1.1005218633619584e-09,0.005310402863991295,0.005298854517875344,0.005310402863991295,0.004864319683490435,0.006095263296118452,0.9529455778317276,0.9508739611363548,0.9529455778317276,0.005053687455630044,0.008169500017843997,246.17639415141673,0.84707019795107,0.0,0.0,0.0,0.0
1.25,8.346729423736044e-09,8.346729423736044e-09,0.00515226733914534,0.005138243417870571,0.005147108637272413,0.004733219009974869,0.005838128680432763,0.9414929346839755,0.9389311648281866,0.9405502659430504,0.004251570766791073,0.007502374104188035,163.6789099006255,0.643343173684069,0.0,0.0,0.0,0.0
1.5,5.658802504998617e-08,5.658802504998617e-08,0.004997083824597079,0.004980740533264585,0.004987077175489699,0.0046044910932980495,0.0055862043040803225,0.9301623106087765,0.9271211685024586,0.928299662676125,0.0036136083571604092,0.006921439530277145,110.46199855223998,0.4927492706161934,0.0,0.0,0.0,2.1936609174015422e-05
1.75,3.430619221786446e-07,3.430619221786446e-07,0.00484480944570515,0.0048262989191123675,0.004830256865695385,0.004478101965305204,0.0053425665420679955,0.9189525405736775,0.9154426506264655,0.9161922399835832,0.0030970178242955334,0.0064095748632772235,75.0963306913547,0.3792493616137987,0.0,0.0,0.0,3.3029250061716e-05
2.0,1.8605201812263438e-06,1.8605201812263438e-06,0.0046954018481159335,0.004674872223064872,0.0046765967848584515,0.004354018066769148,0.0051237621036240195,0.9078624696502353,0.903894301597478,0.9042264845475507,0.0026727604837046806,0.005954376189397953,51.0904292430203,0.292473377094816,0.0,0.0,0.0,4.412189094941657e-05
2.25,9.030558584166014e-06,9.030558584166014e-06,0.004548819192276685,0.00452641467887162,0.004525970962557763,0.004232206243098927,0.004934060849828522,0.896890952933455,0.8924748236438631,0.8923859661095692,0.0023203239322750493,0.0055465271313562565,34.55828044577731,0.22542711204164417,0.0,0.0,0.0,5.5214531837117156e-05
2.5,3.925138606619499e-05,3.925138606619499e-05,0.004405020148000234,0.004380881099946662,0.004378410348695133,0.004112633740088671,0.004759059412408817,0.8860368554618213,0.8811829307269443,0.8806844933593534,0.0020247377926769275,0.0051788153182651345,23.07385399688822,0.17322884360156784,0.0,0.0,0.0,6.630717272481774e-05
2.75,0.00015287749236362336,0.00015287749236362336,0.004264021637954461,0.004238284258150928,0.004233923246197181,0.00399530875725134,0.004587576293826474,0.8752990521379189,0.8700173484436159,0.8691205905791118,0.0017748010888075352,0.004845528046277864,15.072229511124037,0.13238052777860895,0.0,0.0,0.0,7.739981361251831e-05
3.0,0.0005339812031174892,0.0005339812031174892,0.00412928174235974,0.004102055167637137,0.004095931253844824,0.00388053329838087,0.004434515070438454,0.8646764276496512,0.8589768139297178,0.8576927963382724,0.0015619781705123958,0.004542067823016171,9.517545190486127,0.10032524660705655,0.0,0.0,0.0,8.849245450021889e-05
3.25,0.0016742505991944217,0.0016742505991944217,0.004003806103330859,0.00397516821892723,0.0039673935671251616,0.00377239400995733,0.00429391666692866,0.8541678763920284,0.8480600757641463,0.8463996633661793,0.0013796380891046153,0.004264666050117489,5.707306880545968,0.07515620272113904,0.0,0.0,0.0,9.958509538791946e-05
3.5,0.004717773016876714,0.004717773016876714,0.0038863923218882893,0.003856415292208233,0.003847091655994474,0.0036707392977333828,0.004162418128585055,0.843772302389554,0.8372658938737072,0.8352397584258621,0.0012225553570988517,0.004010192398173414,3.155933021462383,0.05542971278683026,0.0,0.0,0.0,0.00011067773627562003
3.75,0.011964723826801037,0.011964723826801037,0.0037760198352782006,0.0037447712094431994,0.0037339916984208375,0.003574764439360705,0.0040388729595951765,0.833488619219171,0.8265930394387024,0.824211662188828,0.0010865768593578654,0.0037760308796657115,1.5228855128099377,0.04004174281688043,0.0,0.0,0.0,0.00012177037716332063
