E_keV,theta12_deg,theta8_deg,theta16_deg,theta77_deg,P_8_16,P_10_14,P_60_95,P_150_260,mu_tot_cm,lambda_cm,f_compton,P_int_3mm
242.0,27.14794007357869,21.90407782702979,31.732970020852207,89.1633098267513,0.0819142674046823,0.04095361835300171,0.23834313604109728,0.0,0.623723677171383,1.603274072478775,0.43328239422001863,0.17065338840312771
295.0,22.096772344905393,17.877378630580484,25.754730716825463,67.15945190119582,0.06129956819310619,0.030648995905409752,0.18038113283299448,0.07904652041248049,0.45570749824024487,2.194390050331823,0.5528142265081758,0.12777882787179495
352.0,18.420417462463735,14.930404118208363,21.4289480078453,53.592551196651854,0.047014984499963774,0.023507302834437655,0.15295678885053,0.3061925219197729,0.35922056366937805,2.783804996532401,0.6564065470226956,0.10216248595990185
500.0,12.872328363976477,10.459919837653066,14.935863313200334,35.515091111709296,0.027522280795656103,0.013761130972339625,0.1042442210260317,0.2742973801171279,0.2520286931083079,3.967802188182818,0.8127594147396527,0.07282097393162568
609.0,10.537916675021059,8.571401132663405,12.21502693574396,28.53153196663214,0.020351126629557348,0.010175559263547506,0.08097952727003652,0.21497817367806354,0.21579395922026265,4.634050015178098,0.8724061318790787,0.06268716877792468
1000.0,6.386820073560567,5.203386287139087,7.391137244682538,16.789863975242884,0.009597985153233958,0.004798990086875522,0.04061304557088255,0.12000904682184461,0.15762275232292067,6.344261759566961,0.9491951518293879,0.0461862199501768
1173.0,5.439215359680127,4.432910926538715,6.2923117306048,14.211916913520666,0.007565979731725778,0.0037829880179601344,0.032318113018954826,0.09726406622639833,0.1443959957959059,6.925399797189898,0.956906003435764,0.04239394220362047
1461.0,4.361981943115981,3.556349647457262,5.044160246557335,11.321569632752007,0.005475708403929876,0.002737853078936427,0.023594778634071674,0.07219757600822573,0.1306962824934935,7.65132703793456,0.9431285144989052,0.03845016492770281
1764.0,3.6098883597152787,2.9439394753071952,4.173338882904761,9.327513161959121,0.004165206113426042,0.002082602363648046,0.018035706421503667,0.05568545219019246,0.12181552964836286,8.20913394939575,0.9133349641677417,0.03588496337682889
2615.0,2.432192563014585,1.9843030096497618,2.8106852049310067,6.24203438830413,0.002381832351927886,0.0011909159469559566,0.010372509393125933,0.03235034516363614,0.11040259075668132,9.057758456084802,0.8027815711659134,0.03257828997868961
