label,n_emitted,source,E_keV,mode,att_scale,angular,shell_cm,P_wall12,err_wall12,n_wall12,P_wall12_pos,err_wall12_pos,n_wall12_pos,f_pos_wall12,f_near_wall12,P_rfr12,err_rfr12,n_rfr12,P_rfr12_pos,err_rfr12_pos,n_rfr12_pos,f_pos_rfr12,f_near_rfr12,P_mixed12,err_mixed12,n_mixed12,P_mixed12_pos,err_mixed12_pos,n_mixed12_pos,f_pos_mixed12,f_near_mixed12,P_ss_roi,err_ss_roi,n_ss_roi,P_ss_roi_pos,err_ss_roi_pos,n_ss_roi_pos,f_pos_ss_roi,f_near_ss_roi,P_wall_roi,err_wall_roi,n_wall_roi,P_wall_roi_pos,err_wall_roi_pos,n_wall_roi_pos,f_pos_wall_roi,f_near_wall_roi,P_rfr_roi,err_rfr_roi,n_rfr_roi,P_rfr_roi_pos,err_rfr_roi_pos,n_rfr_roi_pos,f_pos_rfr_roi,f_near_rfr_roi,P_wall_any,err_wall_any,n_wall_any,P_wall_any_pos,err_wall_any_pos,n_wall_any_pos,f_pos_wall_any,f_near_wall_any,P_rfr_any,err_rfr_any,n_rfr_any,P_rfr_any_pos,err_rfr_any_pos,n_rfr_any_pos,f_pos_rfr_any,f_near_rfr_any,P_beta_8_16,standoff
bottom_1120_forced12,125000,bottom,1120.0,forced12,1.0,lambert,0.3,4.4960201754918583e-10,2.6898189413568396e-11,2328,4.919009326141459e-13,8.658928154345649e-14,435,0.001094080794600377,0.4289639263007398,3.474090898048997e-08,1.693562674457504e-09,10271,2.985165986872771e-11,6.581086311641924e-12,3017,0.0008592653659549323,0.43877144781494565,1.7109274846140443e-10,3.608302794968759e-11,394,1.1295808105762137e-13,5.23109245654818e-14,70,0.0006602154800447477,0.4128086192923291,1.6086237002938118e-07,1.8491610598516905e-09,79260,2.0429118019246514e-10,8.670759907950808e-12,24552,0.0012699749491142756,0.42145772238574475,1.041451408334947e-09,4.029678406508538e-11,5568,1.485737463110529e-12,1.9998106179756602e-13,1053,0.0014266027691929458,0.4013180132479165,8.665917167309801e-08,2.738524968677646e-09,21096,7.911967749917361e-11,8.845023627668945e-12,6411,0.0009129983124883143,0.41364016381456764,1.4694179731783363e-07,4.0614701460205875e-08,503114,3.217407935239338e-10,1.4296184499675685e-10,78543,0.0021895798159322338,0.43005333512003885,0.0006625213872957914,1.2265488752358555e-05,275285,3.58164816453403e-05,1.1248903688629078e-06,78076,0.05406086857291079,0.04626041182360469,,
bottom_1120_general,50000,bottom,1120.0,general,1.0,lambert,0.3,2.8149151165842257e-11,2.5356478400356653e-11,5,1.5027707563279482e-16,1.5027707563279482e-16,1,5.338600611699772e-06,0.0,1.4495032290899257e-08,4.802065980955475e-09,60,4.8851099852216745e-11,4.8546463922804213e-11,13,0.003370196000383389,0.4218294026953376,2.3310452008769374e-12,2.3213116788465806e-12,2,0.0,0.0,0,0.0,0.0041843954873085525,1.560967767940433e-06,1.1172817443134422e-07,2345,4.0104070993098335e-09,1.1067974294095492e-09,699,0.0025691799546900523,0.4181011129503599,9.717935919499717e-09,2.365317957429229e-09,135,1.2845934341067186e-12,7.172376151721105e-13,19,0.00013218788894554163,0.3374185389387272,7.122182470430095e-07,1.4468218997148998e-07,591,4.949640952050943e-10,1.7013451715537358e-10,190,0.0006949612668028208,0.40325161888004013,1.063578807172139e-06,4.732682250890902e-08,170497,2.0063616824813575e-09,4.0485586254347445e-10,32401,0.001886425029298868,0.44188821920843774,0.0006972110379035508,2.0691765021266705e-05,195227,3.332986717781529e-05,1.6800176908241343e-06,34491,0.047804560406896485,0.05726542573232534,,
bottom_1173_forced12,125000,bottom,1173.0,forced12,1.0,lambert,0.3,4.6245478164724037e-10,2.8241536744792227e-11,2109,5.40888385933558e-13,1.1657720497185096e-13,406,0.001169602753391242,0.4399499878668217,4.010862566665767e-08,1.9154048801693814e-09,9925,2.7130796493843177e-11,4.873412224447194e-12,2983,0.000676432962807724,0.4427157348902208,1.2867649328230266e-10,2.6474590836431297e-11,287,7.122182956929507e-14,2.809498080990694e-14,64,0.0005534952636068647,0.5480520308372563,1.8562125956757246e-07,2.0476385004936458e-09,79788,2.750615368158353e-10,1.1669163548540377e-11,24333,0.0014818428527886567,0.4041265982688595,1.1320102253412548e-09,4.317674806190595e-11,5086,1.4127698487032807e-12,1.9224293941094582e-13,996,0.00124801862834533,0.4121133016088124,9.459439234037656e-08,2.9210712858021373e-09,19770,1.1295433479096246e-10,1.7303810337883864e-11,6154,0.0011940912351814873,0.4160666922863531,2.4111246715689736e-07,7.867095077905159e-08,517650,1.8466800942150506e-10,8.207318816147938e-11,80524,0.0007658998790026788,0.6343201759996209,0.0007131809512693411,1.2933724203257597e-05,282247,3.533591379391017e-05,1.1135928885918592e-06,79528,0.04954691194572462,0.043602895197629096,,
bottom_1173_general,50000,bottom,1173.0,general,1.0,lambert,0.3,3.191169943893766e-11,2.552697019221403e-11,5,1.2378727216333135e-13,1.2346769427109797e-13,2,0.0038790560935244326,0.7677128966137475,4.475058285508191e-08,3.2165631771993395e-08,48,5.391818514825106e-12,4.522566001300993e-12,16,0.00012048599528380906,0.17448302642866878,0.0,0.0,0,0.0,0.0,0,,,1.8104216900879438e-06,1.2855759027199504e-07,2189,2.7906929253051185e-09,7.019640701402891e-10,654,0.0015414601695197083,0.40622526920306784,7.740985943651621e-09,2.0923148503034807e-09,116,2.309440895806251e-11,1.2035864525371058e-11,22,0.0029833937338437128,0.6703271670485504,7.299127856065557e-07,1.44821901954749e-07,477,9.175569123309437e-10,4.2038798108759845e-10,154,0.0012570774624374556,0.5796965932994068,1.3992413952777152e-06,5.951725292131263e-08,175978,1.7709759117832478e-09,1.6160762427827826e-10,33900,0.001265668609976874,0.45013470611119766,0.000713899291882327,1.9918335588473095e-05,198250,3.4817947758486806e-05,1.6957885790208217e-06,35649,0.04877151182862624,0.05945428665597162,,
bottom_1332_forced12,125000,bottom,1332.0,forced12,1.0,lambert,0.3,4.0174045335410436e-10,2.59331163465668e-11,1761,3.8385825277196714e-13,6.714021053812718e-14,335,0.0009554881754305799,0.3957806934003506,4.019310368351323e-08,1.874004313168867e-09,8104,6.066233233073998e-11,1.264616655588023e-11,2540,0.0015092721579404431,0.4149262622175972,8.035576027677103e-11,2.5129420793092812e-11,180,3.698712816805163e-14,1.6055809249865823e-14,31,0.00046029218117850027,0.6640911005335016,2.0811733514033775e-07,2.2369559925427274e-09,78896,4.152158433657701e-10,1.5207198524977177e-11,24396,0.0019951045552538023,0.397886291582812,1.0086603901638436e-09,4.174124119730267e-11,4229,1.4803854584040158e-12,2.0599963236993583e-13,851,0.0014676748218134619,0.42838477001040787,8.835555126020065e-08,2.728268160001673e-09,16403,1.4267051364133253e-10,1.734219963752973e-11,5150,0.0016147317469751084,0.4048699048418187,2.497102810954488e-07,1.3503278156229802e-07,529762,1.5168018019569159e-10,6.049545504689736e-11,86717,0.0006074246504000114,0.743878882043946,0.00077761024803366,1.3448133677427437e-05,299207,4.4158796912877965e-05,1.2511510961296105e-06,84562,0.05678782786690652,0.04733005930649272,,
bottom_1332_general,50000,bottom,1332.0,general,1.0,lambert,0.3,5.678052417357187e-11,3.83005995955292e-11,5,5.443613936499792e-15,5.303911841754224e-15,2,9.587114623773563e-05,0.0,1.3888842983223382e-08,7.609596504729023e-09,30,1.755042522340369e-13,8.905691372302108e-14,10,1.263634792660786e-05,0.467123624179047,3.899190750859487e-12,3.899190750859487e-12,1,0.0,0.0,0,0.0,1.0,1.5324170590846382e-06,1.1841203372185691e-07,1801,3.6722389079967373e-09,7.808842156295066e-10,568,0.0023963704177179307,0.38330936256902953,6.555973334359614e-09,1.97372440686207e-09,76,4.73950226000866e-12,4.453901229372807e-12,11,0.0007229288495072278,0.5659380941525463,5.952698394334922e-07,1.1759631873311816e-07,316,1.9969175263820362e-09,1.458589813902048e-09,96,0.0033546425404022942,0.3660750261297826,1.942457806183694e-06,1.6137331744661838e-07,187530,3.4529099932804056e-09,6.138391933274895e-10,37273,0.0017775984540247315,0.42853166659455727,0.000781358200856441,1.9785005835999128e-05,219705,4.491968686500167e-05,2.02736373997299e-06,38524,0.057489237094799195,0.05752793826471628,,
bottom_1461_forced12,125000,bottom,1461.0,forced12,1.0,lambert,0.3,3.063372495463542e-10,2.2078448909897842e-11,1470,5.209842288629599e-13,1.1589990060308834e-13,304,0.001700688472049906,0.33712734945217365,4.2302230290653365e-08,2.0520066925477053e-09,7127,7.394169414581369e-11,9.883266810086162e-12,2212,0.0017479384334530238,0.39856720295948084,7.949823146557639e-11,2.324744755603424e-11,155,8.410503795833023e-14,4.4374879413269e-14,32,0.001057948540587958,0.2381869803120495,2.153272084881786e-07,2.2561855020081357e-09,79367,4.98838826097501e-10,1.7351806336302132e-11,24587,0.002316654869581366,0.4000641076240492,8.404025536250505e-10,3.6702571611597025e-11,3704,1.529537847068187e-12,2.1968447174470182e-13,778,0.0018200061868810045,0.42570940713401334,8.217451825312302e-08,2.7105492668578897e-09,14304,1.8708888807466386e-10,1.9351352863923576e-11,4446,0.002276726314334719,0.38264679020159753,1.3444420146036616e-07,1.913391559583295e-08,540602,5.223383432154215e-10,2.5516356191060334e-10,90284,0.0038851682522686227,0.33386449812663765,0.0008574273150954069,1.4344843077448256e-05,309278,5.429443972277452e-05,1.622718216186676e-06,88184,0.06332249832364288,0.048939501355226005,,
bottom_1461_general,50000,bottom,1461.0,general,1.0,lambert,0.3,3.6663848216901857e-11,3.5990578687653306e-11,3,0.0,0.0,0,0.0,0.001755892896344828,1.3906887851263087e-07,1.0367478873731721e-07,22,5.00073631395176e-13,3.968368446121916e-13,9,3.595870166952968e-06,0.8276472250441408,3.336135860791814e-14,3.336135860791814e-14,1,3.336135860791814e-14,3.336135860791814e-14,1,1.0,0.0,1.8308878132537989e-06,1.470388628453154e-07,1544,5.570249729687433e-09,1.5569238850048715e-09,488,0.0030423763211292303,0.418136116883825,4.302826100352458e-09,1.6944064810432333e-09,50,7.822492666602972e-13,6.772346565028788e-13,13,0.00018179894990323235,0.659153996906691,6.176897219185485e-07,1.4699378082671127e-07,243,9.132420317602521e-10,6.494534603718449e-10,81,0.0014784802132107946,0.51278068002854,2.0352114445427207e-06,6.836399537516763e-08,194311,5.921077743885152e-09,8.51644978604418e-10,38457,0.0029093182233040776,0.377001665258778,0.0009048638359433874,2.2725634167238718e-05,229845,5.4462937848314506e-05,2.3603238707174154e-06,41660,0.06018909772378389,0.053213690417055384,,
bottom_1764_forced12,125000,bottom,1764.0,forced12,1.0,lambert,0.3,3.5729290858065635e-10,2.6173517296370923e-11,1139,1.3329813297960833e-12,2.786040649592001e-13,232,0.0037307802583917563,0.4126360395400085,4.2472901607893613e-08,2.0149819622098672e-09,5352,1.4478100817634142e-10,2.3172435436871608e-11,1639,0.003408785430130203,0.3742314754380122,2.883103076775137e-11,6.920283816068978e-12,88,9.970356351423038e-14,6.119691695388873e-14,20,0.0034582032226802206,0.2994824241283945,3.276783715547003e-07,3.1451607336348356e-09,79366,1.2069888499194757e-09,3.7735641220964487e-11,24418,0.003683455957720999,0.3700571756616114,8.956127275332468e-10,4.20814554975616e-11,2766,2.627083771643344e-12,3.764893573593607e-13,576,0.0029332809716528085,0.3820138349420213,8.452471244829528e-08,2.7629824302064297e-09,10861,3.573012917537785e-10,4.236177285920144e-11,3440,0.004227181393516645,0.3670676155109197,2.3466866451633767e-07,3.073378023759156e-08,579024,4.316971895031826e-10,1.1957000285234835e-10,99396,0.0018396030436911093,0.4584515497952994,0.0010418804629415974,1.5512548667971228e-05,332644,8.186652626161331e-05,2.2431912281429604e-06,95208,0.07857573797907212,0.04841741596923654,,
bottom_1764_general,50000,bottom,1764.0,general,1.0,lambert,0.3,4.4996902082851367e-13,4.4996902082851367e-13,1,0.0,0.0,0,0.0,0.0,5.513436541545702e-09,2.908187320741916e-09,9,7.484664874059668e-11,7.467198813258791e-11,3,0.013575316987254794,0.0,0.0,0.0,0,0.0,0.0,0,,,3.1182171387181024e-06,2.4956793401031914e-07,1188,9.837880251940694e-09,1.8538231952322731e-09,357,0.0031549695913688173,0.39881760346083955,6.6481819516289026e-09,2.8158963168579606e-09,37,1.866721285494102e-11,1.7014241152815095e-11,10,0.0028078673223387446,0.5852350380255436,4.5196699187320196e-07,1.1874193265475715e-07,122,1.0455524683730167e-10,7.553692463179605e-11,29,0.00023133381135637078,0.48964480964800644,3.241537925846716e-06,1.0853931284952955e-07,213270,1.0725448368341198e-08,8.044663830089003e-10,44278,0.0033087530097429363,0.4284572516429525,0.001059845441286086,2.4318134192038646e-05,251264,8.484210140668361e-05,3.571726358876265e-06,45230,0.08005139061005974,0.05557290634035428,,
