composition,H1,H2,rho_H1,rho_H2,N_tot_reject_H2_when_H1,N_tot_reject_H1_when_H2,exposure_per_det_H1_tyr,exposure_per_det_H2_tyr
136-enriched 90%,O1_d366_jun,L10,1.004,0.1064,9,14,12.75,35.94
136-enriched 90%,O1_d380_jun,L10,3.095,0.1064,5,5,3.467,12.83
136-enriched 90%,O1_d350_jun,L10,0.6897,0.1064,14,22,23.53,56.47
136-enriched 90%,O1_d300_jun,L10,0.5141,0.1064,23,33,43.14,84.71
136-enriched 90%,O1_d366_jun,O1_el,1.004,0.4131,49,53,69.44,106.5
134+136 enriched 90%,O1_d366_jun,L10,1.097,0.1211,9,13,12.19,32.93
134+136 enriched 90%,O1_d380_jun,L10,2.677,0.1211,5,6,3.862,15.2
134+136 enriched 90%,O1_d350_jun,L10,0.8193,0.1211,15,20,23.42,50.67
134+136 enriched 90%,O1_d300_jun,L10,0.6529,0.1211,17,23,29.21,58.27
134+136 enriched 90%,O1_d366_jun,O1_el,1.097,0.5533,82,80,111,146.3
129-enriched 80%,O1_d366_jun,L10,0.9495,2.198,54,56,78.66,49.73
129-enriched 80%,O1_d380_jun,L10,0.3454,2.198,13,13,27.44,11.54
129-enriched 80%,O1_d350_jun,L10,1.161,2.198,97,100,127.5,88.81
129-enriched 80%,O1_d300_jun,L10,1.306,2.198,142,152,174.9,135
129-enriched 80%,O1_d366_jun,O1_el,0.9495,1.4,243,246,354,291.1
136-depleted (0.1%),O1_d366_jun,L10,0.9996,1.1,3981,3957,5654,5352
136-depleted (0.1%),O1_d380_jun,L10,0.766,1.1,280,278,450.3,376
136-depleted (0.1%),O1_d350_jun,L10,1.035,1.1,9678,9681,1.351e+04,1.309e+04
136-depleted (0.1%),O1_d300_jun,L10,1.054,1.1,inf,inf,inf,inf
136-depleted (0.1%),O1_d366_jun,O1_el,0.9996,1.066,8872,8825,1.26e+04,1.213e+04
even-A only (idealised),O1_d366_jun,L10,0.9825,0.004034,4,10,5.73,28.29
even-A only (idealised),O1_d380_jun,L10,1.581,0.004034,3,7,3.301,19.8
even-A only (idealised),O1_d350_jun,L10,0.8399,0.004034,4,11,6.174,31.11
even-A only (idealised),O1_d300_jun,L10,0.7482,0.004034,4,12,6.498,33.94
even-A only (idealised),O1_d366_jun,O1_el,0.9825,0.6925,300,304,429.8,510.1
