,124Xe,126Xe,128Xe,129Xe,130Xe,131Xe,132Xe,134Xe,136Xe,<A>
natural,0.0009,0.0009,0.0191,0.2640,0.0407,0.2123,0.2691,0.1044,0.0886,131.3879
136-depleted (0.1%),0.0010,0.0010,0.0209,0.2894,0.0446,0.2327,0.2949,0.1144,0.0010,130.9448
129-enriched 80%,0.0003,0.0002,0.0052,0.8000,0.0111,0.0577,0.0731,0.0284,0.0241,129.6489
136-enriched 90%,0.0001,0.0001,0.0021,0.0290,0.0045,0.0233,0.0295,0.0115,0.9000,135.4940
134+136 enriched 90%,0.0001,0.0001,0.0024,0.0327,0.0050,0.0263,0.0333,0.4868,0.4132,134.4807
even-A only (idealised),0.0018,0.0017,0.0364,0.0010,0.0776,0.0010,0.5128,0.1989,0.1688,132.7435
