case,f129_win,f129_129x0p85,f129_129x1p15,f129_131x0p85,f129_131x1p15,ratio_129enr,ratio_136enr
L10,0.6878,0.6518,0.717,0.7216,0.657,2.198,0.1064
O4,0.5096,0.469,0.5444,0.55,0.4746,1.7,0.1064
O6,0.3973,0.3591,0.4312,0.4368,0.3644,1.386,0.1064
O10,0.3998,0.3615,0.4337,0.4393,0.3667,1.393,0.1064
