A,f_win_shell,f_win_helm,f_roi_shell,f_win_A2ab,shell_over_helm
128,0.02618,0.02964,0.01883,0.01815,0.883
129,0.4022,0.3618,0.2606,0.2549,1.111
130,0.0442,0.04878,0.04059,0.03991,0.9061
131,0.2321,0.22,0.212,0.2114,1.055
132,0.1979,0.2382,0.2712,0.272,0.8309
134,0.06597,0.06488,0.1057,0.1087,1.017
136,0.03147,0.0367,0.09107,0.09503,0.8573
