case,A,abundance,J,R_win_per_tyr,f_win,R_roi_per_tyr,f_roi,dRdE_248,f_248,f_win_per_abundance
O1_d300_ann,130,0.04071,0,8.5453,0.042364,141.5,0.032003,0.12602,0.047402,1.0406
O1_d300_ann,131,0.21232,1.5,47.7,0.23648,944.38,0.21359,0.66004,0.24828,1.1138
O1_d300_ann,132,0.26909,0,42.817,0.21227,1134.2,0.25652,0.46898,0.17641,0.78883
O1_d300_ann,134,0.10436,0,16.122,0.079928,617.8,0.13973,0.11982,0.045072,0.76589
O1_d300_ann,136,0.08857,0,8.7522,0.043389,560.35,0.12673,0,0,0.48989
O1_d350_ann,128,0.0191,0,0.15534,0.013264,0.30669,0.0056972,0.00314,0.018588,0.69447
O1_d350_ann,129,0.26401,0.5,3.1533,0.26926,7.264,0.13494,0.061797,0.36582,1.0199
O1_d350_ann,130,0.04071,0,0.4365,0.037273,1.2644,0.023488,0.0077215,0.04571,0.91557
O1_d350_ann,131,0.21232,1.5,2.8134,0.24024,10.143,0.18842,0.046499,0.27526,1.1315
O1_d350_ann,132,0.26909,0,2.8726,0.24529,13.874,0.25773,0.038093,0.2255,0.91156
O1_d350_ann,134,0.10436,0,1.3639,0.11646,9.9579,0.18498,0.011676,0.069119,1.116
O1_d350_ann,136,0.08857,0,0.91591,0.07821,11.021,0.20474,0,0,0.88304
O1_d366_ann,128,0.0191,0,0.00041699,0.00047849,0.000352,0.00022373,5.4114e-06,0.00040302,0.025052
O1_d366_ann,129,0.26401,0.5,0.037037,0.0425,0.03334,0.021191,0.0013768,0.10254,0.16098
O1_d366_ann,130,0.04071,0,0.012748,0.014628,0.011808,0.0075052,0.00042414,0.031589,0.35933
O1_d366_ann,131,0.21232,1.5,0.15467,0.17748,0.15787,0.10035,0.0042683,0.31789,0.83591
O1_d366_ann,132,0.26909,0,0.24513,0.28128,0.29821,0.18954,0.0049209,0.3665,1.0453
O1_d366_ann,134,0.10436,0,0.20957,0.24048,0.40977,0.26045,0.0024313,0.18108,2.3044
O1_d366_ann,136,0.08857,0,0.2119,0.24315,0.66195,0.42074,0,0,2.7453
