UTC_h,v_lab_rot_only_kms,v_lab_full_kms,apex_alt_deg,apex_az_deg
2.583333333333333481e+00,2.660209546448836022e+02,2.660623183547658073e+02,1.285833486604710529e+01,3.975881602472644971e+01
2.666666666666666519e+00,2.660235519037712493e+02,2.660647330463619369e+02,1.343584767911013245e+01,4.047496225811824644e+01
2.750000000000000000e+00,2.660260489258045027e+02,2.660670473190141934e+02,1.402184905989810204e+01,4.118552137341006869e+01
2.833333333333333481e+00,2.660284445181891329e+02,2.660692599845359609e+02,1.461618275385958299e+01,4.189052002665641794e+01
2.916666666666666519e+00,2.660307375378987444e+02,2.660713699045455201e+02,1.521869401188943804e+01,4.258998903074898124e+01
3.000000000000000000e+00,2.660329268896473991e+02,2.660733759884429332e+02,1.582922903632613654e+01,4.328396241995396565e+01
3.083333333333333481e+00,2.660350115285951347e+02,2.660752771961052758e+02,1.644763562058557582e+01,4.397247793265370319e+01
3.166666666666666519e+00,2.660369904598579183e+02,2.660770725373978394e+02,1.707376298194352771e+01,4.465557655494421851e+01
3.250000000000000000e+00,2.660388627382457116e+02,2.660787610719102076e+02,1.770746156910209024e+01,4.533330208174234599e+01
3.333333333333333481e+00,2.660406274705323426e+02,2.660803419112186248e+02,1.834858371063225491e+01,4.600570159348242782e+01
3.416666666666666519e+00,2.660422838138702559e+02,2.660818142173039860e+02,1.899698298769882499e+01,4.667282457138424689e+01
3.500000000000000000e+00,2.660438309780831787e+02,2.660831772048343282e+02,1.965251496861160163e+01,4.733472346641182327e+01
3.583333333333333481e+00,2.660452682242629976e+02,2.660844301397664253e+02,2.031503655492716121e+01,4.799145283675394325e+01
3.666666666666666519e+00,2.660465948667798557e+02,2.660855723413455394e+02,2.098440672107432192e+01,4.864306991683017145e+01
3.750000000000000000e+00,2.660478102720648508e+02,2.660866031808918706e+02,2.166048583538479022e+01,4.928963377763412268e+01
3.833333333333333481e+00,2.660489138601929540e+02,2.660875220833754611e+02,2.234313631313880677e+01,4.993120581108669143e+01
3.916666666666666519e+00,2.660499051045558190e+02,2.660883285270876399e+02,2.303222237392224514e+01,5.056784934215481542e+01
4.000000000000000000e+00,2.660507835317802119e+02,2.660890220435596802e+02,2.372760977872409782e+01,5.119962925918802910e+01
4.083333333333333037e+00,2.660515487228453253e+02,2.660896022186712457e+02,2.442916649440279286e+01,5.182661250090654192e+01
4.166666666666666963e+00,2.660522003123377885e+02,2.660900686919085842e+02,2.513676195721219386e+01,5.244886727405702942e+01
4.250000000000000000e+00,2.660527379894463138e+02,2.660904211573507610e+02,2.585026783364250491e+01,5.306646363037409486e+01
4.333333333333333037e+00,2.660531614974095760e+02,2.660906593631208921e+02,2.656955726526943096e+01,5.367947270902446633e+01
4.416666666666666963e+00,2.660534706342147615e+02,2.660907831120742912e+02,2.729450563506792449e+01,5.428796731626459859e+01
4.500000000000000000e+00,2.660536652522387158e+02,2.660907922614453582e+02,2.802498979397091006e+01,5.489202119184201933e+01
4.583333333333333037e+00,2.660537452586464156e+02,2.660906867232353648e+02,2.876088873482299135e+01,5.549170951276884978e+01
4.666666666666666963e+00,2.660537106152414140e+02,2.660904664640643205e+02,2.950208329687806597e+01,5.608710858415187062e+01
4.750000000000000000e+00,2.660535613385670217e+02,2.660901315052713585e+02,3.024845585487569366e+01,5.667829554783038759e+01
4.833333333333333037e+00,2.660532974998275222e+02,2.660896819228264008e+02,3.099989100481955262e+01,5.726534889276715035e+01
4.916666666666666963e+00,2.660529192250145343e+02,2.660891178474626031e+02,3.175627474968854713e+01,5.784834778130842636e+01
5.000000000000000000e+00,2.660524266945645877e+02,2.660884394643222777e+02,3.251749528989223137e+01,5.842737264724929958e+01
5.083333333333333037e+00,2.660518201436788672e+02,2.660876470132834015e+02,3.328344219464295861e+01,5.900250454662137400e+01
5.166666666666666963e+00,2.660510998616845200e+02,2.660867407883085889e+02,3.405400719959619238e+01,5.957382576338149960e+01
5.250000000000000000e+00,2.660502661925473262e+02,2.660857211379641285e+02,3.482908336491563972e+01,6.014141918545080046e+01
5.333333333333333037e+00,2.660493195340713442e+02,2.660845884646109312e+02,3.560856577533428435e+01,6.070536884425509072e+01
5.416666666666666963e+00,2.660482603379319926e+02,2.660833432244363621e+02,3.639235120993954098e+01,6.126575969405298849e+01
5.500000000000000000e+00,2.660470891099567439e+02,2.660819859277370938e+02,3.718033780021346502e+01,6.182267740993403038e+01
5.583333333333333037e+00,2.660458064088533092e+02,2.660805171376369458e+02,3.797242574212806687e+01,6.237620894437291241e+01
5.666666666666666963e+00,2.660444128472016132e+02,2.660789374710848847e+02,3.876851642498513684e+01,6.292644197262157491e+01
5.750000000000000000e+00,2.660429090897881679e+02,2.660772475971789390e+02,3.956851325432062083e+01,6.347346554141881114e+01
5.833333333333333037e+00,2.660412958547851190e+02,2.660754482383512709e+02,4.037232077048957990e+01,6.401736954647033429e+01
5.916666666666666963e+00,2.660395739117984704e+02,2.660735401684057706e+02,4.117984547865643918e+01,6.455824540115369814e+01
6.000000000000000000e+00,2.660377440832324965e+02,2.660715242138885515e+02,4.199099495784576419e+01,6.509618555015804020e+01
6.083333333333333037e+00,2.660358072423212548e+02,2.660694012521103673e+02,4.280567858841370565e+01,6.563128409219382320e+01
6.166666666666666963e+00,2.660337643133426013e+02,2.660671722113610826e+02,4.362380719960137299e+01,6.616363669328006836e+01
6.250000000000000000e+00,2.660316162720668558e+02,2.660648380713599863e+02,4.444529270813731614e+01,6.669334052751818831e+01
6.333333333333333037e+00,2.660293641433419225e+02,2.660623998608315333e+02,4.527004885676941370e+01,6.722049495212810655e+01
6.416666666666666963e+00,2.660270090029105745e+02,2.660598586593286541e+02,4.609799030221707739e+01,6.774520114118352865e+01
6.500000000000000000e+00,2.660245519744863145e+02,2.660572155942990094e+02,4.692903346870167525e+01,6.826756288227831249e+01
6.583333333333333037e+00,2.660219942317459640e+02,2.660544718430834905e+02,4.776309562838762446e+01,6.878768627759542653e+01
6.666666666666666963e+00,2.660193369951386444e+02,2.660516286297151396e+02,4.860009576111737317e+01,6.930568060574958622e+01
6.750000000000000000e+00,2.660165815340510562e+02,2.660486872270917615e+02,4.943995362747832445e+01,6.982165810772133341e+01
6.833333333333333037e+00,2.660137291637410044e+02,2.660456489538995015e+02,5.028259052242462701e+01,7.033573486764335314e+01
6.916666666666666963e+00,2.660107812457302998e+02,2.660425151750080772e+02,5.112792890602580798e+01,7.084803105176828808e+01
7.000000000000000000e+00,2.660077391883990572e+02,2.660392873020659863e+02,5.197589203015543546e+01,7.135867121909204513e+01
7.083333333333333037e+00,2.660046044435205204e+02,2.660359667900270324e+02,5.282640469950244722e+01,7.186778539214965633e+01
7.166666666666666963e+00,2.660013785088348754e+02,2.660325551397305617e+02,5.367939232857633414e+01,7.237550918824027235e+01
7.250000000000000000e+00,2.659980629239767609e+02,2.660290538938201621e+02,5.453478182023395959e+01,7.288198514834066088e+01
7.333333333333333037e+00,2.659946592732043769e+02,2.660254646394781162e+02,5.539250061639854295e+01,7.338736309691510940e+01
7.416666666666666963e+00,2.659911691810919478e+02,2.660217890041103601e+02,5.625247758074550575e+01,7.389180173390302286e+01
7.500000000000000000e+00,2.659875943154088418e+02,2.660180286582308895e+02,5.711464204304252235e+01,7.439546931202804103e+01
7.583333333333333037e+00,2.659839363830810726e+02,2.660141853114162132e+02,5.797892456913265136e+01,7.489854553407788273e+01
7.666666666666666963e+00,2.659801971307348936e+02,2.660102607128500836e+02,5.884525657871073889e+01,7.540122301750913891e+01
7.750000000000000000e+00,2.659763783454210966e+02,2.660062566520498422e+02,5.971356995665131251e+01,7.590370905490985365e+01
7.833333333333333037e+00,2.659724818502306789e+02,2.660021749544749810e+02,6.058379782630611743e+01,7.640622840470592791e+01
7.916666666666666963e+00,2.659685095075236632e+02,2.659980174847620447e+02,6.145587357546535401e+01,7.690902550519055580e+01
8.000000000000000000e+00,2.659644632138662246e+02,2.659937861416533451e+02,6.232973174466624044e+01,7.741236829897717087e+01
8.083333333333333925e+00,2.659603449033887159e+02,2.659894828613622622e+02,6.320530704332091432e+01,7.791655163447879318e+01
8.166666666666666075e+00,2.659561565425279355e+02,2.659851096123067578e+02,6.408253523464149737e+01,7.842190256074101740e+01
8.250000000000000000e+00,2.659519001335081612e+02,2.659806683985975724e+02,6.496135213883138704e+01,7.892878555767910598e+01
8.333333333333333925e+00,2.659475777094823457e+02,2.659761612551723147e+02,6.584169439183685313e+01,7.943761006092368859e+01
8.416666666666666075e+00,2.659431913352096899e+02,2.659715902484754224e+02,6.672349902094585161e+01,7.994883893394393226e+01
8.500000000000000000e+00,2.659387431078778832e+02,2.659669574772818237e+02,6.760670300597283244e+01,8.046299901236217522e+01
8.583333333333333925e+00,2.659342351519679823e+02,2.659622650675565296e+02,6.849124401033685672e+01,8.098069501737016651e+01
8.666666666666666075e+00,2.659296696230136376e+02,2.659575151762192036e+02,6.937705931832421413e+01,8.150262593193319560e+01
8.750000000000000000e+00,2.659250487017411615e+02,2.659527099852783181e+02,7.026408664449988350e+01,8.202960708996710082e+01
8.833333333333333925e+00,2.659203745979272639e+02,2.659478517056945748e+02,7.115226301185981583e+01,8.256259728577408907e+01
8.916666666666666075e+00,2.659156495443917265e+02,2.659429425713669275e+02,7.204152548816846036e+01,8.310273528820972899e+01
9.000000000000000000e+00,2.659108758009465419e+02,2.659379848430887137e+02,7.293180995841707670e+01,8.365138653580021355e+01
9.083333333333333925e+00,2.659060556489018836e+02,2.659329808030472577e+02,7.382305160151790346e+01,8.421020661598612378e+01
9.166666666666666075e+00,2.659011913918519667e+02,2.659279327556129715e+02,7.471518405855235301e+01,8.478122618019180834e+01
9.250000000000000000e+00,2.658962853565616342e+02,2.659228430282275326e+02,7.560813843064728701e+01,8.536696763818359557e+01
9.333333333333333925e+00,2.658913398872784910e+02,2.659177139657118119e+02,7.650184322766097011e+01,8.597060920903143710e+01
9.416666666666666075e+00,2.658863573498775850e+02,2.659125479344158407e+02,7.739622215191381827e+01,8.659621755130014265e+01
9.500000000000000000e+00,2.658813401254237760e+02,2.659073473157759508e+02,7.829119323291071453e+01,8.724908876614301789e+01
9.583333333333333925e+00,2.658762906143889495e+02,2.659021145105387518e+02,7.918666514456238303e+01,8.793625721634541037e+01
9.666666666666666075e+00,2.658712112301200818e+02,2.658968519322230009e+02,8.008253398144297819e+01,8.866728166348886475e+01
9.750000000000000000e+00,2.658661044031040319e+02,2.658915620113912723e+02,8.097867563205234376e+01,8.945549725747937941e+01
9.833333333333333925e+00,2.658609725750507664e+02,2.658862471897280670e+02,8.187493555933505718e+01,9.032009564059963225e+01
9.916666666666666075e+00,2.658558181997554470e+02,2.658809099209057081e+02,8.277110918015840468e+01,9.128974427432150662e+01
1.000000000000000000e+01,2.658506437440152013e+02,2.658755526715025894e+02,8.366690595093209026e+01,9.240925923556790167e+01
1.008333333333333393e+01,2.658454516816068463e+02,2.658701779149780009e+02,8.456187967255625892e+01,9.375281556808234029e+01
1.016666666666666607e+01,2.658402444976538277e+02,2.658647881360441261e+02,8.545527415744835764e+01,9.545256267008085160e+01
1.025000000000000000e+01,2.658350246818714027e+02,2.658593858239080987e+02,8.634564780135272599e+01,9.776842439272084562e+01
1.033333333333333393e+01,2.658297947329601243e+02,2.658539734766700917e+02,8.722977997061997257e+01,1.012884818092871058e+02
1.041666666666666607e+01,2.658245571518144743e+02,2.658485535945295055e+02,8.809859663244566264e+01,1.076585796128922823e+02
1.050000000000000000e+01,2.658193144459349924e+02,2.658431286842013037e+02,8.891423843495091717e+01,1.233875419175017925e+02
1.058333333333333393e+01,2.658140691233163579e+02,2.658377012528023897e+02,8.939558914439433579e+01,1.798928470464594795e+02
1.066666666666666607e+01,2.658088236933522239e+02,2.658322738087587709e+02,8.891610602571105915e+01,2.365451863334670577e+02
1.075000000000000000e+01,2.658035806677463597e+02,2.658268488627190322e+02,8.810072865372769968e+01,2.523187628265457647e+02
1.083333333333333393e+01,2.657983425543882845e+02,2.658214289214288328e+02,8.723197422767482578e+01,2.587002705025473688e+02
1.091666666666666607e+01,2.657931118617748325e+02,2.658160164921563364e+02,8.634786483593060780e+01,2.622246488536885636e+02
1.100000000000000000e+01,2.657878910921922966e+02,2.658106140758728202e+02,8.545750161217598873e+01,2.645425730563781030e+02
1.108333333333333393e+01,2.657826827461267953e+02,2.658052241716672484e+02,8.456411245811784738e+01,2.662434574052016387e+02
1.116666666666666607e+01,2.657774893154678466e+02,2.657998492699489361e+02,8.366914155889142535e+01,2.675877050282517189e+02
1.125000000000000000e+01,2.657723132878999763e+02,2.657944918568430808e+02,8.277334620050676506e+01,2.687076706606675884e+02
1.133333333333333393e+01,2.657671571408308751e+02,2.657891544081176676e+02,8.187717323271722591e+01,2.696776288144321825e+02
1.141666666666666607e+01,2.657620233423045875e+02,2.657838393901005816e+02,8.098091311975980489e+01,2.705424489024330796e+02
1.150000000000000000e+01,2.657569143518713304e+02,2.657785492605494824e+02,8.008477096538167928e+01,2.713308282738635739e+02
1.158333333333333393e+01,2.657518326145979017e+02,2.657732864626646005e+02,7.918890128283264573e+01,2.720619769825554499e+02
1.166666666666666607e+01,2.657467805653728874e+02,2.657680534293963319e+02,7.829342824429903658e+01,2.727492417580573374e+02
1.175000000000000000e+01,2.657417606222898598e+02,2.657628525768282088e+02,7.739845579482364712e+01,2.734021889808246897e+02
1.183333333333333393e+01,2.657367751909031881e+02,2.657576863084370871e+02,7.650407528680747760e+01,2.740278581919851035e+02
1.191666666666666607e+01,2.657318266576911583e+02,2.657525570085547884e+02,7.561036870967090806e+01,2.746315491106667537e+02
1.200000000000000000e+01,2.657269173942556222e+02,2.657474670465733197e+02,7.471741237358131116e+01,2.752173309855695038e+02
1.208333333333333393e+01,2.657220497515264128e+02,2.657424187711484365e+02,7.382527789730218615e+01,2.757883838531617471e+02
1.216666666666666607e+01,2.657172260606477607e+02,2.657374145110890140e+02,7.293403382743012742e+01,2.763472317598810832e+02
1.225000000000000000e+01,2.657124486337744997e+02,2.657324565761554709e+02,7.204374688646591096e+01,2.768959061967508433e+02
1.233333333333333393e+01,2.657077197584430905e+02,2.657275472514319290e+02,7.115448177849842182e+01,2.774360636467608288e+02
1.241666666666666607e+01,2.657030417016046613e+02,2.657226888013620396e+02,7.026630262101728874e+01,2.779690701859886985e+02
1.250000000000000000e+01,2.656984167034577808e+02,2.657178834635837461e+02,6.937927234764896411e+01,2.784960650855629751e+02
1.258333333333333393e+01,2.656938469813889583e+02,2.657131334528713751e+02,6.849345393618621358e+01,2.790180075396389157e+02
1.266666666666666607e+01,2.656893347239467857e+02,2.657084409551124509e+02,6.760890967237362759e+01,2.795357132036025973e+02
1.275000000000000000e+01,2.656848820946889305e+02,2.657038081311563360e+02,6.672570227185175895e+01,2.800498813211907532e+02
1.283333333333333393e+01,2.656804912268875114e+02,2.656992371115219953e+02,6.584389418895861468e+01,2.805611167585026351e+02
1.291666666666666607e+01,2.656761642243542383e+02,2.656947299972256360e+02,6.496354808878643894e+01,2.810699467320687859e+02
1.300000000000000000e+01,2.656719031621305476e+02,2.656902888604722648e+02,6.408472729761273001e+01,2.815768340460790000e+02
1.308333333333333393e+01,2.656677100814504229e+02,2.656859157396215210e+02,6.320749506027431863e+01,2.820821883263676000e+02
1.316666666666666607e+01,2.656635869933256799e+02,2.656816126427746667e+02,6.233191555533019823e+01,2.825863741552004171e+02
1.325000000000000000e+01,2.656595358730817793e+02,2.656773815423128440e+02,6.145805301817726018e+01,2.830897186680897448e+02
1.333333333333333393e+01,2.656555586638269801e+02,2.656732243783686158e+02,6.058597273787768245e+01,2.835925167868672361e+02
1.341666666666666607e+01,2.656516572711722119e+02,2.656691430535480549e+02,5.971574017224076414e+01,2.840950365167823861e+02
1.350000000000000000e+01,2.656478335665773329e+02,2.656651394362788210e+02,5.884742193170875879e+01,2.845975223497995898e+02
1.358333333333333393e+01,2.656440893827625018e+02,2.656612153562245453e+02,5.798108500708381996e+01,2.851001990230948309e+02
1.366666666666666607e+01,2.656404265144414012e+02,2.656573726050203277e+02,5.711679716341062374e+01,2.856032740714193778e+02
1.375000000000000000e+01,2.656368467188814861e+02,2.656536129368344064e+02,5.625462732701323176e+01,2.861069399445117369e+02
1.383333333333333393e+01,2.656333517116464691e+02,2.656499380641142807e+02,5.539464481383827632e+01,2.866113764426417561e+02
1.391666666666666607e+01,2.656299431696075430e+02,2.656463496605988439e+02,5.453692029185119594e+01,2.871167518447475118e+02
1.400000000000000000e+01,2.656266227263869268e+02,2.656428493567656801e+02,5.368152489501665059e+01,2.876232248736970973e+02
1.408333333333333393e+01,2.656233919752242514e+02,2.656394387426986441e+02,5.282853117896681283e+01,2.881309453740653339e+02
1.416666666666666607e+01,2.656202524646476490e+02,2.656361193637619635e+02,5.197801223831066864e+01,2.886400559045096088e+02
1.425000000000000000e+01,2.656172057011903576e+02,2.656328927233184345e+02,5.113004265592293507e+01,2.891506920979132929e+02
1.433333333333333393e+01,2.656142531456865754e+02,2.656297602790291990e+02,5.028469773758661177e+01,2.896629839217643507e+02
1.441666666666666607e+01,2.656113962138858824e+02,2.656267234434683360e+02,4.944205388912043020e+01,2.901770561536790183e+02
1.450000000000000000e+01,2.656086362768618869e+02,2.656237835845349764e+02,4.860218898682082056e+01,2.906930287644660211e+02
1.458333333333333393e+01,2.656059746577014948e+02,2.656209420221455275e+02,4.776518162019486624e+01,2.912110179163193493e+02
1.466666666666666607e+01,2.656034126338252008e+02,2.656182000305544193e+02,4.693111202533554405e+01,2.917311358589616930e+02
1.475000000000000000e+01,2.656009514335161725e+02,2.656155588348877927e+02,4.610006121928982026e+01,2.922534918786500953e+02
1.483333333333333393e+01,2.655985922380739339e+02,2.656130196132968422e+02,4.527211192670725382e+01,2.927781920844091701e+02
1.491666666666666607e+01,2.655963361786048154e+02,2.656105834937530403e+02,4.444734772009744717e+01,2.933053402699675871e+02
1.500000000000000000e+01,2.655941843380056184e+02,2.656082515560320871e+02,4.362585393968361558e+01,2.938350376147354837e+02
1.508333333333333393e+01,2.655921377482857224e+02,2.656060248290395975e+02,4.280771694819802775e+01,2.943673834097151598e+02
1.516666666666666607e+01,2.655901973910435458e+02,2.656039042912893819e+02,4.199302449727048980e+01,2.949024750480320449e+02
1.525000000000000000e+01,2.655883641977061416e+02,2.656018908711440076e+02,4.118186608251522784e+01,2.954404079851069582e+02
1.533333333333333393e+01,2.655866390472946250e+02,2.655999854445846609e+02,4.037433221044808818e+01,2.959812763949583427e+02
1.541666666666666607e+01,2.655850227679648015e+02,2.655981888367516035e+02,3.957051529832362036e+01,2.965251727257136736e+02
1.550000000000000000e+01,2.655835161347571898e+02,2.655965018196986307e+02,3.877050883717902252e+01,2.970721883939219197e+02
1.558333333333333393e+01,2.655821198709551823e+02,2.655949251137508895e+02,3.797440828279510328e+01,2.976224132982413835e+02
1.566666666666666607e+01,2.655808346461200244e+02,2.655934593855441221e+02,3.718231022569700173e+01,2.981759364881729084e+02
1.575000000000000000e+01,2.655796610772638928e+02,2.655921052491977434e+02,3.639431327258172644e+01,2.987328456415820028e+02
1.583333333333333393e+01,2.655785997273084149e+02,2.655908632647775107e+02,3.561051732821972138e+01,2.992932276380512349e+02
1.591666666666666607e+01,2.655776511053970239e+02,2.655897339386083331e+02,3.483102394255342915e+01,2.998571683812086803e+02
1.600000000000000000e+01,2.655768156669624886e+02,2.655887177233436773e+02,3.405593664674451304e+01,3.004247526015037124e+02
1.608333333333333215e+01,2.655760938126543920e+02,2.655878150168962861e+02,3.328536024699031515e+01,3.009960644080311454e+02
1.616666666666666785e+01,2.655754858890410333e+02,2.655870261631402514e+02,3.251940167882137445e+01,3.015711866909888386e+02
1.625000000000000000e+01,2.655749921876678172e+02,2.655863514509730408e+02,3.175816920221772222e+01,3.021502017366115638e+02
1.633333333333333215e+01,2.655746129455683331e+02,2.655857911148265771e+02,3.100177324355989938e+01,3.027331906032421216e+02
1.641666666666666785e+01,2.655743483446198638e+02,2.655853453340262149e+02,3.025032559797952203e+01,3.033202337270306543e+02
1.650000000000000000e+01,2.655741985118624484e+02,2.655850142331094617e+02,2.950394025800439834e+01,3.039114102727531872e+02
1.658333333333333215e+01,2.655741635191503178e+02,2.655847978814819044e+02,2.876273272213218490e+01,3.045067986517627787e+02
1.666666666666666785e+01,2.655742433832934921e+02,2.655846962935579540e+02,2.802682031394773432e+01,3.051064762488947508e+02
1.675000000000000000e+01,2.655744380659472768e+02,2.655847094286529000e+02,2.729632248671805783e+01,3.057105191316363744e+02
1.683333333333333215e+01,2.655747474737451626e+02,2.655848371911178560e+02,2.657136014394636092e+01,3.063190025600173385e+02
1.691666666666666785e+01,2.655751714581348324e+02,2.655850794301758242e+02,2.585205643007629561e+01,3.069320002768474183e+02
1.700000000000000000e+01,2.655757098157815790e+02,2.655854359403286367e+02,2.513853595749384695e+01,3.075495850916201448e+02
1.708333333333333215e+01,2.655763622882124082e+02,2.655859064610004907e+02,2.443092557999066372e+01,3.081718281469435965e+02
1.716666666666666785e+01,2.655771285625182259e+02,2.655864906772433187e+02,2.372935362644224710e+01,3.087987994982032092e+02
1.725000000000000000e+01,2.655780082708054692e+02,2.655871882191877944e+02,2.303395065574162004e+01,3.094305673562562333e+02
1.733333333333333215e+01,2.655790009910552385e+02,2.655879986629052496e+02,2.234484878889209725e+01,3.100671985778191129e+02
1.741666666666666785e+01,2.655801062470869169e+02,2.655889215303726019e+02,2.166218198417891116e+01,3.107087583129553536e+02
1.750000000000000000e+01,2.655813235082765686e+02,2.655899562891903543e+02,2.098608629341849152e+01,3.113553096342250228e+02
1.758333333333333215e+01,2.655826521908874724e+02,2.655911023539163125e+02,2.031669920488399228e+01,3.120069140242267167e+02
1.766666666666666785e+01,2.655840916570474519e+02,2.655923590850419487e+02,1.965416034607041951e+01,3.126636305590249094e+02
1.775000000000000000e+01,2.655856412164835660e+02,2.655937257907302183e+02,1.899861073774859221e+01,3.133255164791200400e+02
1.783333333333333215e+01,2.655873001253092980e+02,2.655952017256014983e+02,1.835019347434940684e+01,3.139926263484481410e+02
1.791666666666666785e+01,2.655890675880482377e+02,2.655967860927605670e+02,1.770905298340630907e+01,3.146650126243010277e+02
1.800000000000000000e+01,2.655909427562390874e+02,2.655984780424000178e+02,1.707533567971785260e+01,3.153427247946065677e+02
1.808333333333333215e+01,2.655929247304682121e+02,2.656002766738359924e+02,1.644918931423763908e+01,3.160258098549286387e+02
1.816666666666666785e+01,2.655950125601580680e+02,2.656021810352955868e+02,1.583076318414702399e+01,3.167143118835560927e+02
1.825000000000000000e+01,2.655972052431222323e+02,2.656041901234727334e+02,1.522020831888251635e+01,3.174082715986107246e+02
1.833333333333333215e+01,2.655995017280445722e+02,2.656063028860102122e+02,1.461767683811902963e+01,3.181077268387592767e+02
1.841666666666666785e+01,2.656019009126360970e+02,2.656085182196532628e+02,1.402332253624804004e+01,3.188127116470329838e+02
1.850000000000000000e+01,2.656044016466300945e+02,2.656108349732488705e+02,1.343730015929371291e+01,3.195232568455243154e+02
1.858333333333333215e+01,2.656070027297649290e+02,2.656132519457268586e+02,1.285976595895444596e+01,3.202393890999470614e+02
1.866666666666666785e+01,2.656097029150461708e+02,2.656157678893632692e+02,1.229087697378102106e+01,3.209611314997239333e+02
1.875000000000000000e+01,2.656125009065589779e+02,2.656183815075931420e+02,1.173079155135573970e+01,3.216885026051206182e+02
1.883333333333333215e+01,2.656153953625956206e+02,2.656210914581378688e+02,1.117966870698889181e+01,3.224215169363249061e+02
1.891666666666666785e+01,2.656183848952751987e+02,2.656238963526258203e+02,1.063766824625087537e+01,3.231601844987690129e+02
1.900000000000000000e+01,2.656214680699532664e+02,2.656267947560012885e+02,1.010495085844722318e+01,3.239045102942911285e+02
1.908333333333333215e+01,2.656246434087516377e+02,2.656297851900553155e+02,9.581677484315830995e+00,3.246544948282980840e+02
1.916666666666666785e+01,2.656279093879658149e+02,2.656328661308326105e+02,9.068009753123186911e+00,3.254101331242179072e+02
