UTC_h,v_lab_rot_only_kms,v_lab_full_kms,apex_alt_deg,apex_az_deg
0.000000000000000000e+00,2.658992550415786695e+02,2.659461656826317721e+02,3.138992644783131919e-02,1.487371268236653421e+01
8.333333333333332871e-02,2.659041361081813761e+02,2.659508717607067183e+02,2.680552047052112141e-01,1.574769464749237713e+01
1.666666666666666574e-01,2.659089739887411383e+02,2.659555343630119637e+02,5.178515331759288021e-01,1.661803220908435819e+01
2.500000000000000000e-01,2.659137663691865328e+02,2.659601511774911842e+02,7.806652412811149189e-01,1.748456282858303368e+01
3.333333333333333148e-01,2.659185109599039265e+02,2.659647199166653877e+02,1.056378196075887343e+00,1.834713100076354308e+01
4.166666666666666852e-01,2.659232054916896573e+02,2.659692383135815703e+02,1.344867752740632971e+00,1.920558747430046509e+01
5.000000000000000000e-01,2.659278477219185106e+02,2.659737041279810228e+02,1.646007286083276178e+00,2.005979030265138974e+01
5.833333333333333703e-01,2.659324354305778115e+02,2.659781151423296706e+02,1.959666119454207545e+00,2.090960402487892367e+01
6.666666666666666297e-01,2.659369664263021491e+02,2.659824691678522868e+02,2.285710087581497074e+00,2.175490065997789912e+01
7.500000000000000000e-01,2.659414385424977354e+02,2.659867640406533269e+02,2.624001440708065847e+00,2.259555885043564771e+01
8.333333333333333703e-01,2.659458496426441343e+02,2.659909976270173502e+02,2.974399386787243582e+00,2.343146469003117716e+01
9.166666666666666297e-01,2.659501976194521831e+02,2.659951678225650653e+02,3.336760206892355196e+00,2.426251139234079801e+01
1.000000000000000000e+00,2.659544803941544160e+02,2.659992725515402867e+02,3.710937339572598415e+00,2.508859895017273089e+01
1.083333333333333259e+00,2.659586959215524757e+02,2.660033097718557542e+02,4.096781959790238403e+00,2.590963488528699088e+01
1.166666666666666741e+00,2.659628421863961307e+02,2.660072774714705588e+02,4.494142809064383570e+00,2.672553331480992966e+01
1.250000000000000000e+00,2.659669172088670166e+02,2.660111736738689387e+02,4.902866837521327348e+00,2.753621576848516028e+01
1.333333333333333259e+00,2.659709190410657129e+02,2.660149964345490048e+02,5.322799000072281572e+00,2.834161023091842679e+01
1.416666666666666741e+00,2.659748457723123920e+02,2.660187438463161129e+02,5.753782913463179050e+00,2.914165191638119268e+01
1.500000000000000000e+00,2.659786955257630439e+02,2.660224140359007947e+02,6.195660618382276219e+00,2.993628229474856184e+01
1.583333333333333259e+00,2.659824664630105531e+02,2.660260051685547751e+02,6.648273186966785708e+00,3.072544972171377609e+01
1.666666666666666741e+00,2.659861567833318077e+02,2.660295154472953527e+02,7.111460756255207016e+00,3.150910897962896229e+01
1.750000000000000000e+00,2.659897647231059636e+02,2.660329431123238919e+02,7.585062529077384319e+00,3.228722082122791193e+01
1.833333333333333259e+00,2.659932885600875920e+02,2.660362864452919212e+02,8.068917399076653396e+00,3.305975254990021739e+01
1.916666666666666741e+00,2.659967266103559496e+02,2.660395437662521090e+02,8.562863622369281558e+00,3.382667702358317996e+01
2.000000000000000000e+00,2.660000772328925791e+02,2.660427134382293843e+02,9.066739508764266375e+00,3.458797331520644036e+01
2.083333333333333481e+00,2.660033388266738825e+02,2.660457938643139073e+02,9.580383056780057416e+00,3.534362571596773250e+01
2.166666666666666519e+00,2.660065098350236781e+02,2.660487834920081696e+02,1.010363265128773236e+01,3.609362437325400919e+01
2.250000000000000000e+00,2.660095887428544188e+02,2.660516808104679853e+02,1.063632666218957645e+01,3.683796429757119739e+01
2.333333333333333481e+00,2.660125740803923122e+02,2.660544843542223248e+02,1.117830407426868611e+01,3.757664588320424315e+01
2.416666666666666519e+00,2.660154644225428910e+02,2.660571927025370087e+02,1.172940441658877120e+01,3.830967441602050627e+01
2.500000000000000000e+00,2.660182583884604242e+02,2.660598044789830396e+02,1.228946766189020501e+01,3.903705959392209479e+01
