delta_keV,mean_rate,p2p_frac,a1,phase_LST_deg_of_max,UTC_of_max_h,dlnR_dv_per_kms,KL_nats,N3_llr,N3_cos,LR_event,LR_event_fullseries,rate_event_over_geocentric,N3_ratio_diurnal_over_annual,KL_ratio_annual_over_diurnal
300,6.2209e+12,0.01259,0.0062952,229.44,4.5833,0.026253,9.9131e-06,4.5394e+05,4.542e+05,0.99809,0.9976,0.9981,4704.1,4741.2
350,2.0084e+11,0.036295,0.018147,229.44,4.5833,0.075683,8.238e-05,54627,54658,0.99446,0.99305,0.99452,4750.2,4734.2
366,2.162e+10,0.062697,0.031348,229.45,4.5833,0.13075,0.00024583,18307,18317,0.99036,0.98793,0.99056,2816.5,2928.9
380,8.8146e+08,0.10467,0.05233,229.45,4.5833,0.21832,0.00068514,6569.3,6573.2,0.98365,0.97957,0.98429,1239.5,1313.6
385,2.1926e+08,0.10504,0.052512,229.45,4.5833,0.21907,0.00068992,6523.6,6527.7,0.98354,0.97943,0.98425,nan,nan
