UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
8.333333333333333703e-01,1.003460347116599483e+00,1.009959549047150684e+00,1.017170152338340072e+00,1.028532753566337998e+00,1.028603819503260519e+00,1.004648701713110936e+00,1.013404334353605218e+00,1.023162353058621132e+00,1.038692694774980163e+00,1.038832115795252031e+00
9.166666666666666297e-01,1.003574752270804948e+00,1.010290942180237073e+00,1.017746081536606395e+00,1.029507246042902890e+00,1.029584450167827736e+00,1.004758512384369196e+00,1.013722933583025121e+00,1.023717169277715389e+00,1.039635732994255601e+00,1.039782115767779347e+00
1.000000000000000000e+00,1.003687450005533055e+00,1.010617440118672938e+00,1.018313613662064521e+00,1.030467950274741806e+00,1.030551285889080182e+00,1.004866606707489174e+00,1.014036599582803122e+00,1.024263495800061596e+00,1.040564725274830460e+00,1.040718085246976399e+00
1.083333333333333259e+00,1.003798386126081299e+00,1.010938883525522636e+00,1.018872466675694533e+00,1.031414369521534757e+00,1.031503823072726922e+00,1.004972930543054810e+00,1.014345173012464851e+00,1.024801050223068444e+00,1.041479172906522033e+00,1.041639516420759914e+00
1.166666666666666741e+00,1.003907507216517780e+00,1.011255115263006266e+00,1.019422362235380630e+00,1.032346012828651238e+00,1.032441563854801903e+00,1.005077430534301541e+00,1.014648496749680717e+00,1.025329553892694978e+00,1.042378588314677446e+00,1.042545906925785193e+00
1.250000000000000000e+00,1.004014760784911919e+00,1.011565980818523780e+00,1.019963026451301547e+00,1.033262396350319134e+00,1.033364017444663885e+00,1.005180054252329702e+00,1.014946416317374256e+00,1.025848732659672802e+00,1.043262503355310677e+00,1.043436761599176643e+00
1.333333333333333259e+00,1.004120095171808558e+00,1.011871328045370388e+00,1.020494189444356881e+00,1.034163042649124176e+00,1.034270699426974138e+00,1.005280750104531995e+00,1.015238779623421905e+00,1.026358316437893103e+00,1.044130439284997047e+00,1.044311591786015958e+00
1.416666666666666741e+00,1.004223459690664733e+00,1.012171007575402903e+00,1.021015586079202286e+00,1.035047481983981665e+00,1.035161133303066361e+00,1.005379467474947663e+00,1.015525437374041662e+00,1.026858039937685207e+00,1.044981923653136580e+00,1.045169916655834363e+00
1.500000000000000000e+00,1.004324804539739047e+00,1.012464872569537544e+00,1.021526955541680826e+00,1.035915251647363755e+00,1.036034872832256593e+00,1.005476156636102347e+00,1.015806242823339423e+00,1.027347642241113856e+00,1.045816491176604135e+00,1.046011262546169718e+00
1.583333333333333259e+00,1.004424080924142482e+00,1.012752779077537912e+00,1.022028041977337542e+00,1.036765897090217159e+00,1.036891470452781405e+00,1.005570768871014709e+00,1.016081052133575913e+00,1.027826867443296210e+00,1.046633684880488913e+00,1.046835164112160044e+00
