variant,E_keV,lnL,lnL_kde,mean_S1c,mean_log10S2c,sd_S1c,sd_log10S2c,corr,P_S1c_gt_600
LZ-tab,180.0,-49.20140890502276,-398.4308891389652,343.4034689386437,3.9686764309433538,20.131174476067812,0.03307357656962274,-0.03310283615979145,0.0
LZ-tab,182.0,-46.4725282002445,,347.7063999886766,3.9702784167039047,20.289232393167367,0.03280228004004422,-0.05372484027010626,0.0
LZ-tab,184.0,-43.56112738904157,,352.3937627625743,3.971512926920857,20.461468387421704,0.033002013722045864,-0.04538410083396028,0.0
LZ-tab,186.0,-40.68106559302907,,356.6989118437327,3.973305412790635,20.711457919562147,0.03312432378359081,-0.04097990356822302,0.0
LZ-tab,188.0,-38.77025048696147,,361.2049173368016,3.975109079493652,20.70661615311704,0.03266089636912148,-0.0386713306352753,0.0
LZ-tab,190.0,-36.10159560864248,-259.2630793469512,366.07297390618913,3.976679178189046,20.910334735873317,0.03308857565921622,-0.032453181098277495,0.0
LZ-tab,192.0,-33.77895334731619,,370.16299847762315,3.9779432007134456,21.14051674006031,0.03278156608245683,-0.045342418238592364,0.0
LZ-tab,194.0,-32.01282655055438,,374.5127205064297,3.9796508673888806,21.184657022453116,0.03248560781798322,-0.04252218005824012,0.0
LZ-tab,196.0,-29.734423059041156,,379.33835180857864,3.9809176404535056,21.388546630446328,0.03271331792744132,-0.040401773233429646,0.0
LZ-tab,198.0,-28.084990855016358,,383.37101294857774,3.9825815099816566,21.49317800087757,0.032676716803798536,-0.04213499953701038,0.0
LZ-tab,200.0,-25.961289266276353,-122.74279514899554,388.44989214338045,3.9840457788106347,21.683588677877204,0.032770930225552816,-0.05413838340716618,0.0
LZ-tab,202.0,-24.53750205842592,,392.75969496872034,3.985303332929805,21.7278169153137,0.03248101419100593,-0.033629700302294736,0.0
LZ-tab,204.0,-22.283713154833947,,397.1849479395458,3.986682552982697,22.210851479983724,0.032865147911413074,-0.03927037224376825,0.0
LZ-tab,206.0,-21.36038064296313,,401.8158239527458,3.9884003867395412,21.980394988813725,0.0328936314544048,-0.04934859077529872,0.0
LZ-tab,208.0,-19.98016453351118,,406.12956190327753,3.99008618633468,22.118518709679147,0.032700685696169365,-0.034592287913017716,0.0
LZ-tab,210.0,-18.24138856013767,-47.23262968717827,410.74656224666916,3.9910933924252867,22.459332283832122,0.032397585089959054,-0.03852021804062254,0.0
LZ-tab,212.0,-16.958441775675986,,415.0612527702364,3.992822065662926,22.6434773102221,0.03248482772333284,-0.03493089812851396,0.0
LZ-tab,214.0,-15.923635949009547,,419.9298790915318,3.99444167372555,22.549014419433753,0.032438050004716355,-0.040635963130035126,0.0
LZ-tab,216.0,-14.527521637853214,,424.15772978046147,3.9956197516039507,22.963189266957347,0.032470743337439774,-0.03826528623772684,0.0
LZ-tab,218.0,-13.436340254948004,,429.2596057854846,3.996686799738668,22.951074681295967,0.032208723127909566,-0.04761581373036193,0.0
LZ-tab,220.0,-12.38196354720026,-9.918858430394485,433.6394130905413,3.9983935323910775,23.22050424561321,0.03226185051344975,-0.036997811417446465,0.0
LZ-tab,222.0,-11.525868625719303,,437.98126594713887,3.999953973795718,23.25866770298791,0.03229281766574807,-0.04580606743027245,0.0
LZ-tab,224.0,-10.774378712371673,,442.4027871126557,4.000662785070273,23.221524998868215,0.03214844273065666,-0.04209483167845159,0.0
LZ-tab,226.0,-9.978411180659307,,447.038131374429,4.001949755212669,23.297709797116532,0.032219549466968256,-0.03428867341601618,0.0
LZ-tab,228.0,-9.151778982431434,,451.6582340357259,4.0033281436811,23.53430616682498,0.032124234762655766,-0.02647617737318437,0.0
LZ-tab,230.0,-8.257954210093068,-8.234379397307968,456.571754311472,4.004401974973,23.811412057692493,0.03207398616974564,-0.03715766696073713,0.0
LZ-tab,232.0,-7.738332528549398,,460.90883406780625,4.005776769678171,23.787620458176765,0.032164768676222595,-0.025977278207408753,0.0
LZ-tab,234.0,-7.064760713037106,,465.45294862763024,4.00696510175529,23.908678467601188,0.032283643361914076,-0.04238726538378902,0.0
LZ-tab,236.0,-6.503190292626602,,470.36959709106264,4.008458578489115,24.087717942159745,0.03227602799539739,-0.027391148327401853,0.0
LZ-tab,238.0,-5.9139779162446136,,474.60327850551204,4.009402895323758,24.38949891789293,0.03200830308186795,-0.047422245247412655,0.0
LZ-tab,240.0,-5.48122150589748,-5.42444856015914,479.37961522921177,4.01064273685088,24.442976706462783,0.031862554369717175,-0.040051060994228685,0.0
LZ-tab,242.0,-5.054296586464774,,484.0120812958425,4.0115274838407915,24.62560565679474,0.03216344727056484,-0.03376369739654391,0.0
LZ-tab,244.0,-4.716840150669956,,488.542374903466,4.013035363136714,24.644974688784217,0.03218779159808568,-0.03483007446843108,5e-05
LZ-tab,246.0,-4.38294470401183,,493.110398428329,4.014265273556995,24.738058364824827,0.03181702207126143,-0.04546432252276073,0.0
LZ-tab,248.0,-4.125467423716648,,497.77049667778175,4.015176645542744,24.855241720535183,0.031618143671203094,-0.03287374718745637,0.0
LZ-tab,250.0,-3.880941872293103,-3.887576246543581,502.29533794295236,4.0164722857532364,25.202880367774664,0.0319110152909543,-0.029250686965197836,0.0001
