variant,E_S1,E_S1_g1lo,E_S1_g1hi,E_S2,E_S2_g2lo,E_S2_g2hi,E_comb,E_comb_glo,E_comb_ghi,S1c_at_248,log10S2c_at_248,S1c_at_270,Nq_at_250,dlnS1_dlnE,dlog10S2_dE
LZ-tab,266.2483230268228,270.53696226583685,262.1052380595745,176.66119555078848,194.2469366463054,161.30329065099195,264.41366384171585,259.954870876041,269.0408369690857,497.7547910477417,4.016526223934046,548.8484271469644,4868.970803606227,1.1484935777690453,0.0008423001793664842
LZ-nobreak,270.3184742899012,274.67913866015056,266.1053999911965,129.5999633731097,137.65384812549576,122.27609635921272,264.41366384171516,259.9548708760403,269.0408369690851,489.22536479067594,4.1160429763574164,539.370187603969,4868.970803606246,1.1467697697219137,0.0017986731243919696
NEST-default,276.5113922313449,280.95597946154936,272.21715101194144,113.26950824227636,120.15896069507569,107.0009169815028,268.78084342160463,264.2483748191941,273.4843783689998,476.42978002856984,4.149302141258009,525.4830994380549,4782.0186014105775,1.1509056412086238,0.0020944924614130223
LZ-beta1.11,252.96116926548186,257.0015102403614,249.05741151699735,176.66119555078848,194.2469366463054,161.30329065099195,251.45570744720084,247.2532801449565,255.8161202618929,527.8461447108546,4.016526223934046,582.4125381183992,5145.36953072593,1.1582603250313923,0.0008423001793664842
paper-contour,248.5635641445437,252.52867312815954,244.73241690464624,176.66119555078848,194.2469366463054,161.30329065099195,247.16079436661585,243.03629568821285,251.4402047630231,538.6799137279464,4.016526223934046,594.4071552787942,5244.810559128106,1.1596438769779525,0.0008423001793664842
