m_GeV,region,delta_best_at_m,dm2_min_at_m,ceiling_keV,dmax248_keV,delta_lo_68,delta_hi_68,n_pts_68,delta_lo_90,delta_hi_90,n_pts_90,delta_lo_68_1dof,delta_hi_68_1dof,n_pts_68_1dof,delta_lo_90_1dof,delta_hi_90_1dof,n_pts_90_1dof
200.0,LZ,230.0,9.133028895697862,276.5294018046655,265.20741135977397,,,0,,,0,,,0,,,0
300.0,LZ,315.0,5.174429297249617,316.59167148623027,315.7939536557191,,,0,,,0,,,0,,,0
400.0,LZ,340.0,1.3570549069802382,341.31577795320413,341.0872248036917,340.0,340.0,1,320.0,340.0,5,,,0,335.0,340.0,2
600.0,LZ,365.0,0.2302620616362674,370.22864339070594,366.38049595166433,350.0,365.0,4,325.0,365.0,9,360.0,365.0,2,350.0,365.0,4
1000.0,LZ,380.0,0.1062627620474359,397.14218013402126,386.6151128700423,360.0,385.0,6,330.0,390.0,13,375.0,380.0,2,355.0,385.0,7
2000.0,LZ,395.0,0.020672966617894417,420.0432644362501,401.79107555882587,370.0,400.0,7,335.0,405.0,15,385.0,395.0,3,365.0,400.0,8
4000.0,LZ,400.0,0.009558570996432536,432.5136491453222,409.37905690321764,375.0,405.0,7,335.0,410.0,16,390.0,405.0,4,370.0,410.0,9
10000.0,LZ,405.0,0.0,440.35774176293205,413.9318457098527,375.0,410.0,8,340.0,415.0,16,390.0,410.0,5,370.0,415.0,10
200.0,joint,220.0,9.237335736830346,276.5294018046655,265.20741135977397,,,0,,,0,,,0,,,0
300.0,joint,315.0,5.324037183970518,316.59167148623027,315.7939536557191,,,0,,,0,,,0,,,0
400.0,joint,340.0,1.477345491899996,341.31577795320413,341.0872248036917,340.0,340.0,1,320.0,340.0,5,,,0,340.0,340.0,1
600.0,joint,365.0,0.174518773171485,370.22864339070594,366.38049595166433,350.0,365.0,4,325.0,370.0,10,360.0,365.0,2,350.0,365.0,4
1000.0,joint,380.0,0.1428082091537135,397.14218013402126,386.6151128700423,365.0,385.0,5,335.0,390.0,12,375.0,385.0,3,360.0,385.0,6
2000.0,joint,395.0,0.005348471090201201,420.0432644362501,401.79107555882587,370.0,400.0,7,340.0,405.0,14,385.0,395.0,3,365.0,400.0,8
4000.0,joint,400.0,0.03305957316922559,432.5136491453222,409.37905690321764,375.0,410.0,8,340.0,410.0,15,390.0,405.0,4,370.0,410.0,9
10000.0,joint,405.0,0.0,440.35774176293205,413.9318457098527,380.0,410.0,7,340.0,415.0,16,395.0,410.0,4,375.0,415.0,9
