m_GeV,region,delta_keV,kappa_lo_68,kappa_hi_68,sigma_lo_68_cm2,sigma_hi_68_cm2,kappa_lo_90,kappa_hi_90,sigma_lo_90_cm2,sigma_hi_90_cm2
1000.0,joint,375.0,0.06025595860743581,0.9120108393559097,1.7862276263870656e-39,2.7035649161856503e-38,0.016595869074375595,1.3803842646028865,4.9196793992908525e-40,4.0920110897702906e-38
1000.0,joint,380.0,0.21877616239495518,5.4954087385762485,6.485400519652305e-39,1.6290589568219821e-37,0.0630957344480193,7.943282347242821,1.870409940907091e-39,2.354706605080366e-37
1000.0,joint,385.0,1.9952623149688788,25.11886431509582,5.914755571487353e-38,7.446236093496567e-37,0.5248074602497723,39.81071705534969,1.5557392259568055e-38,1.1801488894040927e-36
1000.0,joint,390.0,,,,,5.011872336272715,95.49925860214368,1.4857194265714752e-37,2.8309800052468346e-36
1000.0,joint,395.0,,,,,,,,
4000.0,LZ,100.0,,,,,,,,
4000.0,LZ,110.0,,,,,,,,
4000.0,LZ,120.0,,,,,,,,
4000.0,LZ,130.0,,,,,,,,
4000.0,LZ,140.0,,,,,,,,
4000.0,LZ,150.0,,,,,,,,
4000.0,LZ,160.0,,,,,,,,
4000.0,LZ,170.0,,,,,,,,
4000.0,LZ,180.0,,,,,,,,
4000.0,LZ,190.0,,,,,,,,
4000.0,LZ,200.0,,,,,,,,
4000.0,LZ,210.0,,,,,,,,
4000.0,LZ,220.0,,,,,,,,
4000.0,LZ,230.0,,,,,,,,
4000.0,LZ,240.0,,,,,,,,
4000.0,LZ,250.0,,,,,,,,
4000.0,LZ,260.0,,,,,,,,
4000.0,LZ,270.0,,,,,,,,
4000.0,LZ,280.0,,,,,,,,
4000.0,LZ,290.0,,,,,,,,
4000.0,LZ,300.0,,,,,,,,
4000.0,LZ,305.0,,,,,,,,
4000.0,LZ,310.0,,,,,,,,
4000.0,LZ,315.0,,,,,,,,
4000.0,LZ,320.0,,,,,,,,
4000.0,LZ,325.0,,,,,,,,
4000.0,LZ,330.0,,,,,,,,
4000.0,LZ,335.0,,,,,0.0007585775750291835,0.001,2.2518925978110967e-41,2.9685725915697725e-41
4000.0,LZ,340.0,,,,,0.0007244359600749906,0.0019054607179632482,2.1505407354261508e-41,5.656498461658558e-41
4000.0,LZ,345.0,,,,,0.0007943282347242822,0.0033113112148259144,2.358021026312505e-41,9.829867714489816e-41
4000.0,LZ,350.0,,,,,0.0009120108393559096,0.005495408738576248,2.7073703809264957e-41,1.6313519760810465e-40
4000.0,LZ,355.0,,,,,0.0010964781961431851,0.00954992586021437,3.254975120324524e-41,2.834964816015576e-40
4000.0,LZ,360.0,,,,,0.001445439770745928,0.017378008287493762,4.2908928862012567e-41,5.1587879098326335e-40
4000.0,LZ,365.0,,,,,0.0019054607179632482,0.03162277660168379,5.656498461658558e-41,9.387450788909241e-40
4000.0,LZ,370.0,,,,,0.0026302679918953813,0.06025595860743581,7.808141469223892e-41,1.7887418720079664e-39
4000.0,LZ,375.0,0.01995262314968879,0.057543993733715666,5.923081021208668e-40,1.7082352260737102e-39,0.003981071705534978,0.12589254117941687,1.1818100350125061e-40,3.7372114722828585e-39
4000.0,LZ,380.0,0.02754228703338169,0.1513561248436207,8.176127839644442e-40,4.4931164377698506e-39,0.00630957344480193,0.2754228703338169,1.8730426792735483e-40,8.176127839644442e-39
4000.0,LZ,385.0,0.04365158322401665,0.41686938347033553,1.295828935374427e-39,1.2375070260346272e-38,0.01148153621496884,0.6918309709189363,3.4083773716872246e-40,2.0537504582690583e-38
4000.0,LZ,390.0,0.08317637711026708,1.2022644346174132,2.469151133556102e-39,3.569009248424381e-38,0.022908676527677748,1.8197008586099825,6.800606924920194e-40,5.401914093725575e-38
4000.0,LZ,395.0,0.19054607179632482,3.981071705534969,5.6564984616585586e-39,1.1818100350125036e-37,0.05495408738576248,5.754399373371567,1.6313519760810465e-39,1.7082352260737105e-37
4000.0,LZ,400.0,0.5754399373371566,14.45439770745928,1.7082352260737102e-38,4.290892886201257e-37,0.16595869074375597,20.892961308540407,4.92660420674718e-39,6.202227229726077e-37
4000.0,LZ,405.0,3.1622776601683795,45.708818961487516,9.387450788909242e-38,1.3568994716209654e-36,0.8317637711026709,69.18309709189363,2.4691511335561023e-38,2.0537504582690582e-36
4000.0,LZ,410.0,,,,,6.025595860743569,131.825673855641,1.7887418720079627e-37,3.913340822730718e-36
4000.0,LZ,415.0,,,,,,,,
4000.0,LZ,420.0,,,,,,,,
4000.0,LZ,425.0,,,,,,,,
4000.0,LZ,430.0,,,,,,,,
4000.0,joint,100.0,,,,,,,,
4000.0,joint,110.0,,,,,,,,
4000.0,joint,120.0,,,,,,,,
4000.0,joint,130.0,,,,,,,,
4000.0,joint,140.0,,,,,,,,
4000.0,joint,150.0,,,,,,,,
4000.0,joint,160.0,,,,,,,,
4000.0,joint,170.0,,,,,,,,
4000.0,joint,180.0,,,,,,,,
4000.0,joint,190.0,,,,,,,,
4000.0,joint,200.0,,,,,,,,
4000.0,joint,210.0,,,,,,,,
4000.0,joint,220.0,,,,,,,,
4000.0,joint,230.0,,,,,,,,
4000.0,joint,240.0,,,,,,,,
4000.0,joint,250.0,,,,,,,,
4000.0,joint,260.0,,,,,,,,
4000.0,joint,270.0,,,,,,,,
4000.0,joint,280.0,,,,,,,,
4000.0,joint,290.0,,,,,,,,
4000.0,joint,300.0,,,,,,,,
4000.0,joint,305.0,,,,,,,,
4000.0,joint,310.0,,,,,,,,
4000.0,joint,315.0,,,,,,,,
4000.0,joint,320.0,,,,,,,,
4000.0,joint,325.0,,,,,,,,
4000.0,joint,330.0,,,,,,,,
4000.0,joint,335.0,,,,,,,,
4000.0,joint,340.0,,,,,0.000630957344480193,0.0012589254117941688,1.8730426792735481e-41,3.737211472282858e-41
4000.0,joint,345.0,,,,,0.0006606934480075965,0.0022908676527677745,1.961316461185079e-41,6.800606924920194e-41
4000.0,joint,350.0,,,,,0.0007585775750291835,0.003981071705534978,2.2518925978110967e-41,1.1818100350125061e-40
4000.0,joint,355.0,,,,,0.0009120108393559096,0.006918309709189363,2.7073703809264957e-41,2.0537504582690586e-40
4000.0,joint,360.0,,,,,0.001148153621496884,0.012589254117941687,3.408377371687224e-41,3.737211472282858e-40
4000.0,joint,365.0,,,,,0.0015135612484362072,0.022908676527677748,4.4931164377698514e-41,6.800606924920194e-40
4000.0,joint,370.0,,,,,0.002187761623949552,0.04570881896148752,6.494529193744814e-41,1.3568994716209656e-39
4000.0,joint,375.0,0.017378008287493762,0.039810717055349776,5.1587879098326335e-40,1.1818100350125062e-39,0.0033113112148259144,0.09549925860214369,9.829867714489816e-41,2.8349648160155755e-39
