m_GeV,delta_keV,Z_LZ,Z_joint,dZ,kappa_hat_LZ,kappa_hat_joint,kappa_ratio,mu_hat_LZ,mu_hat_joint,N_arch_at_LZfit,N_SR1_at_LZfit,k90hi_ratio,UL_excl_LZ,UL_excl_joint,UL_excl_ratio,UL_n1_ratio,sigma_kappa_hat_joint,sigma_UL_excl_LZ,sigma_UL_excl_joint
200,220,1.9272,1.7977,-0.12952,1.2023e-05,9.1201e-06,0.75858,1.2688,0.96249,0.2748,0.26466,0.77012,2.9781e-05,2.301e-05,0.77264,0.77083,2.6834e-43,8.7625e-43,6.7703e-43
300,300,2.6272,2.521,-0.10628,0.0021878,0.0016596,0.75858,0.99339,0.75356,0.31714,0.31563,0.75707,0.0050762,0.0038469,0.75782,0.75708,4.8982e-41,1.4982e-40,1.1354e-40
300,315,2.7733,2.673,-0.10028,0.21878,0.16596,0.75858,1.0067,0.76365,0.31939,0.31939,0.75863,0.50048,0.37995,0.75916,0.75866,4.8982e-39,1.4772e-38,1.1214e-38
400,300,2.6794,2.5739,-0.10544,0.00025119,0.00019055,0.75858,0.98796,0.74944,0.31724,0.31377,0.75487,0.00058984,0.00044565,0.75555,0.75482,5.6327e-42,1.7436e-41,1.3174e-41
400,340,3.3924,3.3154,-0.077048,2.3988,1.8197,0.75858,1.0094,0.76574,0.29815,0.29815,0.7718,5.4724,4.224,0.77188,0.77188,5.3792e-38,1.6177e-37,1.2487e-37
600,300,2.6775,2.5709,-0.10656,9.5499e-05,7.2444e-05,0.75858,0.98458,0.74688,0.3174,0.31268,0.75262,0.00022676,0.00017083,0.75335,0.75275,2.1448e-42,6.7137e-42,5.0578e-42
600,350,3.2766,3.193,-0.083655,0.038019,0.02884,0.75858,0.98096,0.74414,0.30541,0.30541,0.76251,0.089233,0.068049,0.76259,0.76257,8.5387e-40,2.6419e-39,2.0147e-39
600,365,3.5546,3.5064,-0.048264,8.7096,7.2444,0.83176,1.0186,0.84722,0.18958,0.18958,0.84325,19.688,16.602,0.84326,0.84283,2.1448e-37,5.8291e-37,4.9154e-37
600,370,2.8588,2.8278,-0.030979,75.858,69.183,0.91201,1.0127,0.92357,0.093935,0.093935,0.91501,172.49,157.86,0.91517,0.91491,2.0483e-36,5.1069e-36,4.6737e-36
1000,300,2.6774,2.5701,-0.10732,7.5858e-05,5.7544e-05,0.75858,1.0169,0.77142,0.32843,0.32293,0.7515,0.00017525,0.00013184,0.75227,0.75158,1.7058e-42,5.1952e-42,3.9082e-42
1000,350,3.1239,3.0353,-0.088672,0.0038019,0.002884,0.75858,0.98105,0.7442,0.30915,0.30915,0.76021,0.0089226,0.0067846,0.76039,0.76026,8.5494e-41,2.645e-40,2.0112e-40
1000,370,3.4219,3.3438,-0.078052,0.11482,0.087096,0.75858,1,0.75858,0.30252,0.30252,0.76753,0.26439,0.20296,0.76763,0.76776,2.5819e-39,7.8376e-39,6.0164e-39
1000,380,3.572,3.5109,-0.061144,2.0893,1.6596,0.79433,1.0187,0.80919,0.2467,0.2467,0.80519,4.7222,3.8024,0.80522,0.80479,4.9197e-38,1.3999e-37,1.1272e-37
1000,385,3.4415,3.4025,-0.039061,10.471,9.1201,0.87096,0.99402,0.86576,0.14228,0.14228,0.8747,24.256,21.218,0.87475,0.8748,2.7036e-37,7.1904e-37,6.2897e-37
1000,390,3.1452,3.1121,-0.033156,34.674,31.623,0.91201,0.99671,0.90901,0.10919,0.10919,0.90126,80.104,72.202,0.90135,0.90127,9.3743e-37,2.3746e-36,2.1403e-36
2000,300,2.679,2.5716,-0.10749,9.5499e-05,6.9183e-05,0.72444,1.032,0.74758,0.3335,0.32763,0.75069,0.00021803,0.00016383,0.75142,0.75102,2.0528e-42,6.4694e-42,4.8612e-42
2000,350,3.0425,2.9512,-0.091322,0.0021878,0.0016596,0.75858,1.0185,0.77263,0.32214,0.32187,0.75947,0.0049461,0.0037576,0.75971,0.75946,4.9243e-41,1.4676e-40,1.1149e-40
