delta_keV,kappa_hat_LZ,LZ SR1 2022 (NREFT 2023),XENON1T 2018,LUX 2021 EFT,PandaX-II 2019 SD-EFT,XENONnT 2025 (3.1 t yr),PandaX-4T 2025 (1.54 t yr),total,P0
250,1.096e-05,0.3158,0,0.00856,0,0,0,0.3244,0.723
300,7.586e-05,0.3229,0,0.005501,0,0,0,0.3284,0.7201
350,0.003802,0.3092,0,0,0,0,0,0.3092,0.7341
365,0.03981,0.3069,0,0,0,0,0,0.3069,0.7357
380,2.089,0.2467,0,0,0,0,0,0.2467,0.7814
390,34.67,0.1092,0,0,0,0,0,0.1092,0.8966
