dataset,exposure,kind,flag,N_at_joint_best,N_at_higgsino,N_at_fit_d300,N_at_fit_d350,N_at_fit_d365,N_at_fit_d380,P0_at_best,area90_now,area90_asimov,frac_asimov,delta90_asimov,kappa90_asimov,area90_asimovH,frac_asimovH,delta90_asimovH,kappa90_asimovH,area90_zero,frac_zero,delta90_zero,kappa90_zero,Z_if_zero,delta_best_zero
"LZ +6.76 t yr, 600 phd edge",6.76,lz600,LZ data since Apr 2024 (P069/P020: 884 cal d x 0.593 live x 4.71 t; +-25%),1.926,1.611,1.836,1.771,1.794,1.926,0.1457,85.3,47.2,0.5533,"[330.0, 390.0]","[0.34673685045253166, 4.570881896148752]",50.4,0.5909,"[330.0, 390.0]","[0.2754228703338169, 4.3651583224016655]",87.5,1.026,"[330.0, 390.0]","[0.02089296130854041, 2.754228703338169]",3.192,380
"LZ +6.76 t yr, 1000 phd edge",6.76,lz1000,"same exposure, P038 ROI extension (E50 = 423 keV)",60.85,12.63,2.122,3.653,8.621,60.85,3.728e-27,85.3,3.7,0.04338,"[375.0, 390.0]","[1.2589254117941688, 2.089296130854041]",16.2,0.1899,"[350.0, 385.0]","[0.07943282347242822, 0.25118864315095824]",308.7,3.619,"[200.0, 385.0]","[2.29086765276777e-05, 0.005011872336272725]",2.497,355
XENONnT 3.1 t yr reanalysed to 270 keV,3.1,lz600,LZ-like acceptance assumed (P035/P069),0.8833,0.7387,0.842,0.8123,0.8225,0.8833,0.4134,85.3,59.5,0.6975,"[330.0, 390.0]","[0.2089296130854041, 5.4954087385762485]",62.7,0.7351,"[330.0, 390.0]","[0.16595869074375597, 5.4954087385762485]",86.7,1.016,"[330.0, 390.0]","[0.03311311214825914, 4.1686938347033635]",3.327,380
XENONnT 3.1 + 3.0 t yr (incl. untouched),6.1,lz600,untouched 3.0 t yr recalled +-50% (P069),1.738,1.453,1.657,1.598,1.619,1.738,0.1759,85.3,49.1,0.5756,"[330.0, 390.0]","[0.33113112148259144, 4.7863009232263805]",51.9,0.6084,"[330.0, 390.0]","[0.26302679918953814, 4.3651583224016655]",87.7,1.028,"[330.0, 390.0]","[0.02187761623949552, 2.8840315031266055]",3.213,380
PandaX-4T 1.54 t yr reanalysed to 270 keV,1.54,lz600,LZ-like acceptance assumed,0.4388,0.3669,0.4183,0.4035,0.4086,0.4388,0.6448,85.3,68.9,0.8077,"[330.0, 390.0]","[0.13803842646028866, 6.309573444801943]",71.4,0.837,"[330.0, 390.0]","[0.1148153621496884, 6.309573444801943]",86.1,1.009,"[330.0, 390.0]","[0.04365158322401665, 5.4954087385762485]",3.406,380
PandaX-4T 1.54 + 2.5 t yr (incl. untouched),4.04,lz600,untouched 2.5 t yr recalled +-50% (P069),1.151,0.9626,1.097,1.059,1.072,1.151,0.3163,85.3,55.8,0.6542,"[330.0, 390.0]","[0.25118864315095824, 5.248074602497733]",58.5,0.6858,"[330.0, 390.0]","[0.1995262314968879, 5.011872336272715]",86.7,1.016,"[330.0, 390.0]","[0.028840315031266057, 3.6307805477010175]",3.287,380
"CaWO4 100 kg yr, W band 10-1300 keV",0.06385,W,P046 programme; tungsten mass fraction 0.6385; zero background assumed,643.4,42.24,0.342,3.144,19.49,643.4,3.777e-280,85.3,0.5,0.005862,"[380.0, 385.0]","[1.584893192461114, 1.7378008287493762]",5,0.05862,"[365.0, 380.0]","[0.057543993733715666, 0.10471285480509006]",399.9,4.688,"[150.0, 375.0]","[7.2443596007498914e-06, 0.0013182567385564075]",2.58,335
CaWO4 10 kg yr,0.006385,W,P046 first stage,64.34,4.224,0.0342,0.3144,1.949,64.34,1.142e-28,85.3,2.3,0.02696,"[375.0, 385.0]","[1.2589254117941688, 2.089296130854041]",17.1,0.2005,"[360.0, 380.0]","[0.026302679918953815, 0.17378008287493762]",251,2.943,"[200.0, 375.0]","[0.00013182567385564074, 0.018197008586099826]",2.967,355
