nuclide,E_keV,S1c_phd,log10S2c,in_WS_ROI,in_HE_SB_S1
I-125,67.3,421.173705848888,4.609130597363198,False,False
I-125,40.4,252.10150738434422,4.391540327435423,False,False
Xe-127,33.2,205.06851483448708,4.32022789693254,False,False
Xe-125,33.2,205.06851483448708,4.32022789693254,False,False
Xe-129m,236.1,1163.5871947101277,5.382197837038022,False,True
Xe-131m,163.9,876.5392973639351,5.16375538199827,False,True
Xe-133m,233.2,1152.3332898488543,5.37508903261605,False,True
Xe-133,81.0,499.03412796676815,4.710989658370074,False,False
Xe-133,200.0,1022.0747316100175,5.285149689643583,False,True
Kr-83m,41.5,259.2624206761051,4.401606713227034,False,False
