capture_set,normalisation,nuclide,half_life_d,atoms_end_irr_whole_LXe,atoms_event_whole_LXe,activity_event_Bq_whole_LXe,activity_event_uBq_per_kg,decays_FV_pm1h,decays_RFR_pm1h,decays_wall_layer_pm1h,remaining_fraction
thermal,central,Xe-125,0.7041666666666666,10194.237445364424,2.6402478045343516,3.0080215675420306e-05,0.0030080215675420308,0.10200802739848533,0.014378936627489913,0.0004548128610123551,0.0002589941443570101
thermal,central,Xe-127,36.4,315.3781843951935,268.8102895420907,5.9245616574329305e-05,0.00592456165743293,0.20091373492686554,0.028320573740930926,0.0008957937226038593,0.8523426883745719
thermal,central,Xe-129m,8.88,901.440425155591,468.2932780202232,0.0004230743312777521,0.04230743312777521,1.4347296722291127,0.20223787833846604,0.006396883888919612,0.519494427975531
thermal,central,Xe-131m,11.84,1818.717646871101,1112.8866969584876,0.0007540687917208672,0.07540687917208673,2.5571980864838046,0.3604597615229944,0.011401520130819513,0.6119073506946413
thermal,central,Xe-133,5.243,10305.475647899448,3924.463680655393,0.006004988431348038,0.6004988431348038,20.364116768387465,2.8705029589837543,0.09079542508198235,0.3808134446909602
thermal,central,Xe-133m,2.19,1178.8337113701339,82.8307346679177,0.0003034304191969816,0.030343041919698156,1.0289932375808037,0.14504572758270734,0.004587867938258362,0.0702649863750887
thermal,central,Xe-135,0.38083333333333336,1276.8984963886787,0.00029815698725674884,6.280898221531212e-09,6.280898221531212e-07,2.1299782048856647e-05,3.0023932828682907e-06,9.496718110955193e-08,2.335009306534511e-07
thermal,central,Xe-135m,0.010618055555555556,0.4902040790305342,6.721408152561687e-239,5.078401035906654e-242,5.078401035906654e-240,1.7221873592966644e-238,2.4275759007921598e-239,7.678542366290862e-241,1.3711448843621351e-238
thermal,central,Xe-137,0.002651388888888889,9.003472178044197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal,central,I-125,59.4,0.0,3598.6250835515066,0.0004860286566584097,0.048602865665840975,1.648220380459999,0.23233128806805592,0.007348753288675155,
thermal,central,Cs-137,11018.29797162,0.0,8.998723526149341,6.552063752116587e-09,6.552063752116587e-07,2.2219358596177765e-05,3.1320157570526386e-06,9.906720393200281e-08,
thermal,central,Xe-129,,0.0,433.1471471353678,0.0,0.0,0.0,0.0,0.0,
thermal,central,Xe-131,,0.0,705.8309499126134,0.0,0.0,0.0,0.0,0.0,
thermal,upper,Xe-125,0.7041666666666666,30582.71233609327,7.920743413603054,9.024064702626091e-05,0.009024064702626091,0.30602408219545596,0.04313680988246974,0.0013644385830370652,0.0002589941443570101
thermal,upper,Xe-127,36.4,946.1345531855803,806.430868626272,0.0001777368497229879,0.017773684972298788,0.6027412047805965,0.08496172122279276,0.0026873811678115775,0.8523426883745719
thermal,upper,Xe-129m,8.88,2704.321275466773,1404.8798340606697,0.0012692229938332563,0.12692229938332564,4.304189016687339,0.6067136350153982,0.01919065166675884,0.519494427975531
thermal,upper,Xe-131m,11.84,5456.152940613302,3338.660090875462,0.002262206375162601,0.22622063751626012,7.671594259451412,1.081379284568983,0.03420456039245853,0.6119073506946413
thermal,upper,Xe-133,5.243,30916.426943698338,11773.391041966177,0.018014965294044113,1.8014965294044112,61.092350305162384,8.611508876951262,0.27238627524594705,0.3808134446909601
thermal,upper,Xe-133m,2.19,3536.501134110401,248.49220400375305,0.0009102912575909446,0.09102912575909446,3.0869797127424112,0.43513718274812196,0.013763603814775085,0.0702649863750887
thermal,upper,Xe-135,0.38083333333333336,3830.6954891660357,0.0008944709617702464,1.8842694664593635e-08,1.8842694664593634e-06,6.389934614656994e-05,9.007179848604873e-06,2.8490154332865583e-07,2.335009306534511e-07
