E_keV,source,mu_rho_cm2_g,lambda_cm,lambda_assign_cm,P_20cm,P_26p9cm,P_26p4cm,P_20cm_assign,P_26p9cm_assign,compton_share,KN_frac_10_14keV,T_compton_max_keV,topologyB_per_gamma,topologyB_per_gamma_assign
35.5,I-125,29.444720545863806,0.01171101575475253,,0.0,0.0,0.0,,,0.004937734929415998,0.0,4.330763454920025,0.0,
39.6,Xe-129m,20.662153357861285,0.016688850393983778,,0.0,0.0,0.0,,,0.006946401182699176,0.0,5.314004259580243,0.0,
55.0,Xe-125,9.068142841046388,0.03802626317773203,0.12562935224603672,3.817903748068236e-229,5.991762517314084e-308,3.076160331594855e-302,7.260812957804095e-70,1.0186504004476226e-93,0.015116064366681663,0.0,9.742366734890071,0.0,0.0
57.6,Xe-127,8.081934613694916,0.04266646572747358,0.13675114065234037,2.6515685657205327e-204,1.5474312003782945e-274,1.9011823667518798e-269,3.047680049930324e-64,3.7233923795178915e-86,0.01683537091561345,0.07962268644872984,10.596503667364527,0.0,7.083065968061275e-196
81.0,Xe-133,3.296382382046463,0.10460788411107222,0.2572354079420772,9.271726913650402e-84,2.093297956459213e-112,2.4925968031371943e-110,1.712747955823839e-34,3.83988042764042e-46,0.03877081871794135,0.1583539326688749,19.49780014531968,2.006784927152884e-253,7.004160043955809e-97
145.3,Xe-127,0.7373400446136813,0.4676642598294848,0.984435389633609,2.673515249384592e-19,1.0457459353843893e-25,3.0461348029657397e-25,1.5023820511677937e-09,1.35759309313434e-12,0.1503708103054605,0.07960039696713088,52.674940961752704,9.5572398899599e-52,1.1440343372698223e-25
163.9,Xe-131m,0.559014183844755,0.6168494399109189,1.2981801692506378,8.297495579946998e-15,1.1507573434681832e-19,2.5882729839389463e-19,2.037887265990319e-07,1.0019529060772614e-09,0.19154700536110775,0.06912425486242267,64.05160235050353,1.126204262991978e-38,8.204704354003399e-20
172.1,Xe-127,0.5018235198726683,0.6871491122902977,1.4788914576383434,2.2883752233884213e-13,9.966992551072238e-18,2.0633644928296123e-17,1.3389257744023105e-06,1.2603393472896638e-08,0.21027414409176742,0.06506228323543578,69.2667086841776,8.304552017496138e-35,8.752176433222797e-18
188.4,Xe-125,0.41083654926197083,0.8393303537047686,1.883815530246324,4.481313367000798e-11,1.2054248699771308e-14,2.1870313808878613e-14,2.4502123273678368e-05,6.287514565119174e-07,0.24976727648439936,0.057895167305481346,79.96080193827659,1.0282226760893583e-28,1.9581619404548498e-14
196.6,Xe-129m,0.3739079489590637,0.922225877162748,2.1111586030217455,3.8159509140724965e-10,2.1490956175103374e-13,3.6958613391675313e-13,7.68641412592177e-05,2.926162790499663e-06,0.27075538712864883,0.054702258981943835,85.49348097045008,2.9015851633872724e-26,4.257906094728516e-13
202.9,Xe-127,0.3497435494623785,0.9859440917122312,2.2969711965168753,1.549821817898172e-09,1.4155622788384266e-12,2.3505632236750734e-12,0.0001654042093431392,8.20247886497618e-06,0.28654330522677973,0.052418074579991716,89.80902029779702,1.2564843449145304e-24,3.309749109905496e-12
233.2,Xe-133m,0.26447584781045974,1.3038150328721965,3.0420056129902235,2.178194838308603e-07,1.0958222001798294e-09,1.6080060425872665e-09,0.0013953502387716481,0.00014441055788063934,0.36184406730529345,0.043179382272835444,111.2795081640149,5.677679704094824e-19,1.3992027284734926e-09
243.4,Xe-125,0.24269296424726572,1.4208388252062052,3.316214397698356,7.705263945805236e-07,5.994172192847022e-09,8.522353151310512e-09,0.002403154205131591,0.00030002075873193483,0.38859177261197403,0.04061573463808992,118.74848541640151,1.423587413035948e-17,5.63132578434353e-09
249.8,Xe-135,0.2303698777544589,1.496843205232036,3.494357334383821,1.5746887728406983e-06,1.5675698913703824e-08,2.1892585022990138e-08,0.0032682091459367113,0.00045367697253077263,0.4057210260414361,0.03912435131497446,123.49119680506314,8.757168494871247e-17,1.2345492000761966e-08
375.0,Xe-127,0.11877246509397665,2.9032620139192846,5.5,0.0010191330384112778,9.463908543308377e-05,0.00011242548317138326,0.026347980814448734,0.007514587925282025,0.6773868036632067,0.021355330530856344,223.0374488798167,1.0607581907105603e-09,2.6273213144266004e-06
455.5,Xe-137,0.09394295628827899,3.6706060766145994,,0.004301930236823088,0.0006565642378420275,0.0007523772230198905,,,0.792398630618828,0.015871993353729116,291.8149028234197,3.3027965972923704e-08,
526.6,Xe-135m,0.08171616755176342,4.219820832743585,,0.008742686838177846,0.0017041680565314824,0.0019185419398550217,,,0.8575922347079038,0.012710954297967762,354.56813359425496,1.6369993855191217e-07,
661.7,Cs-137,0.06902225408509063,4.995889960095958,,0.018255466000224315,0.00458747258712484,0.005070358403993644,,,0.9193698979360128,0.008964268433823195,477.3736684330945,7.118041610532849e-07,
