channel,tau_s,decay_length_km,R_over_ctau,light_crossing_us
Higgsino tau_gamma ~0.06-0.1 s (P014/P026),0.06,17987.54748,0.0006671281903963041,40.02769142377824
Higgsino tau_nunu 4.6e5 s (P014/P026),460000.0,137904530680.0,8.701672048647445e-11,40.02769142377824
dark photon tau_nunu >= 7e16 s (P011/P026),7e+16,2.098547206e+22,5.718241631968321e-22,40.02769142377824
assignment lower bracket 0.02 s,0.02,5995.84916,0.0020013845711889123,40.02769142377824
