d_pc,case,T_inf,lam_um,F_nJy,AB,t_5sigma_s_F200W
10,kinetic,1609.1155087573518,1.5,0.22949796949712875,32.99811850370027,
10,kinetic,1609.1155087573518,2.0,0.43338355762462205,32.307884546379924,1078152.4318801558
10,kinetic,1609.1155087573518,4.4,0.5301768312152743,32.08901375954215,
10,kinetic+annihilation,2389.0482864789124,1.5,1.6311529485598704,30.868828908520843,
10,kinetic+annihilation,2389.0482864789124,2.0,1.9386751043579764,30.6813030389964,53878.43358374126
10,kinetic+annihilation,2389.0482864789124,4.4,1.1994593756756318,31.202601763549854,
10,hypothetical 2000 K,2000.0,1.5,0.7397625311771544,31.727334795760726,
10,hypothetical 2000 K,2000.0,2.0,1.0551675725493972,31.341762032310744,181878.8315849299
10,hypothetical 2000 K,2000.0,4.4,0.8512280279566239,31.574950834826964,
30,kinetic,1609.1155087573518,1.5,0.02549977438856986,35.383724777298575,
30,kinetic,1609.1155087573518,2.0,0.048153728624958,34.69349081997824,87330346.98229264
30,kinetic,1609.1155087573518,4.4,0.058908536801697144,34.47462003314046,
30,kinetic+annihilation,2389.0482864789124,1.5,0.18123921650665223,33.25443518211915,
30,kinetic+annihilation,2389.0482864789124,2.0,0.21540834492866406,33.06690931259472,4364153.120283041
30,kinetic+annihilation,2389.0482864789124,4.4,0.13327326396395905,33.58820803714816,
30,hypothetical 2000 K,2000.0,1.5,0.0821958367974616,34.11294106935904,
30,hypothetical 2000 K,2000.0,2.0,0.11724084139437747,33.72736830590905,14732185.358379323
30,hypothetical 2000 K,2000.0,4.4,0.09458089199518042,33.96055710842528,
100,kinetic,1609.1155087573518,1.5,0.002294979694971288,37.99811850370027,
100,kinetic,1609.1155087573518,2.0,0.00433383557624622,37.307884546379924,10781524318.801561
100,kinetic,1609.1155087573518,4.4,0.005301768312152744,37.08901375954215,
100,kinetic+annihilation,2389.0482864789124,1.5,0.016311529485598705,35.86882890852084,
100,kinetic+annihilation,2389.0482864789124,2.0,0.019386751043579765,35.681303038996404,538784335.8374125
100,kinetic+annihilation,2389.0482864789124,4.4,0.011994593756756319,36.20260176354985,
100,hypothetical 2000 K,2000.0,1.5,0.007397625311771543,36.727334795760726,
100,hypothetical 2000 K,2000.0,2.0,0.010551675725493976,36.34176203231074,1818788315.8492978
100,hypothetical 2000 K,2000.0,4.4,0.008512280279566239,36.574950834826964,
