delta,w_needed_kms,r_thr_Rsun,mass_fraction_inside
300,1043.5027728758598,0.3442836578528677,0.6958869109348949
350,1127.11181484634,0.2697704371543299,0.5271965219065065
366,1152.5864848849835,0.25486779301462237,0.4869984672692395
380,1174.4236232578817,0.232513826805061,0.4237125994530899
