delta,E_minus_keV,E_plus_keV,P_cap,sigma_crit_n_iso,sigma_crit_p_darkphoton,sigma_crit_n_Higgsino
0,0.0,8093.553938304685,0.04747760390260278,2.1248657525763353e-41,8.499463010305341e-41,9.93792800134255e-41
300,11.754291046355254,7488.432265837442,0.07836417834700958,1.2873679871981325e-41,5.14947194879253e-41,6.020978197091398e-41
350,16.22282030323273,7385.069173010417,0.0852044616318255,1.1840170410670523e-41,4.736068164268209e-41,5.537609184119172e-41
366,17.82016878576484,7351.8255641854375,0.08751920728268714,1.152701648921148e-41,4.610806595684592e-41,5.391148113765682e-41
380,19.28601997247267,7322.669235199087,0.08959714270425348,1.1259682117322244e-41,4.5038728469288975e-41,5.266116697691602e-41
