model,sigma,sigma_crit,sigma_over_crit,f,T_inf_kin,mfp_cm,n_scatter_R,P_exit_unscattered,f_with_FF_0p03
Higgsino (P007) sigma_n,7.4e-39,2.540193540439449e-45,2913163.8523574127,0.9999999999998953,1609.1155087573097,0.5492310357706917,2184872.8892680593,0.0,0.9999999998836209
"dark photon (P011) sigma_p, delta=250",1.2e-42,3.628847914913498e-44,33.06834643216523,0.9991871273339771,1608.7884075277057,48384.638865513305,24.80125982412392,1.694141628691917e-11,0.6042433179734072
"dark photon (P011) sigma_p, delta=300",8.6e-42,3.628847914913498e-44,236.98981609718413,0.9999841733823814,1609.1091420055998,6751.344957978601,177.74236207288808,6.419082409691198e-78,0.9824196607041469
"dark photon (P011) sigma_p, delta=350",3e-40,3.628847914913498e-44,8267.086608041307,0.9999999869940374,1609.1155035253278,193.5385554620532,6200.314956030981,0.0,0.9999855489303818
"dark photon (P011) sigma_p, delta=365",2.3e-39,3.628847914913498e-44,63380.99732831669,0.9999999997787266,1609.1155086683382,25.2441594080939,47535.747996237515,0.0,0.9999997541405925
"P021 best-fit sigma_n, delta=300",2.19634703196347e-42,2.540193540439449e-45,864.6376730741179,0.9999988110073523,1609.1150304505113,1850.4861051350997,648.4782548055883,2.3413821531424775e-282,0.9986788970581412
"P021 best-fit sigma_n, delta=350",1.1575342465753424e-40,2.540193540439449e-45,45568.74222958188,0.9999999995719314,1609.1155085851487,35.11178763589677,34176.55667218641,0.0,0.999999524368198
"P021 best-fit sigma_n, delta=380",6.5e-38,2.540193540439449e-45,25588601.405842137,0.9999999999999987,1609.1155087573513,0.0625278409954326,19191451.0543816,0.0,0.9999999999984917
