sigma_cm2,f_n,f_exp_n,T_inf_kin_n,T_inf_kin_p,T_inf_kin_ann_n
1e-47,0.003928004182019218,0.003928969232312229,402.83779116973403,207.321827686343,598.0918892927834
1.0594065571188456e-47,0.004160806525594252,0.004161889405044694,408.67832158035986,210.3345869400075,606.7633047963287
1.1223422532664243e-47,0.004407372065755033,0.00440858714824921,414.60272224060395,213.39112700740503,615.5592421723229
1.18901674244199e-47,0.004668510278514559,0.004669873687516812,420.61213709879974,216.49208410254556,624.4813998369399
1.2596521334671336e-47,0.004945077747728899,0.004946607556399751,426.70772141824796,219.63810368477607,633.531493005647
1.3344837298838465e-47,0.00523798079986626,0.005239697299232682,432.89064059302166,222.82984059312972,642.7112519350343
1.4137608138073613e-47,0.005548178379402802,0.005550104321469074,439.1620710622168,226.06795918262623,652.0224232801994
1.497747476345194e-47,0.005876684993298853,0.005878845894720208,445.52319934307104,229.35313346256228,661.4667686592228
1.5867234973483276e-47,0.006224573849510584,0.006226998323920152,451.9752218229415,232.68604723680258,671.0460643443172
1.6809852774253655e-47,0.0065929801357209605,0.006595700284275474,458.5193440328642,236.06739424610967,680.7621001832845
1.780846825324674e-47,0.006983104523248573,0.006986156335872407,465.1567808265209,239.4978783125507,690.6166798652263
1.8866408039732698e-47,0.007396216771253683,0.007399640624018433,471.8887550801513,242.97821348599416,700.6116189903088
1.9987196386572525e-47,0.007833659623011857,0.007837500773581918,478.71649812210444,246.50912419273507,710.7487457075159
2.117456691035703e-47,0.008296852779582475,0.008301161985754368,485.64124813602183,250.09134538628928,721.0298983438609
2.243247502898434e-47,0.008787297174125963,0.008792131345788823,492.664250099181,253.72562270036968,731.4569253128449
2.376511113811078e-47,0.009306579410787053,0.00931200235036822,499.7867548838376,257.41271260408604,742.0316837802233
2.5176914570372666e-47,0.00985637642446413,0.009862459663311895,507.01001834700617,261.1279170544726,752.7560383126056
2.6672588383874243e-47,0.010438460381731574,0.010445284108329456,514.3353005467142,264.92102461886185,763.631859713831
2.825711502920833e-47,0.011054703805068122,0.011062357907482001,521.7638647240917,268.76914882741454,774.6610235136801
2.993577294720478e-47,0.01170708494539896,0.011715670173884085,529.2969762874573,272.6730920615482,785.845408459551
3.1714154152690215e-47,0.012397693393323639,0.01240732266697564,536.9359015884389,276.6336129390757,797.1868946993698
3.359818286283788e-47,0.013128735951418391,0.01313953581839633,544.6819066807602,280.6515421701553,808.6873619387653
3.559413523216848e-47,0.013902542768861936,0.013914655036091572,552.536255986531,284.72770727918316,820.3486874609148
3.7708660259934825e-47,0.014721573734872706,0.014735157293744972,560.5002107748792,288.86295531929926,832.1727438677739
3.9948801939541784e-47,0.01558842514330816,0.01560365801196495,568.5750275384227,293.05811006607956,844.1613966696303
4.2322022723792626e-47,0.016505836634217008,0.016522918236820172,576.7619562763477,297.31403997835906,856.3165017359966
4.483622838411943e-47,0.017476698402945412,0.017495852120292588,585.0622385689054,301.63160769381886,868.63990243682
4.749979434661422e-47,0.018504058689353897,0.018525534705995717,593.4771055492051,306.01169667121155,881.1334266312132
5.032159359259978e-47,0.01959113153522507,0.019615210022037144,602.0077756672935,310.455204890808,893.7988833477881
5.331102621667076e-47,0.020741304815669714,0.02076829948116299,610.6554523158009,314.9630326233939,906.6380592594633
5.647805074067569e-47,0.02195814853019351,0.021988410586288865,619.4213212356267,319.53609165745866,919.652714831692
5.98332172879627e-47,0.0232454233508802,0.02327934593714298,628.3065477393584,324.1753120332541,932.8445802000831
6.338770272838436e-47,0.024607089411380345,0.024645112530976454,637.3122737054779,328.8816357289015,946.2153507077093
6.715334791115163e-47,0.026047315323201592,0.026089931347116013,646.4396143460049,333.6560107410581,959.7666821060374
7.114269710955716e-47,0.027570487401324395,0.02761824720145667,655.6896547426007,338.4994026799246,973.5001854120952
7.53690398089848e-47,0.029181219067374364,0.0292347388528027,665.0634460902219,343.4127872405374,987.4174213314353
7.984645497739111e-47,0.03088436041121201,0.03094432933815705,674.5620016991681,348.39715056942873,1001.5198943223907
