multiplet,mass_TeV,sigv_WW,sigv_ZZ,sigv_tot,sigv_gg_tree,sigv_Zg_tree
"(2,1/2)",1.0,5.2149665411506675e-27,4.4074666741214315e-27,9.6224332152721e-27,0.0,0.0
"(2,1/2)",1.1,4.312320933389343e-27,3.64518384175833e-27,7.957504775147673e-27,0.0,0.0
"(2,1/2)",2.0,1.3069168470986785e-27,1.1053258794149311e-27,2.4122427265136097e-27,0.0,0.0
"(2,1/2)",2.4,9.078054274559571e-28,7.67831666091261e-28,1.6756370935472183e-27,0.0,0.0
"(2,1/2)",4.5,2.58323926263174e-28,2.185183899384836e-28,4.768423162016576e-28,0.0,0.0
"(3,1)",1.0,2.085986616460267e-26,7.05194667859429e-26,9.137933295054558e-26,0.0,0.0
"(3,1)",1.1,1.7249283733557372e-26,5.832294146813328e-26,7.557222520169065e-26,0.0,0.0
"(3,1)",2.0,5.227667388394714e-27,1.7685214070638898e-26,2.2912881459033613e-26,0.0,0.0
"(3,1)",2.4,3.6312217098238285e-27,1.2285306657460176e-26,1.5916528367284004e-26,0.0,0.0
"(3,1)",4.5,1.033295705052696e-27,3.496294239015738e-27,4.529589944068434e-27,0.0,0.0
"(4,3/2)",1.0,4.693469887035601e-26,3.5700480060383606e-25,4.0393949947419205e-25,0.0,0.0
"(4,3/2)",1.1,3.881088840050409e-26,2.952598911824248e-25,3.3407077958292886e-25,0.0,0.0
"(4,3/2)",2.0,1.1762251623888109e-26,8.953139623260942e-26,1.0129364785649753e-25,0.0,0.0
"(4,3/2)",2.4,8.170248847103615e-27,6.219436495339216e-26,7.036461380049577e-26,0.0,0.0
"(4,3/2)",4.5,2.324915336368566e-27,1.7699989585017177e-26,2.0024904921385743e-26,0.0,0.0
"(5,2)",1.0,8.343946465841068e-26,1.1283114685750865e-24,1.2117509332334972e-24,0.0,0.0
"(5,2)",1.1,6.899713493422949e-26,9.331670634901325e-25,1.002164198424362e-24,0.0,0.0
"(5,2)",2.0,2.0910669553578857e-26,2.8296342513022237e-25,3.0387409468380124e-25,0.0,0.0
"(5,2)",2.4,1.4524886839295314e-26,1.9656490651936282e-25,2.1108979335865813e-25,0.0,0.0
"(5,2)",4.5,4.133182820210784e-27,5.594070782425181e-26,6.007389064446259e-26,0.0,0.0
