multiplet,mass_TeV,v_rel,S_tot,S_WW,S_ZZ,sigv_line
"(5,2)",4.5,1.104742829463239e-05,532.3579017967896,5554.27480505023,161.33024416402796,2.578498633226262e-24
"(5,2)",4.5,2.01407894412228e-05,532.3574091501758,5554.270094010031,161.3300631794191,2.5784967722909046e-24
"(5,2)",4.5,3.67190796352817e-05,532.3557717177705,5554.254435711812,161.32946163213498,2.5784905870194853e-24
"(5,2)",4.5,6.694329500821696e-05,532.3503293830407,5554.202392251109,161.32746226688207,2.5784700290786623e-24
"(5,2)",4.5,0.00012204567192504444,532.3322415654736,5554.029424152791,161.32081726465572,2.5784017045557275e-24
"(5,2)",4.5,0.00022250392714919803,532.272135496376,5553.4546534234105,161.29873548529642,2.578174667959934e-24
"(5,2)",4.5,0.000405651399315671,532.0725073244142,5551.545739138153,161.22539224298575,2.5774206937659305e-24
"(5,2)",4.5,0.0007395512514097,531.4106469738119,5545.217367436627,160.98218327072865,2.5749217395505485e-24
"(5,2)",4.5,0.001348290809262159,529.2289245407493,5524.363087250537,160.1800207743567,2.5666933410693496e-24
"(5,2)",4.5,0.0024580961804548745,522.172139358853,5456.9774890567405,157.5804296501854,2.5401765698360125e-24
"(5,2)",4.5,0.004481404746557171,500.6772730802298,5252.424572117034,149.61019969192822,2.460431973141369e-24
"(5,2)",4.5,0.008170139420154312,445.6126784692553,4734.920412600719,128.71141703462936,2.2658533128981823e-24
"(5,2)",4.5,0.01489514603563558,351.0229302537674,3894.1609466056966,89.24994113381936,2.0091012817571135e-24
"(5,2)",4.5,0.027155641294884982,261.18833227006695,3360.020197421186,32.241428035168774,2.356485864453399e-24
"(5,2)",4.5,0.04950799759681563,34.291620171594076,321.0552012861282,13.105045036036014,2.2483457081863506e-24
"(5,2)",4.5,0.0902590294013043,8.92599376177553,27.519347290667778,7.552285566227041,3.9588150000146666e-25
"(5,2)",4.5,0.16455305776676196,7.656029034893659,33.40278102902909,5.753815743023583,7.207701401476867e-27
"(5,2)",4.5,0.29999999999999993,4.250267466987928,13.498821795495088,3.5669687356265474,1.964053278039355e-27
