multiplet,mass_GeV,S_tot_MW,S_tot_sat,S_WW_MW,sigv_tree_tot,sigv_MW_tot,sigv_sat_tot,sigv_line_MW,sigv_line_sat
"(4,3/2)",612.4471164684367,7.860603562372902,7.860891343292407,18.579181862833302,1.0695584248186782e-24,8.407374764295652e-24,8.40768256280261e-24,2.0118692849184455e-26,2.0118734140617627e-26
"(4,3/2)",655.291886642876,9.569448348428379,9.569930033951076,23.61860828777838,9.355726849199868e-25,8.952914484542272e-24,8.953365136360029e-24,2.5081151766557703e-26,2.5081436368210714e-26
"(4,3/2)",701.1339349200929,11.959082361930331,11.959924086712121,30.868207008999352,8.182247152873302e-25,9.785216760688178e-24,9.785905480708108e-24,3.225584564563629e-26,3.225669315908756e-26
"(4,3/2)",750.1829409410059,15.433382827366728,15.434935188994421,41.723034062851916,7.15483935122049e-25,1.1042337477569401e-23,1.1043448167375515e-23,4.3079433821879016e-26,4.3081611047992025e-26
"(4,3/2)",802.6632528391823,20.738156218318096,20.741224592844823,58.80964739348707,6.255589431543304e-25,1.2972939086900474e-23,1.2974858536026615e-23,6.029401700969296e-26,6.029950452623075e-26
"(4,3/2)",858.814913399959,29.369390405756068,29.37604085834466,87.50041890056093,5.46871500813632e-25,1.6061282609177306e-23,1.6064919552165517e-23,8.959339496573861e-26,8.960786011175359e-26
"(4,3/2)",918.8947580062622,44.67649059481119,44.69288083909696,140.06185119181976,4.780327853416014e-25,2.1356827238325454e-23,2.1364662312453807e-23,1.4419271440472373e-25,1.442348874670855e-25
"(4,3/2)",983.1775893930661,75.4092669808627,75.45818287434679,249.17450264028307,4.178218733772371e-25,3.150764119994828e-23,3.152807933020172e-23,2.599248641670417e-25,2.60071271034794e-25
"(4,3/2)",1051.9574345837902,150.4870048891581,150.6872541090007,525.0052359138343,3.651663598984819e-25,5.495279178739892e-23,5.502591606608134e-23,5.598601513715674e-25,5.6055006375330715e-25
"(4,3/2)",1125.5488897577948,414.69041905376105,416.2212120852252,1530.2914646444233,3.191249838358923e-25,1.323380732774309e-22,1.32826587578853e-22,1.685198813571855e-24,1.6912277114791642e-24
"(4,3/2)",1204.2885592003443,2931.752487768145,3008.222910100998,11466.715013424306,2.7887211359527275e-25,8.175840128021016e-22,8.389094811055874e-22,1.3190785632243048e-23,1.3533069575764554e-23
"(4,3/2)",1288.536594916753,8639.380355758585,9298.341508811774,35895.729673592214,2.436839383630672e-25,2.1052782301077685e-21,2.2658564791120373e-21,4.3703646568317204e-23,4.70299218510976e-23
"(4,3/2)",1378.6783439528238,758.6822712017428,762.9916734496089,3357.497609217583,2.1292621096962135e-25,1.6154334133681375e-22,1.6246092602899587e-22,4.391860402904703e-24,4.416019702287772e-24
