R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,delta,r,rho_hi,rho_lo,rho_248,ratio_enh
6466423480903.935,2339470054816.412,224581736601.9662,0.034730440600616544,28.793184961271344,10.417009371348545,2672705791.127863,0.9951490457353513,nan,nan,9.5,0.008923927087146703,0.5,annual,0.0,-2.0,3.573863149400408,3.696293857212802,3.596778784931603,0.9668774419616318
6336037006658.405,2292475061493.1094,220030326788.35315,0.034726805818389,28.79619868379794,10.41890495258064,2618572210.0350823,0.9951493509764285,nan,nan,9.5,0.008923287932562179,0.5,annual,0.0,-1.98,3.5014346605268,3.6217632105206037,3.5239288226674352,0.9667762515107917
6206978584494.896,2245957486160.466,215525536194.8537,0.034723099695113974,28.799272207276875,10.420841659013094,2564992581.0269117,0.9951496627588092,nan,nan,9.5,0.008922635945128961,0.5,annual,0.0,-1.96,3.4297480428103873,3.5479916961010334,3.4518243383052525,0.966673074962214
6079248214413.411,2199917328818.4824,211067364821.4677,0.03471932011610315,28.80240732410513,10.422820840537296,2511966904.103352,0.9951499812946928,nan,nan,9.5,0.008921970734837897,0.5,annual,0.0,-1.94,3.358803296251167,3.474979313954092,3.3804653318450564,0.9665678534440738
5952845896413.944,2154354589467.1592,206655812668.19528,0.03471546488255086,28.805605898788727,10.424843906646709,2459495179.264403,0.9951503068055406,nan,nan,9.5,0.00892129189573169,0.5,annual,0.0,-1.92,3.2886004208491415,3.4027260640797774,3.309851803286846,0.9664605257427622
5827771630496.501,2109269268106.4958,202290879735.03638,0.03471153170732637,28.808869871591856,10.42691232975628,2407577406.510064,0.9951506395225845,nan,nan,9.5,0.008920599005082318,0.5,annual,0.0,-1.9,3.21913941660431,3.3312319464780917,3.239983752630622,0.9663510281857465
5704025416661.077,2064661364736.4922,197972566021.99097,0.034707518210512586,28.812201262408596,10.429027648745775,2356213585.8403363,0.9951509796873822,nan,nan,9.5,0.008919891622517025,0.5,annual,0.0,-1.88,3.150420283516672,3.2604969611490335,3.170861179876384,0.9662392945173702
5581607254907.676,2020530879357.1494,193700871529.05914,0.0347034219146727,28.81560217487364,10.431191472744757,2305403717.2552195,0.9951513275523861,nan,nan,9.5,0.008919169289089174,0.5,annual,0.0,-1.86,3.0824430215862284,3.1905211080926037,3.102484085024133,0.9661252557670781
5460517145236.294,1976877811968.4653,189475796256.24072,0.03469924023982558,28.819074800729027,10.433405485178708,2255147800.754712,0.9951516833815702,nan,nan,9.5,0.008918431526289837,0.5,annual,0.0,-1.84,3.0152076308129767,3.121304387308801,3.034852468073866,0.9660088401095347
5340755087646.934,1933702162570.4424,185297340203.53595,0.03469497049810901,28.82262142446564,10.435671448097464,2205445836.3388157,0.9951520474510926,nan,nan,9.5,0.0089176778349957,0.5,annual,0.0,-1.82,2.9487141111969213,3.0528467987976264,2.967966329025586,0.9658899727160505
5222321082139.593,1891003931163.078,181165503370.94458,0.034690609888107606,28.82624442825991,10.437991206809178,2156297824.0075293,0.995152420050008,nan,nan,9.5,0.008916907694348391,0.5,annual,0.0,-1.8,2.8829624627380577,2.985148342559079,2.9018256678792915,0.9657685755966751
5105215128714.276,1848783117746.3745,177080285758.4668,0.03468615548882141,28.82994629722738,10.44036669484524,2107703763.7608547,0.9951528014810231,nan,nan,9.5,0.008916120560560044,0.5,annual,0.0,-1.78,2.8179526854363885,2.9182090185931613,2.836430484634984,0.9656445674322859
4989437227370.978,1807039722320.3303,173041687366.10248,0.03468160425324786,28.833729625017337,10.442799939283969,2059663655.5987892,0.9951531920613124,nan,nan,9.5,0.008915315865639315,0.5,annual,0.0,-1.76,2.753684779291913,2.8520288268998693,2.771780779292661,0.9655178633959126
4874987378109.701,1765773744884.9473,169049708193.85175,0.0346769530015484,28.837597119774276,10.445293066463675,2012177499.5213354,0.995153592123398,nan,nan,9.5,0.00891449301603167,0.5,annual,0.0,-1.74,2.690158744304632,2.7866077674792065,2.707876551852326,0.9653883749625002
4761865580930.446,1724985185440.2227,165104348241.71445,0.03467219841376829,28.841551610494392,10.447848308118614,1965245295.528491,0.9951540020160773,nan,nan,9.5,0.008913651391167088,0.5,annual,0.0,-1.72,2.627374580474543,2.7219458403311716,2.644717802313975,0.9652560097062319
4650071835833.213,1684674043986.1592,161205607509.69077,0.034667337022075376,28.845596053807725,10.450468007974761,1918867043.6202583,0.9951544221054376,nan,nan,9.5,0.008912790341907811,0.5,annual,0.0,-1.7,2.56533228780165,2.6580430454557646,2.5823045306776113,0.96512067108446
4539606142817.998,1644840320522.7546,157353485997.78052,0.034662365202480325,28.849733541219607,10.453154628846006,1873042743.7966354,0.9951548527759319,nan,nan,9.5,0.008911909188887996,0.5,annual,0.0,-1.68,2.504031866285949,2.5948993828529847,2.5206367369432328,0.9649822582072023
