label,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh,r_Nlo_min,Nlo_min,r_max_rho_hi,max_rho_hi,r_max_ratio_enh,max_ratio_enh
r=+2,28474635857.435833,287531992170483.6,28756522673193.703,1009.899575789808,0.0009901974651469025,9.998844277459026,50812864093.36924,0.9978980017440153,99.48133710881464,258.8843195934296,153.5,0.012503120607612725,51.5,annual,1000.0,250.0,2.0,2.342983078661448,1.9011250205415529,1.1877311763500007,0.8114121855406955,-0.7562881255519502,0.9932364517637555,2.0,1.9011250205415529,-0.88,10909.965555046736
iso,0.0,14240500392167.316,3290397580256.1743,inf,0.0,4.327896567155456,10342504751.261768,0.9952494422987773,nan,265.6450629646232,168.0,0.04097691357878922,84.5,annual,1000.0,300.0,1.0,nan,1.0,1.0,nan,-0.8177799783794357,0.24550025174208276,2.0,1.8884568533705537,nan,nan
p-only,0.0,3062355528953.8955,1400008904770.0276,inf,0.0,2.187382893437334,10098079595.954187,0.9758700556227898,nan,291.1188721324505,178.5,0.1733874182843057,84.5,annual,1000.0,300.0,0.0,nan,0.42548320396619965,0.9763669284002251,nan,-0.8177799783794357,0.24550025174208276,2.0,1.8884568533705537,nan,nan
xeno,0.0,226122852508.68372,691364456908.4961,inf,0.0,0.3270675115695334,10872185336.542742,0.7938846936444891,143.45436415918368,365.44589082273126,231.0,0.9048891799559899,84.5,annual,1000.0,300.0,-0.7,nan,0.2101157808579077,1.0512139561953164,nan,-0.8177799783794357,0.24550025174208276,2.0,1.8884568533705537,nan,nan
N_mid-min,0.0,152671130586.2457,621877694637.31,inf,0.0,0.24550025174208276,11078938501.253899,0.7333446992150946,159.35363855577046,380.48722713115205,243.5,0.9937032675831912,84.5,annual,1000.0,300.0,-0.8177799783794357,nan,0.1889977364342985,1.0712045841605522,nan,-0.8177799783794357,0.24550025174208276,2.0,1.8884568533705537,nan,nan
vec,0.0,268191720873.55444,542607834290.219,inf,0.0,0.49426437276633484,11442231498.30016,0.7071028911330101,nan,180.86675098346845,252.0,0.9879453088797002,84.5,annual,1000.0,300.0,-1.0,nan,0.16490646526915273,1.1063307944726084,nan,-0.8177799783794357,0.24550025174208276,2.0,1.8884568533705537,nan,nan
r=-2,0.0,5858008967926.292,718194368816.7483,inf,0.0,8.156578806900947,14374960458.299675,0.9247298601237843,nan,223.1003672130947,153.0,0.13531735604813597,84.5,annual,1000.0,300.0,-2.0,nan,0.21826978390885918,1.389891598217149,nan,-0.8177799783794357,0.24550025174208276,2.0,1.8884568533705537,nan,nan
r=+2,0.0,33802626310513.82,6213773860748.659,inf,0.0,5.4399511581905475,12175506964.222895,0.995651868744329,nan,258.4290871101617,166.5,0.020498357093972193,84.5,annual,1000.0,300.0,2.0,nan,1.8884568533705537,1.1772300092719323,nan,-0.8177799783794357,0.24550025174208276,2.0,1.8884568533705537,nan,nan
iso,0.0,160477263995.39508,179627225478.92136,inf,0.0,0.8933905401451883,796077367.0532969,0.9783097817493321,nan,262.7492568190309,201.0,0.12669366450021863,138.5,annual,1000.0,350.0,1.0,nan,1.0,1.0,nan,-1.0463687159829935,0.015002677591427012,2.0,1.8317777479829935,nan,nan
p-only,0.0,42542373876.472145,85914563058.83456,inf,0.0,0.49517069472074243,859997667.3654,0.9245963409018036,nan,289.8576706279905,208.0,0.4159779088895412,138.5,annual,1000.0,350.0,0.0,nan,0.47829365971538845,1.080294080647847,nan,-1.0463687159829935,0.015002677591427012,2.0,1.8317777479829935,nan,nan
