R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh
2.3815696044918006e+18,4.605744482682157e+16,193146941649821.7,8.11006914454793e-05,12330.35110030177,238.45805909950369,3325907187168.6953,0.9999599846283326,90.40559446512741,224.33839485164455,9.5,2.5718763349260372e-05,0.5,sunframe,400.0,0.0,-2.0,0.519001681363601,0.16151359690090225,1.1765725839459993,0.3112005272825878
2.3438317959788595e+18,4.523409777834138e+16,190763004985127.06,8.138937500225279e-05,12286.61603522967,237.12196073797472,3318755749890.1504,0.9999595804443601,90.35109719352819,224.18193566964004,9.5,2.60680268510985e-05,0.5,sunframe,400.0,0.0,-1.99,0.510777699149412,0.15952009815735577,1.1740426922309786,0.3123082672227105
2.3063956268010537e+18,4.441839714601251e+16,188417371323155.28,8.16934307079346e-05,12240.886339749144,235.7447024872795,3311641019412.815,0.9999591674929348,90.29533852603704,223.98464635413148,9.5,2.6425460728814914e-05,0.5,sunframe,400.0,0.0,-1.98,0.5026194514498913,0.1575586292025754,1.1715257859101729,0.313474993353462
2.2692610969583844e+18,4.361034292983496e+16,186110040663906.38,8.201349810004671e-05,12193.114830684566,234.3255784280349,3304562995736.6904,0.9999587455050752,90.23902710597088,223.7720561383975,9.5,2.6791324212241718e-05,0.5,sunframe,400.0,0.0,-1.97,0.4945269382650395,0.15562919003656123,1.1690218649835826,0.3147031597157453
2.2324282064508513e+18,4.280993512980874e+16,183841013007380.44,8.235024646084977e-05,12143.2544889275,232.86389924369107,3297521678861.7783,0.9999583142011593,90.18435354319898,223.64213593191243,9.5,2.7165886933242e-05,0.5,sunframe,400.0,0.0,-1.96,0.48650015959485643,0.1537317806593133,1.1665309294512083,0.31599533448732425
2.1958969552784545e+18,4.201717374593382e+16,181610288353577.25,8.270437641303065e-05,12091.258569025895,231.3589947290351,3290517068788.077,0.9999578732904212,90.12835854535084,223.5216373200613,9.5,2.7549429431578818e-05,0.5,sunframe,400.0,0.0,-1.95,0.47853911543934213,0.15186640107083144,1.1640529793130492,0.31735420610581516
2.1596673434411937e+18,4.123205877821023e+16,179417866702497.0,8.30766216136853e-05,12037.080716282628,229.81021642944546,3283549165515.586,0.9999574224704019,90.07099238906655,223.4004819489832,9.5,2.7942243689750383e-05,0.5,sunframe,400.0,0.0,-1.94,0.4706438057984965,0.15003305127111582,1.1615880145691053,0.31878258976885726
2.1237393709390694e+18,4.045459022663796e+16,177263748054139.62,8.346775055347663e-05,11980.675091505118,228.21694041063816,3276617969044.3047,0.9999569614263728,90.01220277775674,223.27878405926234,9.5,2.834463369870372e-05,0.5,sunframe,400.0,0.0,-1.93,0.46281423067231975,0.14823173126016637,1.1591360352193762,0.32028343433786277
2.088113037772082e+18,3.968476809121701e+16,175147932408505.12,8.387856846839082e-05,11921.996503515013,226.57857015781664,3269723479374.2363,0.9999564898307314,89.95193467076257,223.06282696215183,9.5,2.8756916056482623e-05,0.5,sunframe,400.0,0.0,-1.92,0.45505039006081177,0.1464624410379831,1.1566970412638633,0.3218598296738307
2.05278834394023e+18,3.892259237194738e+16,173070419765593.6,8.430991937210298e-05,11861.000549490343,224.8945396022272,3262865696505.381,0.9999560073423532,89.890130098599,222.8158546591358,9.5,2.9179420602020575e-05,0.5,sunframe,400.0,0.0,-1.91,0.4473522839639724,0.14472518060456607,1.1542710327025665,0.32351501443596414
2.017765289443514e+18,3.8168063068829064e+16,171031210125404.8,8.476268821760436e-05,11797.643763170669,223.1643162721189,3256044620437.7334,0.9999555136059053,89.82672796293247,222.61408626539935,9.5,2.9612491086458462e-05,0.5,sunframe,400.0,0.0,-1.9,0.4397199123818018,0.14301994995991513,1.151858009535484,0.3252523843762918
1.9830438742819346e+18,3.742118018186207e+16,169030303487938.94,8.523780319744325e-05,11731.883770908767,221.38740456401203,3249260251171.295,0.9999550082511321,89.76166381979245,222.41820948244413,9.5,3.0056485884549078e-05,0.5,sunframe,400.0,0.0,-1.89,0.4321532753143,0.1413467491040304,1.1494579717626163,0.327075501166179
1.9486240984554918e+18,3.66819437110464e+16,167067699853195.94,8.573623819269004e-05,11663.679455500778,219.56334912900095,3242512588706.0713,0.9999544908920797,89.69825826680719,222.21640294692074,9.5,3.051177874890943e-05,0.5,sunframe,400.0,0.0,-1.88,0.42465237276146695,0.1397055780369118,1.1470709193839652,0.32898810179352594
1.9145059619641859e+18,3.5950353656382052e+16,165143399221175.84,8.625901538156983e-05,11592.991127668967,217.69173836753777,3235801633042.0566,0.9999539611262833,89.63391948904982,222.0427485618001,9.5,3.097875961009735e-05,0.5,sunframe,400.0,0.0,-1.87,0.4172172047233028,0.13809643675855943,1.144696852399529,0.33099410857264283
1.880689464808015e+18,3.522641001786901e+16,163257401591878.7,8.680720801961017e-05,11519.78070500891,215.7722080247868,3229127384179.2554,0.9999534185339081,89.56786664311399,221.8712124806654,9.5,3.145783542572437e-05,0.5,sunframe,400.0,0.0,-1.86,0.4098477711998072,0.13651932526897329,1.1423357708093087,0.3330976398122658
1.8471746069869806e+18,3.451011279550729e+16,161409706965304.28,8.738194340414184e-05,11444.011898144632,213.80444487719308,3222489842117.662,0.9999528626768204,89.50002819997594,221.685171930789,9.5,3.194943108207132e-05,0.5,sunframe,400.0,0.0,-1.85,0.4025440721909804,0.1349742435681532,1.139987674613303,0.335303021190974
