r,A,N,ab,Z_plus_rN,share_20,share_248,Fp_248,rFn_248,amp_248,interference_248,amp2_248_over_iso,Fp_20,rFn_20,amp_20,interference_20,amp2_20_over_iso
-0.7,128,74,0.0191,2.200000000000003,0.039825738360327066,0.012882928604271347,-0.7296961946485344,0.15307872818767468,-0.5766174664608598,destructive,0.3696670394144605,33.958646932368495,-31.06270178144269,2.8959451509258045,destructive,0.0013667238573240514
-0.7,129,75,0.26401,1.5,0.455510527391491,0.23113462304428195,-0.7912948069077935,0.12772375485905868,-0.6635710520487348,destructive,0.4643798837264895,33.76470374955337,-31.14729615868988,2.6174075908634897,destructive,0.0011185455973183912
-0.7,130,76,0.04071,0.8000000000000043,0.053008103587479045,0.03373801199785506,-0.6880324133601526,0.09240006391853829,-0.5956323494416144,destructive,0.5275874043613037,33.61479687006825,-31.352635396254982,2.262161473813265,destructive,0.0008324683020603176
-0.7,131,77,0.21232,0.10000000000000142,0.21820627772579285,0.21654822557619063,,,,,,,,,,
-0.7,132,78,0.26909,-0.5999999999999943,0.19212870395973883,0.2621022333598074,-0.6199301108604313,-0.06273629665099185,-0.6826664075114232,constructive,1.6571530648747714,33.27409865786408,-31.62030101276044,1.6537976451036407,destructive,0.0004444507102463486
-0.7,134,80,0.10436,-2.0,0.03538958416796761,0.1244482400083681,-0.6020744920976583,-0.1364446750036009,-0.7385191671012592,constructive,3.290085151773962,32.899728210764756,-31.78264292865681,1.117085282107947,destructive,0.00020352148758621543
-0.7,136,82,0.08857,-3.3999999999999986,0.005931064807203768,0.1191457374092256,-0.4997747905992241,-0.2668634441313514,-0.7666382347305755,constructive,41.825542850898444,32.56797792189446,-32.090082329155166,0.4778955927392943,destructive,3.71460457933788e-05
-0.744,128,74,0.0191,-1.0559999999999974,0.037828563449375366,0.012425227181270197,-0.7296961946485344,0.1627008196737571,-0.5669953749747774,destructive,0.35743261203709004,33.958646932368495,-33.015214464847666,0.9434324675208288,destructive,0.00014505134075135017
-0.744,129,75,0.26401,-1.7999999999999972,0.265426252585016,0.22431659764207668,-0.7912948069077935,0.13575210516448524,-0.6555427017433083,destructive,0.45321106872862543,33.76470374955337,-33.10512620295039,0.6595775466029821,destructive,7.103014535520127e-05
-0.744,130,76,0.04071,-2.543999999999997,0.008750095004657009,0.033278024376899695,-0.6880324133601526,0.09820806793627498,-0.5898243454238776,destructive,0.517348571185294,33.61479687006825,-33.3233724783053,0.2914243917629449,destructive,1.3815681088566053e-05
-0.744,131,77,0.21232,-3.2879999999999967,0.0006952899736735204,0.21530017385180486,,,,,,,,,,
-0.744,132,78,0.26909,-4.0319999999999965,0.05771010633816759,0.2638717180329659,-0.6199301108604313,-0.06667972101191134,-0.6866098318723426,constructive,1.676353459109856,33.27409865786408,-33.60786279070538,-0.3337641328413028,destructive,1.8102484948620144e-05
-0.744,134,80,0.10436,-5.519999999999996,0.1684415115449089,0.12684605182446898,-0.6020744920976583,-0.14502119743239872,-0.747095689530057,constructive,3.3669452716175923,32.899728210764756,-33.780409055600956,-0.8806808448361991,destructive,0.00012649539317298968
-0.744,136,82,0.08857,-7.008000000000003,0.46114818110420175,0.12396220709051388,-0.4997747905992241,-0.28363771776246494,-0.783412508361689,constructive,43.675877472235655,32.56797792189446,-34.10717321841635,-1.5391952965218891,destructive,0.0003853310396114762
-1.0,128,74,0.0191,-20.0,0.01484984526840269,0.009919654359139897,-0.7296961946485344,0.21868389741096383,-0.5110122972375706,destructive,0.29033396478956475,33.958646932368495,-44.37528825920385,-10.416641326835354,destructive,0.017682983116243695
-1.0,129,75,0.26401,-21.0,0.2196232865096886,0.1860966713251321,-0.7912948069077935,0.18246250694151242,-0.6088322999662811,destructive,0.39092541338884657,33.76470374955337,-44.496137369556976,-10.731433620003607,destructive,0.018802970498853138
-1.0,130,76,0.04071,-22.0,0.03700598741055977,0.030627175087962595,-0.6880324133601526,0.13200009131219756,-0.556032322047955,destructive,0.45976715283163205,33.61479687006825,-44.78947913750712,-11.174682267438875,destructive,0.020313785834765993
-1.0,131,77,0.21232,-23.0,0.2051083865156777,0.2075471498727213,,,,,,,,,,
-1.0,132,78,0.26909,-24.0,0.281798037481712,0.27284720073221563,-0.6199301108604313,-0.08962328092998836,-0.7095533917904197,constructive,1.7902583983861664,33.27409865786408,-45.171858589657774,-11.897759931793694,destructive,0.023003253713639604
