halo,delta,target,r,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,R_hi_over_natural,dRdE248_over_natural,R_lo_over_natural,R_mid_over_natural
sunframe,0.0,natural,1.0,1.887000022728662e+18,6.344367668555831e+16,688013201545085.9,0.00036460688566934777,2742.679963830615,92.21287693765396,1736032045794.284,0.999993853559651,101.99249595013754,266.8609940968725,10.0,1.8510113919680805e-05,0.5,1.0,1.0,1.0,1.0
sunframe,0.0,natural,0.0,3.4433023848198854e+17,1.497150870227062e+16,277645281801834.56,0.000806334299961163,1240.180406623115,53.92315189046261,1613196797529.416,0.9999572224229443,108.09815590571819,291.9462655444428,10.0,9.848258950500323e-05,0.5,1.0,1.0,1.0,1.0
sunframe,0.0,natural,-0.7,2056337242478563.5,1413532552278374.0,121157370642634.16,0.058919017824430216,16.972448573054105,11.666913410061781,1661510346386.3376,0.9922646708845216,143.67213805693282,366.0255875021231,41.5,0.029707609793455256,0.5,1.0,1.0,1.0,1.0
sunframe,0.0,natural,-1.0,4.131582857676292e+16,738906161519293.5,87058257287281.56,0.0021071405387775607,474.5767933353611,8.487490842838652,1716072847823.085,0.9992644500452066,68.64706093833911,181.62820450279318,9.0,0.0006682527303060619,0.5,1.0,1.0,1.0,1.0
sunframe,0.0,136Xe-depleted,1.0,1.8873195098134167e+18,6.482360495402958e+16,716545710059072.5,0.00037966317114472646,2633.913626609843,90.46681048259362,1913576456007.2148,0.999993675403072,102.62037252893847,268.3162768012149,10.0,2.0482853738248097e-05,0.5,1.0414708735964813,1.1022702378352118,1.0001693095288322,1.0217504460737754
sunframe,0.0,136Xe-depleted,0.0,3.460768594210878e+17,1.5274625959782204e+16,283377505805492.75,0.0008188282402918311,1221.2573416417576,53.902041082493476,1685758491681.7234,0.9999549526138782,108.6578853446308,293.2075683177832,10.0,0.00010268970396497861,0.5,1.0206458541865282,1.0449800633521182,1.0050725168570713,1.0202462733408832
sunframe,0.0,136Xe-depleted,-0.7,2151822360562502.0,1404090146767155.5,116747862221753.75,0.05425534391753184,18.431364134747735,12.0266882840235,1611553195378.8572,0.9926176176110431,144.07866697023346,368.1279852300852,39.5,0.027898181501349737,0.5,0.9636051162426866,0.9699326873792068,1.046434561467577,0.9933199942965594
sunframe,0.0,136Xe-depleted,-1.0,4.003558417851511e+16,706738533531658.5,79769132465806.81,0.001992455814060895,501.8931877650348,8.859799670437726,1601246878154.5142,0.9992826725613942,69.22853233859179,182.89183516084532,9.0,0.000647696662625854,0.5,0.9162730216684497,0.9330879398189694,0.9690132222358999,0.9564658820526089
sunframe,0.0,134+136Xe-depleted,1.0,1.8883822221058803e+18,6.619712435189283e+16,735473301150599.5,0.0003894726886013662,2567.5741310413728,90.00615555769569,2090226325656.3665,0.9999932101244068,103.3573121687771,269.69118992662527,10.0,2.244821764094674e-05,0.5,1.0689813792801235,1.204025196839053,1.0007324850877424,1.0433998754514378
sunframe,0.0,134+136Xe-depleted,0.0,3.476719533660384e+17,1.5566233419181106e+16,286302137225695.06,0.0008234835581467467,1214.353328742233,54.36995186281155,1738721050192.4192,0.9999532117028819,109.27902237116646,294.6132396081979,10.0,0.00010571810882251818,0.5,1.0311795517203826,1.0778108739462176,1.009704970724564,1.039723766571387
sunframe,0.0,134+136Xe-depleted,-0.7,2252938747256753.5,1382013637769052.0,113254280818212.34,0.050269578325693134,19.892746931773903,12.202749669015702,1567954518257.8137,0.9929356056206651,144.11470774292496,369.7591908349227,37.5,0.02644578856352131,0.5,0.9347700450867924,0.9436922987978974,1.095607617620746,0.9777020242947225
sunframe,0.0,134+136Xe-depleted,-1.0,3.9025841767553976e+16,662071682244428.0,74730903283900.53,0.001914908171078367,522.2182531274369,8.859409603671415,1513748818241.3418,0.9992977299249737,69.97648007844462,183.53781873412584,9.0,0.000632357357743774,0.5,0.8584010938479704,0.8821005589369937,0.944573620133159,0.8960159174787727
sunframe,0.0,136Xe-enriched (90/10 136/134),1.0,1.8833957126231767e+18,5.0261970364187864e+16,422484226955026.2,0.0002243204782316266,4457.9077571662,118.96768484457124,40098486928.700615,0.9999957760767884,94.97810436927121,251.8414718200325,9.5,4.1193812101864307e-07,0.5,0.6140641284298679,0.023097780381326094,0.9980899257752667,0.7922297853779493
sunframe,0.0,136Xe-enriched (90/10 136/134),0.0,3.277521008990492e+17,1.2083487591395808e+16,224951371462037.75,0.0006863460854864968,1456.9908988279267,53.71599876391502,934342890361.7314,0.9999797892409222,101.91527592381243,279.1078782273946,10.0,5.8233700564756695e-05,0.5,0.8102113963621886,0.5791871715792283,0.9518539595708307,0.8070988590190108
sunframe,0.0,136Xe-enriched (90/10 136/134),-0.7,1139713474362245.2,1513135207529542.8,162614772168477.47,0.1426803980355436,7.008671224416451,9.305029225523588,2134179325778.8613,0.9879739887976454,140.99818813778086,353.01765065608214,53.0,0.04606425902124589,0.5,1.3421781217762316,1.2844815143165036,0.5542444356007068,1.0704636444987603
sunframe,0.0,136Xe-enriched (90/10 136/134),-1.0,5.3349061918118824e+16,1055568780096482.1,155042716895993.2,0.002906193873360993,344.0926667578123,6.808244858122461,2793066878692.256,0.9991375088688171,64.22462681303334,173.70976014953254,9.0,0.000804827361486224,0.5,1.7809076557134753,1.6275922564915504,1.2912499580880656,1.4285559318196595
sunframe,0.0,129Xe-enriched (80 % + natural rest),1.0,1.8865113230298688e+18,6.969852051225632e+16,846828919933619.6,0.000448886211068987,2227.736061703876,82.305314416659,2963972519112.149,0.9999894844069465,104.72648245444432,274.2236557945186,10.0,3.214609769123322e-05,0.5,1.230832370704338,1.707325925401364,0.9997410176508178,1.0985889241208147
sunframe,0.0,129Xe-enriched (80 % + natural rest),0.0,3.515427023813492e+17,1.6298746354861322e+16,314739535810785.6,0.0008953095418529271,1116.9321371582907,51.784871299612526,2032803762959.2937,0.9999434922295553,110.19967703752233,298.13470426152054,10.0,0.00012301426532720304,0.5,1.1336030411473967,1.2601089749697612,1.020946356413998,1.0886508954431164
sunframe,0.0,129Xe-enriched (80 % + natural rest),-0.7,2709180416386229.5,1341910294128586.2,110260729067924.22,0.04069892444261826,24.570673886232747,12.170337575964382,1516000977087.3174,0.9938710554716181,142.7682750283842,370.3141037793852,33.0,0.022641434213516203,0.5,0.9100620827530941,0.9124234347288342,1.3174786510800023,0.9493310160884906
sunframe,0.0,129Xe-enriched (80 % + natural rest),-1.0,3.614469095804087e+16,584696314178529.5,64975802348661.5,0.0017976582625672376,556.27925553097,8.998677862276129,1328551550394.711,0.9993259617650637,71.4403489356653,184.4125357816614,9.0,0.0006066614920713226,0.5,0.7463485299763046,0.7741813245749083,0.8748388257755908,0.7912998221266864
sunframe,0.0,pure 129Xe,1.0,1.886386875343297e+18,7.1291320438306056e+16,887271442802864.5,0.0004703549703405316,2126.053859441544,80.34894058248834,3276668335232.417,0.9999883727234944,105.36981770192963,275.9981278341097,10.0,3.5693736589826506e-05,0.5,1.2896139795142014,1.8874469184889084,0.9996750676322312,1.123694655838477
sunframe,0.0,pure 129Xe,0.0,3.533793608629732e+17,1.6636728260320488e+16,324185610993372.25,0.0009173869413360529,1090.0525775346573,51.318527708068494,2139656941395.8027,0.9999400906581778,110.69224807255522,299.50533850687515,10.0,0.00012919292760925477,0.5,1.1676251398529265,1.3263458895236164,1.02628035928787,1.1112259018890538
