r,sigma_p_one_event_cm2,sigma_n_cm2,N_lo,rho_hi,rho_248,rho_lo
1.0,5.574088822059467e-44,5.574088822059467e-44,2742.679963830615,1.0,1.0,1.0
0.0,1.3812756590976472e-43,0.0,1240.180406623115,0.4035464452983179,0.9292436746415776,0.18247495195261104
-0.7,3.1653432852002593e-43,1.5510182097481267e-43,16.972448573054105,0.17609745041308578,0.9570735462006691,0.0010897388541124841
-0.744,3.335733983164585e-43,1.846448846104992e-43,7.244914885870793,0.16710231841603182,0.9609175924382743,0.0004414084363182368
-1.0,4.405149856729417e-43,4.405149856729417e-43,474.5767933353611,0.12653573665704812,0.9885029783755708,0.021894980434085484
-2.0,3.298904512195028e-43,1.3195618048780112e-42,8412.37756095942,0.16896787407619066,1.1777779112019797,0.5182600854444235
2.0,2.9093894742128214e-44,1.1637557896851285e-43,3542.2999015359956,1.915896400762094,1.2007719544508384,2.474470124576252
