halo,delta_keV,m_A_GeV,S_prop,sigma_p_q0_N1_cm2,eps_req_alphaD0p1,eps_req_alphaD_thermal,N_exo_if_f2_1,eps_floor_chi2_decay_alphaD0p1,eps_req_over_floor,tau_at_eps_req_s,mA_floor_GeV,mA_babar_ceiling_GeV
annual,300.0,0.05011872336272722,0.0029489504987672884,2.9037268845518413e-39,3.820782879588516e-08,6.458301814156216e-08,2134.3170821012613,5.7926470114829636e-06,0.006595918708691288,1.30577756035472e+21,2.556502133252027,
annual,300.0,0.1,0.03431719641634056,2.495234966340602e-40,4.4589253353071094e-08,7.536959437303162e-08,1666.2345521292068,5.698338725600726e-06,0.007824956623365777,9.587679744240782e+20,2.556502133252027,
annual,300.0,0.19952623149688797,0.22297473034245296,3.840321650499069e-41,6.963992210597959e-08,1.1771295293366225e-07,1179.0645287192726,5.563924054877469e-06,0.012516332253840088,3.930586569624486e+20,2.556502133252027,
annual,300.0,0.30432198871077215,0.4538481726728534,1.886742606906022e-41,1.1355270165240239e-07,1.9193909787489148e-07,1010.3408419974274,5.502842237221528e-06,0.02063528205194139,1.4783558233511582e+20,2.556502133252027,
annual,300.0,0.5011872336272722,0.7183919636799243,1.191960277592737e-41,2.447965921559224e-07,4.1378176280723847e-07,914.4416763570433,5.463034231404681e-06,0.0448096390735921,3.1809964463782367e+19,2.556502133252027,
annual,300.0,1.0,0.9150869712271352,9.357522414509074e-42,8.63485232061258e-07,1.4595564355436253e-06,868.6545547664988,5.442416480652007e-06,0.15865842592733947,2.556607687822486e+18,2.556502133252027,
annual,300.0,3.043219887107722,0.9902595227648857,8.64717445036498e-42,7.687378297204859e-06,1.299404095118069e-05,854.4446525347134,5.435779743379176e-06,1.4142181361502273,3.225651264577565e+16,2.556502133252027,
annual,300.0,10.0,0.9990917318673187,8.570731366657245e-42,8.26386888271462e-05,0.00013968487893489709,852.8688217235863,5.435036458750439e-06,15.204808551761865,279130364964825.4,2.556502133252027,
annual,330.0,0.05011872336272722,0.002562812634936514,1.8763059241022895e-38,9.712394206038995e-08,1.6416942573668898e-07,,,,1.2547519839299792e+20,,22.60148775631398
annual,330.0,0.1,0.030473936530930324,1.5779453121899577e-39,1.1212964574678673e-07,1.8953369436819623e-07,,,,9.413900273561068e+19,,22.60148775631398
annual,330.0,0.19952623149688797,0.20703204323664237,2.3226455451628893e-40,1.7126394566200538e-07,2.8948890471567463e-07,,,,4.035325788574327e+19,,22.60148775631398
annual,330.0,0.30432198871077215,0.43397012991815387,1.1080533423354459e-40,2.751829214777267e-07,4.65144033831048e-07,,,,1.5630308121689448e+19,,22.60148775631398
annual,330.0,0.5011872336272722,0.7038034698686133,6.832334217097933e-41,5.860828694229501e-07,9.906608614326078e-07,,,,3.4458188167014467e+18,,22.60148775631398
