iso,delta_keV,m_med_GeV,halo,S_fact_over_exact,Z_exact,Z_fact,dZ,pct_exact,pct_fact,ratio_exact,ratio_fact,A600_exact,A600_fact
iso,300.0,0.05,annual,1.005784756493838,2.4201464642331105,2.413065378060524,-0.007081086172586737,0.9957158945664233,0.9957756326555831,6.77795724650858,6.845780151860038,0.9165893098309539,0.9164389281435519
iso,300.0,0.05,june,1.005393965106505,2.39033844561963,2.3832252136208965,-0.0071132319987334824,0.9960284008165065,0.9960837390071101,7.302604246849674,7.374873082502805,0.9188904236183978,0.9187552506435637
iso,300.0,0.05,sun,1.0059207337009233,2.4298736364381726,2.422794370415407,-0.007079266022765651,0.9956084662543,0.9956698335386323,6.611087283697474,6.677681684774581,0.9157953748081757,0.9156407918864902
p,300.0,0.05,annual,1.005204735783742,2.8508492486585917,2.8477660766553723,-0.003083172003219392,0.9835662504234038,0.9837457127193955,3.543701188632308,3.5673802162296293,0.9287549733278854,0.9286822892823614
p,300.0,0.05,june,1.0047647754096278,2.830563355467464,2.827486599591293,-0.0030767558761710667,0.984499587571424,0.9846672951478319,3.77281507905886,3.797515055517293,0.9295848610902184,0.9295180255194818
p,300.0,0.05,sun,1.0053496313478076,2.857322046237808,2.8542300715287783,-0.0030919747090298877,0.9832556680029239,0.983439368577664,3.472399406377985,3.495851680703937,0.9284687766612731,0.9283945123358717
iso,380.0,0.05,annual,1.0444148252631056,3.482328952414204,3.4773684968561813,-0.004960455558022492,0.7084843113936441,0.7098603612751,0.051755908082691086,0.052755129359375576,0.05821332594089077,0.058946087003451976
iso,380.0,0.05,june,1.0415261569548486,3.484243215937157,3.478706873963071,-0.005536341974085701,0.7620914527379351,0.7640105968824114,0.061860773069770815,0.06321223167451961,0.07780898911847095,0.07889026183889074
iso,380.0,0.05,sun,1.0626352497497806,3.310514946786217,3.311278463084781,0.000763516298563971,0.08195058443760732,0.08224725506777555,0.00010206570126645146,0.00010233692310685685,0.015127138400123473,0.015270215108416167
p,380.0,0.05,annual,1.0408844520609,3.6516604179671988,3.6498767167446733,-0.001783701222525469,0.7048048236262322,0.7088541754041386,0.025671416423022293,0.02620498021077501,0.24432977141837914,0.24586246622356048
p,380.0,0.05,june,1.0379135236502548,3.6382153656509764,3.63593161968491,-0.0022837459660665083,0.7229932870939276,0.7273301511077345,0.03202204672420082,0.03277458249368539,0.2972516209973548,0.2993303915559932
p,380.0,0.05,sun,1.063721835368027,3.7649231502415854,3.765148712598231,0.00022556235664561441,0.4627488596284431,0.46371931240308284,0.00012842720367737086,0.00012878263738469358,0.045418089112121814,0.04581962000280264
iso,300.0,0.1,annual,1.0046838506526534,2.4562590280870884,2.45022861766292,-0.006030410424168409,0.9952744669309981,0.9953301520566895,6.298450330385261,6.351468209725903,0.9102628515208567,0.9100786685975504
iso,300.0,0.1,june,1.0043457487084466,2.4279949533788105,2.421938455304511,-0.006056498074299643,0.9956069032955478,0.995658689881791,6.769941162069259,6.826320720238269,0.9127947646021651,0.912628422569792
iso,300.0,0.1,sun,1.0048003591217027,2.465437754631455,2.4594086773012287,-0.006029077330226507,0.9951610245441752,0.9952181484942646,6.148961797054096,6.20105764202777,0.9093960159524518,0.9092067467875414
p,300.0,0.1,annual,1.004297786377515,2.877930573773224,2.875339097756948,-0.002591476016275962,0.9821191604948777,0.9822872247080258,3.306020705721793,3.3244681947875856,0.9245884720394537,0.924493015955256
p,300.0,0.1,june,1.0039180899189812,2.858679394332243,2.856091239058833,-0.0025881552734099422,0.9830931100114161,0.9832507163296378,3.513383175004582,3.5326140380068685,0.9254601202675632,0.9253720846258898
p,300.0,0.1,sun,1.0044219467261477,2.884034169615064,2.881435965822645,-0.0025982037924188184,0.981797736015358,0.9819695508999624,3.2417177231325836,3.2599927884648663,0.9242902806611695,0.9241927147679118
iso,380.0,0.1,annual,1.039321837626913,3.4834611731312193,3.479096376262508,-0.004364796868711274,0.7014567552338354,0.7024872049091834,0.05068722217403479,0.05153036629941616,0.05470128522814015,0.05526381657198802
iso,380.0,0.1,june,1.0366446843379296,3.4860493103110803,3.4811954052424094,-0.004853905068670894,0.7561912958723939,0.7577485546236147,0.060642983515331914,0.06179112228056279,0.07297623652562239,0.07381641197108316
iso,380.0,0.1,sun,1.0564197774697035,3.3072734953101537,3.307872090098698,0.0005985947885442933,0.08019279870635099,0.08040420132880768,9.966294020001921e-05,9.98323889296998e-05,0.014617729716868803,0.014730201091547965
p,380.0,0.1,annual,1.0361175114899432,3.653467543225963,3.6519574749280803,-0.001510068297882583,0.7012260441948152,0.7047879111462223,0.02504872958040333,0.02549717478708093,0.23096176815004119,0.2320385451527006
p,380.0,0.1,june,1.0334265125168547,3.640240943345755,3.6382951956666676,-0.0019457476790876171,0.7194055112903449,0.7232297367134551,0.03125875680168847,0.03189449958610954,0.2818010847202135,0.2833453369811316
p,380.0,0.1,sun,1.0568683731503898,3.7647421848615736,3.764943282763197,0.0002010979016233705,0.4606978392577651,0.46151177243561214,0.00012698177842928227,0.0001272565232267458,0.0428619838762162,0.043137758798278004
