m_GeV,delta_keV,x_f,T_f_GeV,delta_over_T_f,channel,sigma_eff_ratio,one_minus_ratio
300.0,250.0,25.486402965242387,11.770982370840297,2.123866913770199e-05,offdiag,0.9999999999001133,9.988665450322287e-11
300.0,250.0,25.486402965242387,11.770982370840297,2.123866913770199e-05,diag,1.0000000000998868,-9.988676552552533e-11
300.0,300.0,25.486402965242387,11.770982370840297,2.5486402965242385e-05,offdiag,0.9999999998561633,1.4383672031215156e-10
300.0,300.0,25.486402965242387,11.770982370840297,2.5486402965242385e-05,diag,1.0000000001438372,-1.438371644013614e-10
300.0,350.0,25.486402965242387,11.770982370840297,2.9734136792782783e-05,offdiag,0.999999999804222,1.957779494077272e-10
300.0,350.0,25.486402965242387,11.770982370840297,2.9734136792782783e-05,diag,1.000000000195778,-1.9577806043002965e-10
300.0,380.0,25.486402965242387,11.770982370840297,3.228277708930702e-05,offdiag,0.9999999997692218,2.307781743482451e-10
300.0,380.0,25.486402965242387,11.770982370840297,3.228277708930702e-05,diag,1.0000000002307785,-2.307785074151525e-10
1000.0,250.0,26.663362813113057,37.50464661975043,6.6658407032782644e-06,offdiag,0.9999999999901062,9.893752483947083e-12
1000.0,250.0,26.663362813113057,37.50464661975043,6.6658407032782644e-06,diag,1.0000000000098936,-9.89364146164462e-12
1000.0,300.0,26.663362813113057,37.50464661975043,7.999008843933916e-06,offdiag,0.9999999999857531,1.4246936963502321e-11
1000.0,300.0,26.663362813113057,37.50464661975043,7.999008843933916e-06,diag,1.0000000000142468,-1.4246825941199859e-11
1000.0,350.0,26.663362813113057,37.50464661975043,9.332176984589571e-06,offdiag,0.9999999999806084,1.9391599437312834e-11
1000.0,350.0,26.663362813113057,37.50464661975043,9.332176984589571e-06,diag,1.0000000000193916,-1.9391599437312834e-11
1000.0,380.0,26.663362813113057,37.50464661975043,1.013207786898296e-05,offdiag,0.9999999999771416,2.2858381854007348e-11
1000.0,380.0,26.663362813113057,37.50464661975043,1.013207786898296e-05,diag,1.0000000000228582,-2.2858159809402423e-11
3000.0,250.0,27.708990333519733,108.26810951573655,2.309082527793311e-06,offdiag,0.9999999999988073,1.1927125953548057e-12
3000.0,250.0,27.708990333519733,108.26810951573655,2.309082527793311e-06,diag,1.0000000000011924,-1.1923795284474181e-12
3000.0,300.0,27.708990333519733,108.26810951573655,2.770899033351973e-06,offdiag,0.9999999999982827,1.7172929744901921e-12
3000.0,300.0,27.708990333519733,108.26810951573655,2.770899033351973e-06,diag,1.0000000000017173,-1.7172929744901921e-12
3000.0,350.0,27.708990333519733,108.26810951573655,3.2327155389106356e-06,offdiag,0.9999999999976626,2.337352533743342e-12
3000.0,350.0,27.708990333519733,108.26810951573655,3.2327155389106356e-06,diag,1.0000000000023375,-2.3374635560458046e-12
3000.0,380.0,27.708990333519733,108.26810951573655,3.5098054422458326e-06,offdiag,0.9999999999972448,2.755240480212251e-12
3000.0,380.0,27.708990333519733,108.26810951573655,3.5098054422458326e-06,diag,1.0000000000027554,-2.7553515025147135e-12
10000.0,250.0,28.84656147962489,346.66176788742297,7.211640369906222e-07,offdiag,0.9999999999998832,1.1679546219056647e-13
10000.0,250.0,28.84656147962489,346.66176788742297,7.211640369906222e-07,diag,1.000000000000117,-1.170175067954915e-13
10000.0,300.0,28.84656147962489,346.66176788742297,8.653968443887466e-07,offdiag,0.9999999999998317,1.6830981053317373e-13
10000.0,300.0,28.84656147962489,346.66176788742297,8.653968443887466e-07,diag,1.0000000000001683,-1.6830981053317373e-13
10000.0,350.0,28.84656147962489,346.66176788742297,1.009629651786871e-06,offdiag,0.9999999999997711,2.289279876777073e-13
10000.0,350.0,28.84656147962489,346.66176788742297,1.009629651786871e-06,diag,1.0000000000002292,-2.291500322826323e-13
10000.0,380.0,28.84656147962489,346.66176788742297,1.0961693362257456e-06,offdiag,0.99999999999973,2.7000623958883807e-13
10000.0,380.0,28.84656147962489,346.66176788742297,1.0961693362257456e-06,diag,1.00000000000027,-2.7000623958883807e-13
300.0,342000.0,25.0,12.0,0.028500000000000004,chargino_weight,0.9735647206357532,0.026435279364246833
1000.0,342000.0,25.0,40.0,0.00855,chargino_weight,0.991995123334293,0.00800487666570704
3000.0,342000.0,25.0,120.0,0.00285,chargino_weight,0.9973245755979123,0.0026754244020876783
