m_GeV,delta_keV,N_iso_unit,N_p_unit,G_LZ_iso,G_LZ_p,G_relic_BL,N_th_BL,f_th_BL,NT_fraction_BL,dilution_D_BL,T_RH_NT_BL,G_relic_UB,N_th_UB,f_th_UB,NT_fraction_UB,dilution_D_UB,T_RH_NT_UB,G_relic_Ap,N_th_Ap,f_th_Ap,NT_fraction_Ap,dilution_D_Ap,T_RH_NT_Ap
300.0,250.0,54630.86792215227,12246.367620800456,7.058377026736107e-08,1.4908029953320659e-07,1.4193100263326794e-07,4.043382583445555,4.043382583445555,0.0,4.043382583445555,,2.55869753786131e-07,13.14099339619805,13.14099339619805,0.0,13.14099339619805,,1.279348768930655e-07,0.736440048241926,0.736440048241926,0.263559951758074,1.0,9.028508443242785
300.0,252.5,47497.22192327608,10642.277474536535,7.569894003777726e-08,1.5992141131285072e-07,1.4193100263326794e-07,3.5154015887188343,3.5154015887188343,0.0,3.5154015887188343,,2.55869753786131e-07,11.425055163336209,11.425055163336209,0.0,11.425055163336209,,1.279348768930655e-07,0.639977467558611,0.639977467558611,0.36002253244138904,1.0,7.84800862869125
300.0,255.0,41295.080532926375,9248.29903461814,8.118480354814338e-08,1.7155088818826373e-07,1.4193100263326794e-07,3.0563638426310025,3.0563638426310025,0.0,3.0563638426310025,,2.55869753786131e-07,9.933182488550756,9.933182488550756,0.0,9.933182488550756,,1.279348768930655e-07,0.5561500355127152,0.5561500355127152,0.44384996448728475,1.0,6.822059301719189
300.0,257.5,35686.07506126907,8006.1078643189085,8.733222208202561e-08,1.843797341015153e-07,1.4193100263326794e-07,2.6412257367003495,2.6412257367003495,0.0,2.6412257367003495,,2.55869753786131e-07,8.583983644276133,8.583983644276133,0.0,8.583983644276133,,1.279348768930655e-07,0.4814503895681436,0.4814503895681436,0.5185496104318563,1.0,5.9075522659565545
300.0,260.0,30838.926497869852,6930.762391568352,9.394513111387155e-08,1.9816794134016724e-07,1.4193100263326794e-07,2.282474780948567,2.282474780948567,0.0,2.282474780948567,,2.55869753786131e-07,7.41804303808284,7.41804303808284,0.0,7.41804303808284,,1.279348768930655e-07,0.41678407410623736,0.41678407410623736,0.5832159258937626,1.0,5.115639549152697
300.0,262.5,26352.513552992965,5948.69612466675,1.0162788328086717e-07,2.1390109633665884e-07,1.4193100263326794e-07,1.9504228723223047,1.9504228723223047,0.0,1.9504228723223047,,2.55869753786131e-07,6.338874335047489,6.338874335047489,0.0,6.338874335047489,,1.279348768930655e-07,0.3577271397263342,0.3577271397263342,0.6422728602736658,1.0,4.415300731659006
300.0,265.0,22518.77900512028,5105.785422203402,1.0993892432414232e-07,2.3088335431352946e-07,1.4193100263326794e-07,1.6666775083915895,1.6666775083915895,0.0,1.6666775083915895,,2.55869753786131e-07,5.416701902272664,5.416701902272664,0.0,5.416701902272664,,1.279348768930655e-07,0.30703837897646136,0.30703837897646136,0.6929616210235386,1.0,3.814810973001608
300.0,267.5,18938.11324461744,4324.414231173126,1.1988243297208597e-07,2.508766598376426e-07,1.4193100263326794e-07,1.4016624697546813,1.4016624697546813,0.0,1.4016624697546813,,2.55869753786131e-07,4.555403026702713,4.555403026702713,0.0,4.555403026702713,,1.279348768930655e-07,0.26005032052231086,0.26005032052231086,0.7399496794776892,1.0,3.2546175371768102
300.0,270.0,15926.801945363239,3662.621300427153,1.307252897338989e-07,2.7260128231602067e-07,1.4193100263326794e-07,1.178786939421032,1.178786939421032,0.0,1.178786939421032,,2.55869753786131e-07,3.8310575531183524,3.8310575531183524,0.0,3.8310575531183524,,1.279348768930655e-07,0.2202531469492319,0.2202531469492319,0.7797468530507681,1.0,2.7769724336806
300.0,272.5,13110.530215752873,3044.4007418983592,1.4408334252217178e-07,2.9900124265017484e-07,1.4193100263326794e-07,0.9703468304704798,0.9703468304704798,0.02965316952952024,1.0,11.874340445228906,2.55869753786131e-07,3.1536271990290583,3.1536271990290583,0.0,3.1536271990290583,,1.279348768930655e-07,0.18307621481355124,0.18307621481355124,0.8169237851864488,1.0,2.3275812527315614
