m_GeV,delta_keV,N_events,source
300.0,250.0,3592.796402841271,P007
300.0,260.0,2002.7351825814112,P007
300.0,270.0,1001.4921392117092,P007
300.0,280.0,412.9717690154083,P007
300.0,290.0,125.19604054231426,P007
300.0,300.0,23.16881786707368,P007
300.0,310.0,1.5369272177794415,P007
300.0,320.0,0.0,P007
300.0,330.0,0.0,P007
300.0,340.0,0.0,P007
300.0,345.0,0.0,P007
300.0,347.5,0.0,P007
300.0,350.0,0.0,P007
300.0,352.5,0.0,P007
300.0,355.0,0.0,P007
300.0,357.5,0.0,P007
300.0,360.0,0.0,P007
300.0,362.5,0.0,P007
300.0,365.0,0.0,P007
300.0,367.5,0.0,P007
300.0,370.0,0.0,P007
300.0,372.5,0.0,P007
300.0,375.0,0.0,P007
300.0,377.5,0.0,P007
300.0,380.0,0.0,P007
300.0,382.5,0.0,P007
300.0,385.0,0.0,P007
300.0,387.5,0.0,P007
300.0,390.0,0.0,P007
300.0,392.5,0.0,P007
300.0,395.0,0.0,P007
300.0,397.5,0.0,P007
300.0,400.0,0.0,P007
500.0,250.0,6652.987817999122,P007
500.0,260.0,4297.404128277602,P007
500.0,270.0,2717.8162571735775,P007
500.0,280.0,1632.0595649465952,P007
500.0,290.0,899.4536038635614,P007
500.0,300.0,438.5018427504588,P007
500.0,310.0,179.3000381691846,P007
500.0,320.0,57.53275276119271,P007
500.0,330.0,13.12814364921907,P007
500.0,340.0,1.7944416060171495,P007
500.0,345.0,0.5177083784653305,P007
500.0,347.5,0.2714931289282021,P007
500.0,350.0,0.1385304556361423,P007
500.0,352.5,0.072329030695148,P007
500.0,355.0,0.0388464346960559,P007
500.0,357.5,0.0189741896609699,P007
500.0,360.0,0.0,P007
500.0,362.5,0.0,P007
500.0,365.0,0.0,P007
500.0,367.5,0.0,P007
500.0,370.0,0.0,P007
500.0,372.5,0.0,P007
500.0,375.0,0.0,P007
500.0,377.5,0.0,P007
500.0,380.0,0.0,P007
500.0,382.5,0.0,P007
500.0,385.0,0.0,P007
500.0,387.5,0.0,P007
500.0,390.0,0.0,P007
500.0,392.5,0.0,P007
500.0,395.0,0.0,P007
500.0,397.5,0.0,P007
500.0,400.0,0.0,P007
1000.0,250.0,6579.8842374143405,P007
1000.0,260.0,4474.268759302792,P007
1000.0,270.0,3041.3941671249463,P007
1000.0,280.0,2028.857261748376,P007
1000.0,290.0,1303.2036710552322,P007
1000.0,300.0,790.4667887665875,P007
1000.0,310.0,443.5353421692883,P007
1000.0,320.0,224.4689961280757,P007
1000.0,330.0,99.49714398245544,P007
1000.0,340.0,37.11730546957199,P007
1000.0,345.0,20.942312329585743,P007
1000.0,347.5,15.390052698503675,P007
1000.0,350.0,11.124193774548116,P007
1000.0,352.5,7.922537105257691,P007
1000.0,355.0,5.5364877158254115,P007
1000.0,357.5,3.821699932116301,P007
1000.0,360.0,2.5910061155779913,P007
1000.0,362.5,1.7274887435910833,P007
1000.0,365.0,1.14108629273748,P007
1000.0,367.5,0.7485134623957777,P007
1000.0,370.0,0.4915290019754997,P007
1000.0,372.5,0.3241866198742886,P007
1000.0,375.0,0.2158029323329819,P007
1000.0,377.5,0.1450937284758305,P007
1000.0,380.0,0.0978015865609742,P007
1000.0,382.5,0.0644905162147112,P007
1000.0,385.0,0.0407582396518639,P007
1000.0,387.5,0.0232111735959036,P007
1000.0,390.0,0.0093416197854237,P007
1000.0,392.5,0.001287333467161,P007
1000.0,395.0,6.628106515302767e-06,P007
1000.0,397.5,0.0,P007
1000.0,400.0,0.0,P007
2000.0,250.0,4472.333152039268,P007
2000.0,260.0,3097.135347144744,P007
2000.0,270.0,2155.2101564789637,P007
2000.0,280.0,1485.0740540153463,P007
2000.0,290.0,997.4387685261156,P007
2000.0,300.0,643.755294254209,P007
2000.0,310.0,392.8594196494369,P007
2000.0,320.0,223.1474913217073,P007
2000.0,330.0,115.54121067092764,P007
2000.0,340.0,53.317730999371285,P007
2000.0,345.0,34.364492393544,P007
2000.0,347.5,27.18192954472524,P007
2000.0,350.0,21.26125390758822,P007
2000.0,352.5,16.47243245186447,P007
2000.0,355.0,12.592095249454276,P007
2000.0,357.5,9.518341456638357,P007
2000.0,360.0,7.130448413041048,P007
2000.0,362.5,5.259387660050283,P007
2000.0,365.0,3.834946311847198,P007
2000.0,367.5,2.7725489368202263,P007
2000.0,370.0,1.9795209170687431,P007
2000.0,372.5,1.401587161184525,P007
2000.0,375.0,0.988416176735742,P007
2000.0,377.5,0.6921974663108863,P007
2000.0,380.0,0.4848737125290215,P007
2000.0,382.5,0.3416629134893495,P007
2000.0,385.0,0.2412804748917932,P007
2000.0,387.5,0.1713261207838373,P007
2000.0,390.0,0.1235248346694456,P007
2000.0,392.5,0.088025374983865,P007
2000.0,395.0,0.0619143010643888,P007
2000.0,397.5,0.0430430368159797,P007
2000.0,400.0,0.0283502604095018,P007
4000.0,250.0,2588.308259119827,P007
4000.0,260.0,1806.302851918667,P007
4000.0,270.0,1269.8606903833995,P007
4000.0,280.0,886.5611967043957,P007
4000.0,290.0,606.6005656828903,P007
4000.0,300.0,401.0950927955299,P007
4000.0,310.0,252.83158894028392,P007
