m_GeV,delta_keV,N_iso_unit,N_p_unit,source
5000.0,320.0,2301.170595034027,622.7448413224195,WimPyDD-live
5000.0,330.0,1338.4459748192935,381.1338876628752,WimPyDD-live
5000.0,340.0,713.755010431895,216.53547579635293,WimPyDD-live
5000.0,350.0,343.5679134885753,112.67650467388486,WimPyDD-live
5000.0,360.0,143.54975189193954,52.05298044454699,WimPyDD-live
5000.0,370.0,49.98053668422143,20.587575721730374,WimPyDD-live
5000.0,380.0,13.67657249811358,6.657737831243128,WimPyDD-live
5000.0,390.0,2.648243181008225,1.6104981474631948,WimPyDD-live
10000.0,250.0,18122.404858061916,4327.383366280783,WimPyDD-live
10000.0,260.0,12662.998080504682,3029.0140971548876,WimPyDD-live
10000.0,270.0,8973.787603548382,2155.9363543530194,WimPyDD-live
10000.0,280.0,6363.192840029062,1542.987304157804,WimPyDD-live
10000.0,290.0,4468.891019414509,1100.1576501169902,WimPyDD-live
10000.0,300.0,3065.701876771561,772.0139918365027,WimPyDD-live
10000.0,310.0,2027.245473620534,526.1028626559482,WimPyDD-live
10000.0,320.0,1278.2267783504903,344.7904647479489,WimPyDD-live
10000.0,330.0,757.0316523554094,214.3409767594322,WimPyDD-live
10000.0,340.0,413.9552225289181,124.4933811737866,WimPyDD-live
10000.0,350.0,205.34980373909457,66.58602160456898,WimPyDD-live
10000.0,360.0,89.79947122965935,31.9719592583114,WimPyDD-live
10000.0,370.0,33.07638923900837,13.284606933410473,WimPyDD-live
10000.0,380.0,9.797298387861137,4.599832142678187,WimPyDD-live
10000.0,390.0,2.1554396617241283,1.2405387280984783,WimPyDD-live
