m_GeV,omega_h2_thermal,f_thermal,x_f,T_fo_GeV,nonthermal_fraction_needed,dilution_D_needed,T_RH_nonthermal_GeV,sigv_eff_cm3s
300.0,0.008801249080149919,0.07334374233458266,28.129364905696203,10.665011492643046,0.9266562576654174,1.0,0.8642854414702578,3.3304333036380235e-25
347.2,0.01168257199866208,0.09735476665551733,27.98278374653226,12.407629031655095,0.9026452333444827,1.0,1.3214629497410042,2.486473397842899e-25
401.8,0.015513614538140492,0.12928012115117077,27.858824132371858,14.422719282437688,0.8707198788488293,1.0,2.0216203864422675,1.856621542824724e-25
465.0,0.020608545002563605,0.17173787502136337,27.722270458530705,16.77351790848394,0.8282621249786366,1.0,3.0720110477040827,1.3862365467796145e-25
500.0,0.02373255667025961,0.19777130558549677,27.622532234697246,18.101164504097834,0.8022286944145032,1.0,3.78282690648313,1.1989559893096887e-25
538.2,0.02738711500497184,0.22822595837476534,27.554327432208158,19.532322148821528,0.7717740416252347,1.0,4.672997553143745,1.0347986735290132e-25
622.9,0.036397642201434016,0.30331368501195016,27.41820451990683,22.71848251579519,0.6966863149880498,1.0,7.217557417520731,7.725144086053614e-26
720.8,0.04836097975436463,0.4030081646197053,27.283719386801444,26.418685435853313,0.5969918353802948,1.0,11.164421743724285,5.76917475248364e-26
834.2,0.06427306189645714,0.5356088491371428,27.136000245294348,30.741450193812504,0.4643911508628572,1.0,17.23728460901358,4.307277765012023e-26
965.5,0.08540607835249865,0.7117173196041554,26.99028261283206,35.772133765689794,0.2882826803958446,1.0,26.61996090858749,3.215427294239799e-26
1000.0,0.09143804712789064,0.7619837260657554,26.969648076056785,37.07871890578297,0.23801627393424463,1.0,29.549341993123743,2.9973899732742216e-26
1100.0,0.11004156157767864,0.917013013147322,26.844691810847028,40.976443601990894,0.08298698685267802,1.0,39.06970331130135,2.477181796094398e-26
1117.4,0.11344803925326041,0.9454003271105035,26.83580920562092,41.63839411132622,0.05459967288949652,1.0,40.90759147514173,2.4006337980144951e-26
1150.0,0.11996509525301831,0.9997091271084859,26.80550163360335,42.90164070492011,0.00029087289151408235,1.0,44.50276918421737,2.2664574467101865e-26
1293.2,0.15066640694354122,1.255553391196177,26.708086545125035,48.419792178487036,0.0,1.255553391196177,,1.7923047605135952e-26
1496.6,0.20004241976904058,1.6670201647420049,26.55726083646147,56.35370338891506,0.0,1.6670201647420049,,1.3382331026428947e-26
1732.1,0.265463621814421,2.2121968484535084,26.41576014431827,65.57070440286213,0.0,2.2121968484535084,,9.990732404011084e-27
2000.0,0.35042877502037856,2.920239791836488,26.25769535974062,76.1681469984027,0.0,2.920239791836488,,7.493474933185554e-27
2004.5,0.3519510115216229,2.9329250960135242,26.23775927501281,76.3975299487163,0.0,2.9329250960135242,,7.459867762672977e-27
2319.9,0.46639030914235124,3.886585909519594,26.105588749064303,88.8660287381242,0.0,3.886585909519594,,5.569352678487571e-27
2684.9,0.6175215711515412,5.14601309292951,25.944532510062047,103.48615836337454,0.0,5.14601309292951,,4.158024274481288e-27
3000.0,0.7635376259713027,6.3628135497608564,25.829579693500957,116.14590851258943,0.0,6.3628135497608564,,3.330433303638024e-27
3107.2,0.8164620767250207,6.803850639375173,25.79670131529035,120.44950871909677,0.0,6.803850639375173,,3.1045941423586876e-27
3596.1,1.0784800710229896,8.98733392519158,25.638469816595528,140.2618809049314,0.0,8.98733392519158,,2.3178201286969032e-27
4161.8,1.4237775779805395,11.864813149837829,25.478097337150274,163.34814742746005,0.0,11.864813149837829,,1.730536797725606e-27
4816.5,1.879289022042178,15.660741850351485,25.327237783613118,190.17075770956382,0.0,15.660741850351485,,1.2920523816936212e-27
5000.0,2.0178453899272046,16.815378249393373,25.300301742274215,197.6261014960747,0.0,16.815378249393373,,1.1989559893096888e-27
5574.3,2.4829874884995697,20.691562404163083,25.19530032904019,221.24364175865935,0.0,20.691562404163083,,9.646340197018341e-28
6451.2,3.2842911842165794,27.36909320180483,25.02996677874204,257.7390556298703,0.0,27.36909320180483,,7.202151256652159e-28
7466.1,4.348171150087207,36.234759584060065,24.88793665713419,299.98870950436236,0.0,36.234759584060065,,5.377193254633657e-28
8640.7,5.7610992637587755,48.00916053132313,24.747303472467575,349.1572328117747,0.0,48.00916053132313,,4.0146288045781068e-28
10000.0,7.637912043981234,63.64926703317695,24.612624340284615,406.29556043044704,0.0,63.64926703317695,,2.997389973274222e-28
