Enu_MeV,sigma_window_cm2,sigma_total_cm2,F_req_cm2,N_lo_5p4_200_per_window_event,N_lo_5p4_55_per_window_event,E_budget_erg_10kpc,E_budget_erg_1kpc,E_budget_erg_100pc,E_budget_erg_1AU
125,1.4371278245565232e-41,5.009435975376938e-38,3222541017728.6147,2367.017288820719,2294.1500321618983,7.722112523720659e+54,7.722112523720658e+52,7.722112523720659e+50,1.8150638691063045e+36
130,2.0511217930482435e-41,5.038704219186999e-38,2257888038657.078,1671.225270678125,1617.7397014281514,5.6269546363362654e+54,5.626954636336264e+52,5.626954636336265e+50,1.3226020758103648e+36
140,3.090740609024975e-41,5.088140524431402e-38,1498412176301.4841,1123.3822967280807,1085.164138629502,4.021489952461538e+54,4.021489952461537e+52,4.021489952461538e+50,9.4524148544394e+35
150,3.929453241252276e-41,5.128201751898363e-38,1178587217614.1665,892.6786295856942,860.8897752938644,3.3890708220745675e+54,3.3890708220745665e+52,3.389070822074567e+50,7.965928986523104e+35
175,5.433351754211574e-41,5.201044405745811e-38,852365827182.5833,657.3609377402798,632.1299719758283,2.8595107741792076e+54,2.859510774179207e+52,2.8595107741792077e+50,6.721210903868237e+35
200,6.409439731372657e-41,5.248666011235091e-38,722559780020.0643,563.7261844659782,541.1046539269275,2.7703295732074617e+54,2.7703295732074617e+52,2.7703295732074617e+50,6.511592648254769e+35
250,7.55731919251409e-41,5.304830199912996e-38,612810342447.879,484.5591369077177,464.143852184089,2.936931070263157e+54,2.9369310702631563e+52,2.936931070263157e+50,6.903185437036245e+35
300,8.180858652887215e-41,5.335371225001608e-38,566102356592.8533,450.86663315248626,431.39029901137576,3.255696227420938e+54,3.2556962274209377e+52,3.255696227420938e+50,7.652435228087348e+35
500,9.087825140702668e-41,5.379799596913067e-38,509605245551.0169,410.1128072040703,391.7722102255079,4.884628654436141e+54,4.88462865443614e+52,4.88462865443614e+50,1.1481201494324536e+36
1000,9.470451627749813e-41,5.40964891882517e-38,489016104446.63293,395.2609633217505,377.3342610055165,9.374558433667573e+54,9.374558433667571e+52,9.374558433667573e+50,2.2034672830146034e+36
3000,9.583822438726745e-41,5.415007095707543e-38,483231340309.3228,391.08816109421707,373.277747407369,2.7790989267125186e+55,2.7790989267125177e+53,2.779098926712518e+51,6.532204801539969e+36
