component,N_SF,P_ge1_TPC_deposit,P_ge1_capture,P_ge2_captures,N_TPC_deposit_events,N_MS_events,N_TPC_and_ge1_capture,N_ge2_captures,P_ge1_visible_gamma
"PTFE (TPC walls, reflectors)",0.1035936,0.620117361495508,0.7495552148494806,0.35447966798772135,0.06424018989982105,0.04278075627817661,0.04815156934233181,0.03672182493365281,0.9999465075247957
Ti cryostat (ICV+OCV),11.395296,0.4820066159313162,0.7495552148494806,0.35447966798772135,5.492608062495664,3.4992518771366994,4.1170130163679275,4.039400742701809,0.9972667807770647
R11410 PMTs (TPC 494 + Skin 131),12.9492,0.5319293595467021,0.7495552148494806,0.35447966798772135,6.888059662642154,4.453844736283706,5.1629810403277805,4.5902281167066015,0.996873825352916
"cables, feedthroughs, PMT bases, misc.",3.1078079999999995,0.30599073018469136,0.7495552148494806,0.35447966798772135,0.9509604391938251,0.5793323963272928,0.712797356313284,1.1016547480095842,0.996873825352916
