component,location,N_SF,p_enter,p_gamma,f_gamma_narrow,f_gamma_poisson,f_n,P_lone_per_SF,P_lone_per_SF_poissonG,N_lone_220d,N_lone_220d_poissonG,N_lone_no_companion_penalty
"PTFE (TPC walls, reflectors)",wall,0.1035936,0.5,0.0036166666666666665,5.349247520421148e-05,0.0015392012488860925,0.1564852043524697,1.354726310855767e-12,3.898111690677341e-11,1.4034097555626797e-13,4.038194232393522e-12,1.6765577429868013e-08
Ti cryostat (ICV+OCV),cryostat,11.395296,0.35,0.13408333333333333,0.0027332192229353007,0.0035941119810355493,0.1564852043524697,4.845419447049592e-11,6.371600178152203e-11,5.521498884328643e-10,7.260627002369708e-10,1.290949462099837e-06
R11410 PMTs (TPC 494 + Skin 131),pmt,12.9492,0.4,0.14771666666666666,0.003126174647084014,0.003927148587608876,0.1564852043524697,6.333767178381044e-11,7.956575571369255e-11,8.201721794629181e-10,1.0303128838877474e-09,1.6765577429868014e-06
"cables, feedthroughs, PMT bases, misc.",pmt,3.1078079999999995,0.2,0.14771666666666666,0.003126174647084014,0.003927148587608876,0.1564852043524697,3.166883589190522e-11,3.978287785684627e-11,9.842066153555016e-11,1.236375460665297e-10,2.0118692915841615e-07
