f,p_six_wall_bins,p_annulus_sci,p_HESB_wall_sci,p_wall_prompt,p_prompt_total_4p7t,chi2_BC,Z_six_wall,note
1.0,0.3736779344296693,0.9704455335485082,0.5488116360940265,0.5184295759360504,0.5326743055058862,9.473115794639964,0.3221278127019152,
1.64,0.1017504486530991,0.9519907125149183,0.37381285294546657,0.2019142301177181,0.5302647343176415,11.628730827295534,1.2716404513969826,
2.0,0.04432409033348308,0.9417645335842487,0.3011942119122021,0.1087866503774024,0.5289093835791081,13.160527072400182,1.7025720696628341,
5.0,1.4292771240368662e-05,0.8607079764250578,0.04978706836786395,0.00022264244658763393,0.5176179705872584,28.87536414490356,4.184451533380762,
10.0,5.206407745164408e-12,0.7408182206817179,0.002478752176666357,1.864817495243118e-09,0.4988300931034752,58.40277542266378,6.800677683033371,
20.0,1.8943274838507902e-25,0.5488116360940264,6.144212353328207e-06,3.6674420928831287e-20,0.46151803013621084,120.230186700424,10.359518223268113,
50.0,9.596974789200195e-67,0.22313016014842982,9.357622968840163e-14,2.9871377793219e-53,0.35440606666987806,310.36502377292743,17.218796028938886,
100.0,2.7729785301938663e-136,0.049787068367863944,8.756510762696494e-27,4.1275476864285595e-109,0.20563269205069992,630.5924350506876,24.81932604326862,
200.0,5.841767841746233e-276,0.0024787521766663585,7.667648073722046e-53,1.993042047632027e-221,0.04708801234216934,1273.819846328448,35.47562190867653,
500.0,0.0,3.059023205018258e-07,5.148200222411903e-131,0.0,3.8989831092914976e-05,3208.1546834009514,inf,
2.8742348179826136,0.004959854594029841,0.9173859201093405,0.17825487144266294,0.02068073019840857,0.5256182212554458,17.357526764575134,2.5786156390010913,FV-only: Z_local = 3.0
58.71471178493867,7.873058777209948e-79,0.17179706497391184,5.015506518148686e-16,5.935595495489363e-63,0.3253714386119775,366.0193926369743,18.76098273673634,FV-only: Z_local = 2.0
977.495005503596,0.0,1.8381434061358737e-13,1.9390446655028285e-255,0.0,1.4295557576949306e-12,6290.090878618321,inf,FV-only: Z_local = 1.0
