label,q0,Z,s_hat,t_H0,t_H1,b_event_cell_H0,mssi_FV_H0,Z_toy_est,Neff,Z_global,Z_global_P008,Z_global_toy_est,dZ_local,Z_local_LZanch,Z_global_LZanch,prior,sidebands,f
gauss100,9.664361389041005,3.108755601368658,1.1781927400662706,1.3576563507844406,0.998648098452058,1.1585814394094107e-05,0.006652516118843758,3.028755601368658,10.25495355425325,2.3419522470539262,2.3795779373067365,2.276952468403572,-8.117615283076418e-06,3.399991882384717,2.591792209210124,gauss100,False,1.0
gauss100 + sidebands,10.044123184516138,3.1692464695122937,1.1800069018986792,0.7797874187533642,0.6873814786104995,9.14684178559833e-06,0.0038209583518914844,3.0892464695122936,10.998982322865977,2.392233410685105,2.4331342114009997,2.325938975275957,0.060482750528352724,3.4604827505283526,2.6458761262127672,gauss100,True,1.0
LN0.7,9.71661841157038,3.117149083950009,1.1793000272630172,1.2548015083398156,0.9982050800212603,1.114838859491554e-05,0.006148527390865096,3.037149083950009,10.35594380986566,2.3488727873537227,2.386964915854487,2.2836878891809573,0.00838536496606812,3.408385364966068,2.599256905178757,LN0.7,False,1.0
LN0.7 + sidebands,9.974261877170647,3.1582054836838354,1.1804770194757563,0.8425821563951038,0.7776694345186315,9.408433412467098e-06,0.0041286525663360085,3.0782054836838353,10.860352517120893,2.3829867764020447,2.423304601599352,2.3169218979993635,0.049441764699894364,3.4494417646998943,2.6359557012438213,LN0.7,True,1.0
LN1.5,9.020136372742854,3.0033541870287053,1.1802730458246569,5.847401079601908,0.9945519980115238,3.1067997245195946e-05,0.02865226529004935,2.923354187028705,9.046667086664486,2.2566941808326906,2.288118273742429,2.1788678171166236,-0.10540953195523572,3.294590468044764,2.499220887614519,LN1.5,False,1.0
LN1.5 + sidebands,10.058345654233563,3.1714895008865414,1.180985795149484,0.7629451083386919,0.6736826284128187,9.075813092324476e-06,0.00373843103085959,3.0914895008865413,11.02730163816893,2.3941155929124487,2.4351340340222127,2.327774882510968,0.06272578190260036,3.4627257819026003,2.647894109445928,LN1.5,True,1.0
LN2.3,7.0340188960508385,2.65217248610471,1.1796007206461867,47.18495594211824,0.9798686607816781,0.00020945067360818347,0.2312062841163794,2.57217248610471,6.937287818831632,1.9202436799614864,1.9373166967923825,1.8466818267713996,-0.456591232879231,2.943408767120769,2.1984603855663822,LN2.3,False,1.0
LN2.3 + sidebands,10.082131968805697,3.1752373090535606,1.1807505187971967,0.7411127868684549,0.6453660838538955,8.985524781997198e-06,0.003631452655655429,3.0952373090535605,11.074737339938679,2.3972632262420035,2.4384776334452156,2.33084546668339,0.06647359006961961,3.4664735900696195,2.6512678372791982,LN2.3,True,1.0
flat,3.0825798532678164,1.7557277275442842,1.1852864686963505,165.4628360026171,0.020871605823847672,0.0006954787262581836,0.8107678964128238,1.6757277275442841,4.261928932063895,1.0024140229347889,1.0092285176934515,0.925715127150024,-1.3530359914396568,2.046964008560343,1.296712752585564,flat,False,1.0
flat + sidebands,10.103608399487712,3.1786173723000557,1.1804597616421375,0.7213149686112841,0.6202489403681967,8.903164811439269e-06,0.003534443346195292,3.0986173723000556,11.117645217859533,2.4001049521624056,2.4414954595341394,2.3336179927672553,0.0698536533161147,3.4698536533161146,2.6543126054540864,flat,True,1.0
