label,q0,Z,s_hat,t_H0,t_H1,b_event_cell_H0,mssi_FV_H0,Z_toy_est,Neff,Z_global,Z_global_P008,Z_global_toy_est,dZ_local,Z_local_LZanch,Z_global_LZanch,f,mode
x1 common,10.044123184516138,3.1692464695122937,1.1800069018986792,0.7797874187533642,0.6873814786104995,9.14684178559833e-06,0.0038209583518914844,3.0892464695122936,10.998982322865977,2.392233410685105,2.4331342114009997,2.325938975275957,0.060482750528352724,3.4604827505283526,2.6458761262127672,1,common
x1 FV-only,10.044123184516138,3.1692464695122937,1.1800069018986792,0.7797874187533642,0.6873814786104995,9.14684178559833e-06,0.0038209583518914844,3.0892464695122936,10.998982322865977,2.392233410685105,2.4331342114009997,2.325938975275957,0.060482750528352724,3.4604827505283526,2.6458761262127672,1,FV-only
x1 LZ-style (no sideband terms),9.664361389041005,3.108755601368658,1.1781927400662706,1.3576563507844406,0.998648098452058,1.1585814394094107e-05,0.006652516118843758,3.028755601368658,10.25495355425325,2.3419522470539262,2.3795779373067365,2.276952468403572,-8.117615283076418e-06,3.399991882384717,2.591792209210124,1,none
x2 common,10.032673746800356,3.167439620071763,1.1797576021144862,0.40187608937609826,0.3441597312872604,9.245383622526932e-06,0.003938385675885763,3.087439620071763,10.976208374143672,2.3907181403837408,2.431523982682507,2.3244610695884034,0.05867590108782217,3.458675901087822,2.644251197834805,2,common
x2 FV-only,9.426810786340866,3.070311187215535,1.1785018786354906,0.8286017078769217,0.6851594556223463,1.2864725208778316e-05,0.008120296737193833,2.990311187215535,9.80149047041924,2.3104951439009414,2.345933661286674,2.244490094685316,-0.03845253176840613,3.361547468231594,2.557772350244222,2,FV-only
x2 LZ-style (no sideband terms),8.853956747267148,2.9755599048359196,1.1759236284589925,1.45763528400203,0.9971168934783738,1.8293068512722174e-05,0.014284825783219893,2.8955599048359195,8.854998147774237,2.2299827981964113,2.2603803438648096,2.1518065379904363,-0.1332038141480214,3.2667961858519785,2.4751910749595547,2,none
x5 common,10.066662786835877,3.1728004643903907,1.1801802989910304,0.1535759476900497,0.13083825890616527,9.094999270872684e-06,0.0037626107184062173,3.0928004643903906,11.043877613707057,2.395216226804233,2.4363033004504797,2.3288485266122105,0.06403674540644966,3.4640367454064496,2.649073945240431,5,common
x5 FV-only,8.225785414728307,2.8680630074543876,1.1757140153075796,0.8819999183546962,0.6833437782727985,2.479016214035579e-05,0.021608997999690054,2.7880630074543875,8.190092933623989,2.1251452023183255,2.1516527454867567,2.048248378018399,-0.2407007115295534,3.1592992884704465,2.383901467907705,5,FV-only
x5 LZ-style (no sideband terms),7.458009620602752,2.7309356676060226,1.1716657062780267,1.5313729204212505,0.9881805243164421,3.8956891798309676e-05,0.03751863655032064,2.6509356676060225,7.381622013014564,1.9940058039583168,2.014793726104922,1.9190955501745797,-0.3778280513779184,3.0221719486220815,2.2716836488944674,5,none
x10 common,10.08402656911494,3.1755356349937154,1.1804418356200108,0.07446021813356515,0.06365736677724873,8.997267944156837e-06,0.0036485506885446926,3.0955356349937153,11.07851957111036,2.397513926013457,2.4387439001863025,2.331090047830324,0.06677191600977439,3.4667719160097743,2.651536490698763,10,common
x10 FV-only,7.105462110292137,2.6656072685773005,1.171404457650559,0.9031228604253295,0.6800971646588855,4.494793660669833e-05,0.04425302016084114,2.5856072685773004,7.012047713346118,1.9327360106965592,1.9504664154314317,1.8589325025480714,-0.44315645040664053,2.9568435495933594,2.211615981304948,10,FV-only
x10 LZ-style (no sideband terms),6.267073996350518,2.503412470279422,1.1686807475822558,1.5466768062464884,0.9653004975428529,7.29829539600097e-05,0.07578716350607792,2.423412470279422,6.137734978373305,1.7846829316627915,1.7937742722152314,1.6983692222250824,-0.605351248704519,2.794648751295481,2.0545387811968894,10,none
x20 common,10.093381656692145,3.177008287161389,1.1786040825443866,0.03667007164411964,0.03133659274269263,8.952601517912987e-06,0.0035936670211237243,3.097008287161389,11.097203846649187,2.3987517956831157,2.4400585455057,2.332297744868156,0.06824456817744817,3.468244568177448,2.6528628927187814,20,common
x20 FV-only,5.893859064342905,2.4277271395984568,1.163143122006991,0.9071747195850509,0.6738649035484015,8.462230659522759e-05,0.08890312251933499,2.3477271395984567,5.938917388091265,1.703051050026472,1.7118743530193803,1.6164544546437485,-0.6810365793854842,2.7189634206145157,1.982714488471814,20,FV-only
x20 LZ-style (no sideband terms),5.0489045991944295,2.2469767687260207,1.1571116332634424,1.526937646524496,0.9306914763647416,0.00013821009199114045,0.14963988935940062,2.1669767687260206,5.486611452269446,1.5081555453917317,1.516713230121471,1.422927946401368,-0.8617869502579203,2.5382130497420796,1.8159115840559044,20,none
x50 common,10.09953351796321,3.177976324323894,1.1785437960679856,0.014531690585324913,0.012429890286028956,8.922675653709298e-06,0.0035602641934046036,3.097976324323894,11.109498254318746,2.3995657886737036,2.4409229440128857,2.3330919323963375,0.0692126053399531,3.469212605339953,2.653734996916399,50,common
x50 FV-only,4.275002666841829,2.067607957723569,1.1396620267862356,0.8820802192908972,0.6542205478826162,0.0001963784696708945,0.2161096537262698,1.987607957723569,5.038620880082173,1.3182625030497561,1.326389014867051,1.235178970590693,-1.041155761260372,2.358844238739628,1.628459732850443,50,FV-only
x50 LZ-style (no sideband terms),3.5387029392422846,1.881144050635752,1.1277419598620653,1.4248938841479417,0.8165140648480065,0.0003112243275022026,0.34909900161624574,1.801144050635752,4.573894102962013,1.1266267204349019,1.134070303787715,1.0468782887889996,-1.227619668348189,2.172380331651811,1.428659831316224,50,none
x100 common,10.10148990064772,3.1782841126380945,1.1798053838593436,0.00724996291503522,0.006185278055257578,8.91575237814845e-06,0.0035524818283672573,3.0982841126380944,11.113409340423287,2.3998246463802886,2.4411978178378217,2.3333444976364515,0.06952039365415352,3.4695203936541534,2.654012317040724,100,common
x100 FV-only,3.1326727903506253,1.769935815319478,1.1026693609208427,0.8268309279920644,0.6191056172296142,0.0003589523101820961,0.4051471547161115,1.689935815319478,4.297244632856496,1.0162566776359452,1.0231502531312717,0.939174917475018,-1.338827903664463,2.061172096335537,1.3115364788792845,100,FV-only
x100 LZ-style (no sideband terms),2.6347339737185393,1.6231863644444957,1.0945551592291969,1.230423898791239,0.621071183510626,0.0005248536085718992,0.6029077104077071,1.5431863644444956,3.932819382298142,0.8765997609934365,0.8825692326619526,0.8039916904755111,-1.4855773545394453,1.9144226454605546,1.1602832845762054,100,none
x200 common,10.10255609480555,3.178451839308809,1.1803872890072808,0.003615160236653744,0.0030974835874225328,8.909485908039315e-06,0.0035428570319206687,3.098451839308809,11.115541074206602,2.3999657184442937,2.44134761564793,2.333482141627287,0.06968812032486804,3.469688120324868,2.6541634471838593,200,common
x200 FV-only,2.1659037119370623,1.4717009587334862,1.0384648873209246,0.7221696603547678,0.5524038294187518,0.0006111879649499461,0.7077262671476725,1.391700958733486,3.5574589474337412,0.741614869174302,0.7463504934954206,0.6750053718617047,-1.6370627602504548,1.762937239749545,1.009430227529542,200,FV-only
x200 LZ-style (no sideband terms),2.183505461691311,1.4776689283094881,1.1151437575433598,0.8908422132825705,0.24924376876242513,0.0007446112130638238,0.8730253690169192,1.397668928309488,3.5722299254195,0.7467242440866371,0.7515144940525155,0.679848042443133,-1.6310947906744528,1.768905209325547,1.0152504663126243,200,none
x500 common,10.103882004765183,3.178660410419015,1.1806184896664418,0.001448537233551604,0.001238653323947646,8.913666315697507e-06,0.0035489162222014296,3.098660410419015,11.118192336665762,2.4001411536366675,2.441533899391537,2.333653314887914,0.06989669143507404,3.469896691435074,2.654351386962423,500,common
x500 FV-only,1.3153144977040938,1.1468716134354768,0.9429058582450411,0.4961597494163701,0.3943694001546287,0.0010115161008246404,1.2155913860701066,1.0668716134354768,2.75581957343835,0.4974457210112309,0.49832192526415187,0.45015651374503934,-1.9618921055484642,1.4381078944515358,0.7132087493780812,500,FV-only
x500 LZ-style (no sideband terms),2.489587189791564,1.5778425744641207,1.1834866398541632,0.39410996029525275,0.00013259226720589896,0.0008179520152625149,0.9655694027233692,1.4978425744641206,3.820372175911045,0.8351044079578387,0.8407366523134021,0.7641313765705013,-1.5309211445198203,1.8690788554801796,1.1144913730186394,500,none
