label,q0,Z,s_hat,t_H0,t_H1,b_event_cell_H0,mssi_FV_H0,Z_toy_est,Neff,Z_global,Z_global_P008,Z_global_toy_est,dZ_local,Z_local_LZanch,Z_global_LZanch,g_event_cell,frac_within_2sig_bottom,frac_event_bin,neighbourhood_fraction,mssi_S1c_gt500
"baseline (P004 d-shape, 10 % at S1c>500)",10.044123184516138,3.1692464695122937,1.1800069018986792,0.7797874187533642,0.6873814786104995,9.14684178559833e-06,0.0038209583518914844,3.0892464695122936,10.998982322865977,2.392233410685105,2.4331342114009997,2.325938975275957,0.060482750528352724,3.4604827505283526,2.6458761262127672,1.0,0.34295519211137904,0.03155290442708179,0.0354469387755102,0.000506451
"d: 25 % N(0,1) admixture",9.975138399808202,3.158344249730894,1.1798540276027936,0.7863338665094874,0.687389065823288,9.500099914291713e-06,0.003853035945896488,3.0783442497308937,10.862086951803654,2.383102802633622,2.4234279952858313,2.3170350207051977,0.04958053074695279,3.4495805307469527,2.6360802511029715,1.0990730102397863,0.4958413281094447,0.03467894565048106,0.05124884417599109,0.0005064509999999999
"d: 50 % N(0,1) admixture",9.908005841056365,3.1476984990714034,1.1796996581580366,0.7924593318740306,0.6873973949271701,9.858042498903273e-06,0.00388305072618275,3.0676984990714034,10.729607923519906,2.374215600575255,2.413972572356565,2.3083719388133175,0.03893478008746243,3.4389347800874623,2.6265350229596645,1.1981460204795722,0.6487274641075104,0.03780498687388033,0.06705074957647199,0.0005064509999999997
"d: 100 % N(0,1) (MSSI on the NR band)",9.779048800157398,3.127147070439348,1.1793898214316612,0.803567354996909,0.6874158709648872,1.0586148329144725e-05,0.003937480039484854,3.047147070439348,10.47717794849856,2.3571403186889808,2.3957829466226013,2.291737248648981,0.018383351455407038,3.418383351455407,2.6081655702950495,1.3962920409591446,0.9544997361036416,0.04405706932067886,0.09865456037743377,0.0005064509999999993
d: flat within |d|<2 only,8.560852096394228,2.9258933843177246,1.1760994986033901,0.8742600545125059,0.6877969368983851,2.0684951128314387e-05,0.004283874267111278,2.8458933843177245,8.544384303617463,2.181345468790145,2.2100061365589396,2.1037326408402675,-0.18287033466621638,3.2171296653337835,2.4326772880617598,3.9616004380475593,1.0,0.125,0.10335734693877552,0.000506451
S1c: 20 % at S1c>500,9.460715655182867,3.075827637430756,1.1785752569634944,0.8275109222304639,0.6874503094369051,1.2627674311992673e-05,0.004054803518929273,2.995827637430756,9.86564733508632,2.31498428737421,2.350741823774013,2.249922284841847,-0.03293608155318495,3.367063918446815,2.562636430871554,1.9350341888948783,0.34295519211137904,0.03155290442708179,0.0685910384222758,0.00098
S1c: 50 % at S1c>500,8.267056406408301,2.8752489294682473,1.17514599346619,0.8846616643407859,0.6878548557399723,2.4242419719813785e-05,0.00433484215526985,2.795248929468247,8.233685302966826,2.1321018845407904,2.15888490786886,2.055112413791325,-0.2335147895156937,3.166485210484306,2.3899180731603793,4.837585472237196,0.34295519211137904,0.03155290442708179,0.1714775960556895,0.0024500000000000004
S1c: 100 % at S1c>500,7.139869322567392,2.672053390665574,1.1705048002989293,0.9115233563256555,0.6886209819330027,4.411186526425113e-05,0.004466464445995712,2.592053390665574,7.048068553666763,1.938743390276263,1.9567856826369006,1.8648256779781534,-0.43671032831836687,2.963289671681633,2.2179365957299533,9.675170944474392,0.34295519211137904,0.03155290442708179,0.342955192111379,0.004900000000000001
S1c 100 % >500 and d flat |d|<2 (all MSSI in the neighbourhood),4.633534942096958,2.152564735866719,1.1465379934140651,0.9349587181379914,0.6944020535254746,0.00016272477164998333,0.004581297718876157,2.072564735866719,5.250697566158872,1.4076591969366943,1.4160139086843295,1.3234474683737418,-0.956198983117222,2.443801016882778,1.720503049229105,38.32916145181477,1.0,0.125,1.0,0.0049
