name,cls,op,tau,mass,delta,distinct,on_LZ_grid,f_lo,f_L2,f_M,f_hi,N_lo,N_L2,N_M,rho,rho_sig32,physical,grid_model,class4,q2spin,SIlike,B_logu,B_flat,B_jeff,B_P016flat,B_logu_rho,B_flat_rho,B_jeff_rho,B_P016flat_rho,B_logu_rho32,B_flat_rho32,B_jeff_rho32,B_P016flat_rho32,Bmu_logu,Bmu_flat,Bmu_jeff,Bmu_logu_rho,post_uniform,post_uniform_rho,post_classes,post_classes_rho,post_physics,post_physics_rho,post_raw,post_raw_rho,post_heavy,post_heavy_rho
O1s_m10,elastic,O1,s,10,0,True,True,1,0,0,0,inf,inf,inf,0,0,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m12,elastic,O1,s,12,0,True,True,1,0,0,0,inf,inf,inf,0,6.37887e-78,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m14,elastic,O1,s,14,0,True,True,1,0,0,0,inf,inf,inf,1.38642e-117,3.76577e-58,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m17,elastic,O1,s,17,0,True,True,1,0,0,0,inf,inf,inf,3.43208e-78,1.5072e-38,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m21,elastic,O1,s,21,0,True,True,1,0,0,0,inf,inf,inf,1.83195e-51,2.43674e-25,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m30,elastic,O1,s,30,0,True,True,0.999956,4.39281e-05,0,0,inf,inf,inf,1.56092e-22,2.39634e-11,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m40,elastic,O1,s,40,0,True,True,0.998635,0.00136513,0,0,inf,inf,inf,1.72249e-11,2.76634e-06,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m50,elastic,O1,s,50,0,True,True,0.995945,0.00405494,4.85004e-07,0,inf,inf,inf,3.66761e-06,0.00275237,True,True,elastic-isoscalar,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.254199,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1s_m100,elastic,O1,s,100,0,True,True,0.983566,0.0159901,0.000430583,1.35758e-05,72449.8,1177.84,31.7169,0.22615,0.327605,True,True,elastic-isoscalar,False,True,2.13761e-21,0.000125,0.00172026,1,1.07746e-21,0.000125,0.0016819,1,1.21645e-21,0.000125,0.00168693,1,0.71529,0.267966,0.465005,0.710689,4.3621e-25,2.26881e-25,1.26574e-25,6.34938e-26,1.55368e-25,7.70328e-26,3.33347e-25,1.74385e-25,4.3621e-25,2.26881e-25
O1s_m200,elastic,O1,s,200,0,True,True,0.974535,0.0236451,0.00169932,0.000120313,8099.98,196.529,14.1241,0.31376,0.420295,True,True,elastic-isoscalar,False,True,0.00212681,0.00012509,0.00627268,1,0.001134,0.00012504,0.0053777,1,0.00128813,0.000125047,0.00551664,1,0.761725,0.376535,0.566766,0.725635,4.34008e-07,2.38787e-07,1.25935e-07,6.68256e-08,1.54584e-07,8.10751e-08,3.31664e-07,1.83536e-07,4.34008e-07,2.38787e-07
O1s_m400,elastic,O1,s,400,0,True,True,0.96994,0.0270856,0.00272947,0.000245146,3956.57,110.487,11.134,0.344136,0.453007,True,True,elastic-isoscalar,False,True,0.0278697,0.000143791,0.0108704,1.00002,0.0148362,0.000133742,0.00838843,1.00002,0.0169997,0.00013541,0.00880043,1.00002,0.81594,0.503037,0.685453,0.745775,5.68723e-06,3.12405e-06,1.65025e-06,8.7428e-07,2.02567e-06,1.06071e-06,4.34612e-06,2.40121e-06,5.68723e-06,3.12405e-06
O1s_m1000,elastic,O1,s,1000,0,False,True,0.967362,0.0288798,0.00341582,0.000342266,2826.35,84.3782,9.98003,0.359039,0.469276,True,True,elastic-isoscalar,False,True,0.0620418,0.000198646,0.0146011,1.00006,0.032922,0.00015998,0.010606,1.00006,0.0379303,0.00016663,0.0112931,1.00006,0.858038,0.601111,0.777539,0.762408,0,0,0,0,0,0,9.67506e-06,5.32838e-06,0,0
O1s_m4000,elastic,O1,s,4000,0,True,True,0.966146,0.0297017,0.00375776,0.000394464,2449.26,75.2963,9.52624,0.365622,0.476566,True,True,elastic-isoscalar,False,True,0.0830443,0.00024218,0.0166867,1.0001,0.044003,0.00018105,0.0117983,1.0001,0.0508308,0.000191741,0.0126532,1.0001,0.880637,0.653707,0.826947,0.771614,1.69464e-05,9.26571e-06,4.9173e-06,2.59305e-06,6.03595e-06,3.14598e-06,1.29503e-05,7.12182e-06,1.69464e-05,9.26571e-06
O1v_m10,elastic,O1,v,10,0,False,True,1,0,0,0,inf,inf,inf,0,0,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m12,elastic,O1,v,12,0,False,True,1,0,0,0,inf,inf,inf,0,6.37887e-78,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m14,elastic,O1,v,14,0,True,True,1,0,0,0,inf,inf,inf,1.38641e-117,3.76573e-58,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m17,elastic,O1,v,17,0,True,True,1,0,0,0,inf,inf,inf,3.43202e-78,1.50597e-38,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m21,elastic,O1,v,21,0,True,True,1,0,0,0,inf,inf,inf,1.83063e-51,2.42575e-25,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m30,elastic,O1,v,30,0,True,True,0.999994,5.5184e-06,0,0,inf,inf,inf,1.44786e-22,1.81653e-11,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m40,elastic,O1,v,40,0,True,True,0.999862,0.000138048,0,0,inf,inf,inf,4.9874e-11,7.24927e-06,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m50,elastic,O1,v,50,0,True,True,0.999455,0.000542968,1.6002e-06,0,inf,inf,inf,3.08927e-06,0.00199867,True,True,elastic-isovector,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.254199,0.452112,0.709412,0,0,0,0,0,0,0,0,0,0
O1v_m100,elastic,O1,v,100,0,False,True,0.994702,0.00465509,0.00059791,4.49616e-05,22123.4,103.535,13.2982,1.01404,0.896783,True,True,elastic-isovector,False,True,6.53666e-07,0.000125,0.00333863,1,6.59665e-07,0.000125,0.00334282,1,6.0957e-07,0.000125,0.0033078,1,0.729,0.300057,0.495068,0.729276,0,0,0,0,0,0,1.01935e-10,1.06766e-10,0,0
