op,tau,mass,ceiling_keV,Bcol,B_delta_uniform,B_delta_loguniform,B_LZgrid_mean,B_LZgrid_ge300_mean,B_max,delta_at_Bmax,tuning_penalty_Bmax_over_Bunif,delta_post_16,delta_post_50,delta_post_84,frac_delta_prior_with_B_gt_10
O1,s,400,329.1365613094608,B_logu,14.819160677933752,5.15605405246217,10.436293985504237,39.977927576938065,149.4769747983704,330.0,10.086736897383592,232.65124000985867,299.5532411427462,323.4856561005565,0.38235294117647056
O1,s,400,329.1365613094608,B_logu_rho,7.28278808571147,2.4596557949255753,4.332409668184505,17.3518067076382,110.87984885581817,330.0,15.224917648415428,243.45466373782853,309.67423762765213,325.2350438065964,0.17647058823529413
O1,s,400,329.1365613094608,B_flat,5.223073291536709,1.5923038182699112,1.8047767320198957,9.550271950112036,134.52262270604948,330.0,25.75545377163774,295.4717648870418,320.6324567666639,327.00238616533244,0.08823529411764706
O1,s,400,329.1365613094608,B_flat_rho,3.0562257027202824,0.9155507055839921,0.7520655059748422,4.0937511381859375,99.66933119774406,330.0,32.611901375291254,305.7177977946479,322.06501571346246,327.46080502830796,0.058823529411764705
O1,s,400,329.1365613094608,B_logu_rho32,9.391304657316647,3.168016041166091,5.652440467561279,22.839830930432054,138.0347358773733,330.0,14.698142687750224,243.73951708966212,309.20886703309594,325.1341133047782,0.2647058823529412
O1,s,1000,382.9709025000762,B_logu,28.32344076185146,9.62138901792238,22.787158754450424,72.40886666726487,170.77080971437817,380.0,6.0293101798700794,270.19920569833005,349.21681801804687,374.6495574212153,0.475
O1,s,1000,382.9709025000762,B_logu_rho,22.97872642238928,7.247510628613297,13.36651601862366,45.73231702625238,240.21053741305684,380.0,10.453605347727546,317.5019350081241,364.052694376439,378.9681307521099,0.325
O1,s,1000,382.9709025000762,B_flat,17.25871474842922,5.173157077377706,10.587750987341138,40.4673583898682,175.60138794164075,380.0,10.174650343393786,341.80546799607885,365.2331818272857,378.86668781619716,0.175
O1,s,1000,382.9709025000762,B_flat_rho,17.722985018514724,5.179916108089155,6.91658979651601,26.908360801562967,247.2222752980506,380.0,13.949245854453082,353.2581316433774,370.4374659531691,381.0532797756834,0.15
O1,s,1000,382.9709025000762,B_logu_rho32,26.947026122040953,8.569430667355034,16.94084734829934,57.87137012619321,255.66340810843207,380.0,9.487629801914048,311.4540369908145,362.3517513474067,378.3613024610984,0.375
O1,s,4000,417.0802066425876,B_logu,34.650182937732204,11.713949510102154,18.460803483587508,54.196744839381346,170.77080971437817,400.0,4.928424476755586,286.99757791394575,370.71933133088027,401.36481084027116,0.5116279069767442
O1,s,4000,417.0802066425876,B_logu_rho,30.289909084176465,9.466889913265332,9.372866008689412,29.234274667597766,233.42695704818232,400.0,7.706426466962399,340.3165376843927,386.41899950665396,405.98465827898576,0.37209302325581395
O1,s,4000,417.0802066425876,B_flat,23.098209575374902,6.8932318834314925,5.5659420123156735,20.24394525054018,175.60138794164075,400.0,7.602380927777628,360.01600058948355,387.2056019565471,406.1606639237894,0.23255813953488372
O1,s,4000,417.0802066425876,B_flat_rho,24.735137468624426,7.194323819612423,3.009292375725544,11.207746306341198,240.22561702637535,400.0,9.711917604302476,371.966584877222,392.75386636066816,407.8234996843887,0.18604651162790697
O1,s,4000,417.0802066425876,B_logu_rho32,35.39882862476574,11.152302262170984,12.026030318931433,37.56827734796005,253.37993882954794,400.0,7.157862242149961,334.0727732586473,384.62105082675816,405.5599944014525,0.4418604651162791
O1,v,400,329.1365613094608,B_logu,45.875917025334935,17.7616503777461,41.30965213338236,147.3971013401673,169.8580587599627,330.0,3.702553971099013,203.2350996655723,278.25929013175755,315.5232275087498,0.6176470588235294
O1,v,400,329.1365613094608,B_logu_rho,58.33742269732461,22.463069205600892,52.20102282738141,188.12756922768,230.2040910231641,330.0,3.9460792126101483,204.52962697475337,279.45862172451376,316.05494579160563,0.6176470588235294
O1,v,400,329.1365613094608,B_flat,28.677468129968936,9.565833332865855,25.1258338859624,130.80047030101628,173.7301421069663,330.0,6.0580711421107765,254.18200041335353,300.4350890855836,321.1374180531051,0.4117647058823529
O1,v,400,329.1365613094608,B_flat_rho,36.83971341207218,12.257745517970315,31.957248728577667,167.068528251238,235.64015334221978,330.0,6.396362281824965,255.26647927125555,300.9336858546052,321.44156331206256,0.4411764705882353
O1,v,400,329.1365613094608,B_logu_rho32,55.395019337309364,21.329202793055032,49.69213021402319,179.52771563149923,213.99186897663952,330.0,3.8630164144109767,204.62421206758245,279.4377868971325,315.93138685985645,0.6176470588235294
O1,v,1000,382.9709025000762,B_logu,63.89154175633744,25.434076766358984,57.85166259644546,147.51713740164615,170.77080971437817,380.0,2.672823428892124,218.34426165935855,308.9796376037036,361.6341327050172,0.675
O1,v,1000,382.9709025000762,B_logu_rho,86.73000411774697,33.962523869107464,77.09625890813099,201.27358554169717,271.0499730172389,380.0,3.1252157286797106,222.73328935352745,313.4948473591905,364.49136843716514,0.7
O1,v,1000,382.9709025000762,B_flat,46.90946930488733,16.086645825823297,40.91417146991987,133.73109353797236,175.60138794164075,380.0,3.7434102441091883,271.65700901571176,331.7885125722128,368.3227334914393,0.525
O1,v,1000,382.9709025000762,B_flat_rho,65.10740003671212,22.10397762616779,55.46013998578833,183.4196155396961,279.03040324934165,380.0,4.285694146779087,275.61056536905414,334.8819992438318,370.2526528262415,0.55
O1,v,1000,382.9709025000762,B_logu_rho32,82.01940503169114,32.154286682510566,73.06600163149149,190.53445615555103,253.14474708165034,380.0,3.08640067535041,222.5144178407281,313.06357529480255,364.1783101563375,0.675
O1,v,4000,417.0802066425876,B_logu,71.86927818687614,28.94567022129648,58.46858617549919,144.3797853822121,170.77080971437817,400.0,2.376130859006765,225.2210614592671,324.4816456814486,386.7151732837064,0.6976744186046512
O1,v,4000,417.0802066425876,B_logu_rho,98.78163446282694,39.07511967386794,77.679096612767,195.64626505498939,267.6625261837555,400.0,2.709638564286776,230.41256235824403,329.91094431985243,389.6066187603611,0.7209302325581395
O1,v,4000,417.0802066425876,B_flat,55.16929208609189,19.119614441325115,40.42724678136016,128.45881306086187,175.60138794164075,400.0,3.1829552510409975,279.5742421896297,348.2133572859778,393.88754403870587,0.5581395348837209
O1,v,4000,417.0802066425876,B_flat_rho,77.3960615389515,26.53107711835808,54.43670095240748,174.75475806093263,275.53655389066455,400.0,3.5600849502140868,283.9434860870118,351.9924211048991,395.59019825614456,0.5813953488372093
