class4,n_distinct,B_logu_mean,B_logu_rho_mean,B_flat_mean,Bmu_logu_mean,B_logu_max,frac_B_zero
elastic-isoscalar,147,8.430414415392063,7.438010070050977,1.8857657925259528,9.054225473217164,71.44628688888729,0.54421768707483
elastic-isovector,93,9.01381499566894,7.65207091585526,1.642572147631687,9.615607010736266,55.00490325368426,0.46236559139784944
inelastic-O1,33,48.35110664006161,54.407310989116425,29.312504441409715,48.72711811331843,168.81775456281585,0.0
inelastic-O4,25,49.09033574276492,45.94182506074054,22.328945994530187,49.397184491531405,159.32728449203975,0.0
