model_prior,n_models,B_logu,post_entropy_nats,N_eff_posterior,B_max,bayes_trials_factor_Bmax_over_BDM,prior_mass_zero_B,post_inel_delta_ge300,post_inel_delta_ge250,post_inelastic,post_q2spin,post_SIlike,post_L10,n_models_50pct,n_models_90pct,B_flat,B_jeff,B_logu_rho,N_eff_posterior_rho,post_inel_delta_ge300_rho,post_inelastic_rho,post_q2spin_rho,post_SIlike_rho,B_flat_rho,B_jeff_rho,B_logu_rho32,Bmu_logu,Bmu_flat,Bmu_jeff,Bmu_logu_rho
uniform over distinguishable spectra,298,16.44429740386242,4.597271790880241,99.2132715253598,168.81775456281585,10.26603632960105,0.412751677852349,0.32226507212965133,0.42828798506183113,0.57604370089903,0.30106778124882344,0.00016688219544204732,0.029005530703505263,29,90,6.5620908646336815,13.789970195385717,15.936298539031503,83.73745679252028,0.3654396750179779,0.6199150079026647,0.2670917232061831,0.00018945471994847907,7.180940214784698,14.250300579474459,16.007022629940654,17.00720505566842,23.825460066390594,28.174247860078076,16.481963230910498
uniform over 4 classes,298,28.721417948471885,4.184757205438046,65.67755282809236,168.81775456281585,5.877765327104881,0.25164581961816995,0.4633801139666756,0.6188807793397884,0.8481600956962059,0.10692381416127991,7.265422239134033e-05,0.008416454885588176,16,64,13.792447094024388,26.7220466220181,28.859804258940812,54.43500783519772,0.5048102871828671,0.8692811561496355,0.0908852185143026,8.175346626047594e-05,15.468187067042779,28.52871169936981,28.86236278886277,29.198533772200825,37.645078704799765,46.62668743945864,29.318009585982306
physics-weighted (inelastic = elastic),298,28.6631110071174,4.1744811775361175,65.00610428324616,168.81775456281585,5.8897219677548724,0.25625,0.4749670803664119,0.6312278661678601,0.8489961166793821,0.10723370358619748,5.943975740484954e-05,0.010331130315300682,15,64,14.046939096786911,26.956891541213665,29.13967664423934,52.88900092142157,0.5134246309114022,0.8709498609126303,0.090685569663367,6.432550210729912e-05,15.93815690244377,29.134357335233453,29.100926738915085,29.14385032353561,37.47682223229006,46.47544998352948,29.601591127478518
uniform over raw models (no degeneracy merging),469,13.672813651048509,4.857874727849524,128.7502817446643,168.81775456281585,12.346965216619473,0.49466950959488254,0.33215235139576166,0.431802311061093,0.5846065555342486,0.31306439897166094,0.0004224670695262056,0.043899601343155695,37,116,5.50306907568431,11.527411147672522,13.174029146548346,110.49193017444826,0.3753693906534086,0.6223439297135405,0.28267903927038873,0.0005152672725147997,5.924496168052198,11.77762293135611,13.246858172063583,14.261854220934852,19.645150330318813,23.376848546795944,13.748829383551564
"heavy WIMPs only (m >= 100 GeV), uniform",298,28.002289293434295,4.597271790880241,99.2132715253598,168.81775456281585,6.028712609665046,0.0,0.3222650721296513,0.42828798506183113,0.57604370089903,0.30106778124882344,0.00016688219544204732,0.029005530703505266,29,90,11.174303300919071,23.482349246999682,27.13723979789365,83.73745679252028,0.36543967501797786,0.6199150079026646,0.267091723206183,0.000189454719948479,12.228115337176227,24.266226129619362,27.25767282127037,28.462228302506517,40.39269535092427,47.65895463241795,27.567816509490168
