m_GeV,sigv_eff_ADG,sigv_eff_CFS,Omega_h2_thermal,sigv_WW,sigv_ZZ,sigv_today_S1,sigv_today_S3,fermi_dsph_WW,hess_gc_WW,ams_pbar,planck_WW
300.0,3.3277152939072304e-25,3.1094579746590607e-25,0.007933370997313442,5.198785942151304e-26,4.252253385378051e-26,9.451039327529354e-26,2.8353117982588065e-25,3e-26,2.1908902300206645e-26,3e-26,5.25e-25
500.0,1.1979775058066029e-25,1.119404870877262e-25,0.02203714165920401,2.012214626563979e-26,1.6828189925840495e-26,3.6950336191480285e-26,1.1085100857444085e-25,5e-26,2.8284271247461904e-26,5e-26,8.75e-25
800.0,4.679599632057043e-26,4.372675276864304e-26,0.05641508264756226,8.05157341148009e-27,6.781317668816303e-27,1.4832891080296393e-26,4.449867324088918e-26,8e-26,3.577708763999664e-26,8e-26,1.3999999999999999e-24
1000.0,2.994943764516507e-26,2.798512177193155e-26,0.08814856663681604,5.1814085637741484e-27,4.370930096785202e-27,9.55233866055935e-27,2.8657015981678046e-26,1e-25,4e-26,1e-25,1.75e-24
1100.0,2.4751601359640558e-26,2.3128199811513676e-26,0.1066597656305474,4.289406681976444e-27,3.62022697036307e-27,7.909633652339514e-27,2.372890095701854e-26,1.1e-25,4.195235392680607e-26,1.1e-25,1.925e-24
1500.0,1.3310861175628925e-26,1.2437831898636245e-26,0.19833427493283604,2.3153380168808834e-27,1.956225399094099e-27,4.271563415974983e-27,1.2814690247924949e-26,1.5000000000000001e-25,4.898979485566356e-26,1.5000000000000001e-25,2.6249999999999997e-24
2000.0,7.487359411291268e-27,6.996280442982887e-27,0.35259426654726417,1.304839548258845e-27,1.103056472762552e-27,2.407896021021397e-27,7.22368806306419e-27,2e-25,5.656854249492381e-26,2e-25,3.5e-24
3000.0,3.327715293907231e-27,3.1094579746590612e-27,0.7933370997313441,5.80710669648397e-28,4.9109860610937875e-28,1.0718092757577757e-27,3.215427827273327e-27,3.0000000000000002e-25,6.928203230275509e-26,3.0000000000000002e-25,5.2499999999999995e-24
4000.0,1.871839852822817e-27,1.7490701107457218e-27,1.4103770661890567,3.268037509622229e-28,2.764106280599339e-28,6.032143790221569e-28,1.8096431370664708e-27,4e-25,8e-26,4e-25,7e-24
