m_GeV,alpha_D,mA_GeV,eps_phi,S_sat,S_GC,S_dSph,S_allowed_CMB,CMB_ok,dSph_ok
300.0,0.010391442408757478,0.05011872336272722,0.016076922205554203,1826.919334591467,65.29235277250424,1243.8105186432192,5.303030303030303,False,False
300.0,0.010391442408757478,0.05059762857873756,0.016230543873965615,2723.152929422912,65.29227540185913,1572.3685931459,5.303030303030303,False,False
300.0,0.010391442408757478,0.05108110993297596,0.016385633461217703,4596.731957046105,65.29214176808433,2016.2480843666488,5.303030303030303,False,False
300.0,0.010391442408757478,0.05156921115234368,0.01654220499388461,9625.966951466986,65.29194481388201,2569.4658148034746,5.303030303030303,False,False
300.0,0.010391442408757478,0.05206197638157062,0.01670027263257022,32701.12828004549,65.2916785618609,3127.2287164463437,5.303030303030303,False,False
300.0,0.010391442408757478,0.05255945018720796,0.016859850673188875,1562029.3311812063,65.29133856364922,3440.5704465696513,5.303030303030303,False,False
300.0,0.010391442408757478,0.05306167756165878,0.017020953548258323,63809.92732745856,65.29092236981124,3295.581577619388,5.303030303030303,False,False
300.0,0.010391442408757478,0.05356870392724723,0.017183595828204994,13185.351496000725,65.29043000544026,2790.0880886667696,5.303030303030303,False,False
300.0,0.010391442408757478,0.0540805751403267,0.017347792222681818,5558.769239150345,65.2898644337174,2200.123279138747,5.303030303030303,False,False
300.0,0.010391442408757478,0.05459733749542696,0.01751355758189854,3074.8781616728847,65.28923198748105,1696.5753066231416,5.303030303030303,False,False
300.0,0.010391442408757478,0.055119037729441336,0.017680906897964838,1968.8073691139527,65.28854274708063,1316.5095333469985,5.303030303030303,False,False
300.0,0.010391442408757478,0.055645723025853557,0.017849855306246238,1383.1134115317193,65.2878108416214,1041.237124504194,5.303030303030303,False,False
300.0,0.010391442408757478,0.05617744101900512,0.01802041808673295,1036.798827511316,65.28705465026833,842.9363801057708,5.303030303030303,False,False
300.0,0.010391442408757478,0.056714239798403475,0.018192610665421854,815.8623544389555,65.28629688067049,698.7566433211451,5.303030303030303,False,False
300.0,0.010391442408757478,0.057256167913071206,0.018366448615711607,666.9794293513531,65.28556450288028,592.4403129095404,5.303030303030303,False,False
300.0,0.010391442408757478,0.057803274375937054,0.018541947659811195,562.5250527360809,65.28488851943176,512.9153873118934,5.303030303030303,False,False
300.0,0.010391442408757478,0.0583556086682686,0.01871912367016181,487.0459744576384,65.28430355553306,452.70218003205343,5.303030303030303,False,False
300.0,0.010391442408757478,0.058913220744147524,0.01889799267087243,431.3693077852561,65.28384725761336,406.7175336035222,5.303030303030303,False,False
300.0,0.010391442408757478,0.05947616103498747,0.01907857083916904,389.79213973805736,65.28355949369549,371.46958833320514,5.303030303030303,False,False
300.0,0.010391442408757478,0.06004448045409523,0.019260874506857754,358.6408317890911,65.28348135515351,344.53393453817813,5.303030303030303,False,False
300.0,0.010391442408757478,0.06061823040127529,0.01944492016180184,335.48864009623526,65.28365396623836,324.2154786807105,5.303030303030303,False,False
300.0,0.010391442408757478,0.061197462767478714,0.019630724449412985,318.71098859206865,65.28411711514818,309.32981739949895,5.303030303030303,False,False
300.0,0.010391442408757478,0.0617822299394961,0.019818304174156674,307.2240234573805,65.28490772818935,299.06162612316876,5.303030303030303,False,False
300.0,0.010391442408757478,0.06237258480469562,0.02000767630107205,300.32812168479757,65.28605821649549,292.8735810628809,5.303030303030303,False,False
300.0,0.010391442408757478,0.0629685807558062,0.02019885795730626,297.6150775268892,65.28759473259421,290.4496082238342,5.303030303030303,False,False
300.0,0.010391442408757478,0.06357027169574643,0.020391866433663412,298.9169144179407,65.28953538157245,291.66284827433304,5.303030303030303,False,False
300.0,0.010391442408757478,0.06417771204249972,0.020586719186168483,304.2850513300402,65.29188843841459,296.5631433782969,5.303030303030303,False,False
300.0,0.010391442408757478,0.0647909567340359,0.020783433837645984,313.9954006643341,65.29465062899224,305.3821198217041,5.303030303030303,False,False
300.0,0.010391442408757478,0.06541006123327989,0.02098202817931384,328.5803592763732,65.29780553690091,318.55681116818363,5.303030303030303,False,False
300.0,0.010391442408757478,0.06603508153312798,0.021182520172392475,348.8943348943612,65.30132220159877,336.7759083725596,5.303030303030303,False,False
300.0,0.010391442408757478,0.06666607416151167,0.02138492794972918,376.2273232002349,65.30515397486697,361.0569117246587,5.303030303030303,False,False
300.0,0.010391442408757478,0.06730309618651048,0.02158926981743818,412.49408393573526,65.30923770226066,392.86882873133754,5.303030303030303,False,False
300.0,0.010391442408757478,0.06794620522151307,0.021795564256556214,460.5503730673821,65.31349329377265,434.3254987215161,5.303030303030303,False,False
300.0,0.010391442408757478,0.06859545943042795,0.022003829924713992,524.7347087877645,65.31782374324948,488.49244654969664,5.303030303030303,False,False
300.0,0.010391442408757478,0.06925091753294399,0.022214085657823655,611.8324943266498,65.32211564909359,559.8812644073811,5.303030303030303,False,False
300.0,0.010391442408757478,0.06991263880984093,0.022426350471782257,732.8788950804569,65.3262402794267,655.2599581550825,5.303030303030303,False,False
300.0,0.010391442408757478,0.07058068310835112,0.022640643564191706,906.7455711525281,65.33005521322143,785.0002605857035,5.303030303030303,False,False
300.0,0.010391442408757478,0.07125511084757202,0.022856984316094932,1167.8509338146575,65.33340657504809,965.3230532041242,5.303030303030303,False,False
300.0,0.010391442408757478,0.07193598302393066,0.02307539229372879,1584.4550443005,65.33613186523694,1221.9268175026684,5.303030303030303,False,False
300.0,0.010391442408757478,0.07262336121670027,0.023295887250293665,2308.110909398067,65.33806336972073,1595.1154351760013,5.303030303030303,False,False
