m_A_GeV,Y_h,mY_GeV,eps_tau_h_1s
0.049999999999999996,7.745302585833638e-07,1.9363256464584093e-08,0.000535881009358779
0.056752784037469015,8.033511320238824e-07,2.2796206651003828e-08,0.0005198154379569818
0.06441756992007197,8.336421557321712e-07,2.6850600927598332e-08,0.0005040950826669175
0.0731175286778481,8.651643482058975e-07,3.162933952049823e-08,0.0004887464903077794
0.08299246628814723,8.979367811792572e-07,3.726099402045347e-08,0.00047378665265148973
0.09420107031976296,9.31994498511068e-07,4.389743964593667e-08,0.00045922525527839164
0.10692345999911879,9.67376216411116e-07,5.171760608976642e-08,0.00044506645852943603
0.12136408067737893,1.0041237834100836e-06,6.093227992992818e-08,0.00043131028948558087
0.13775498921178506,1.0422819408169854e-06,7.178976875644111e-08,0.0004179537189593061
0.15635958305640626,1.0818975284086628e-06,8.458252322586749e-08,0.00040499148813207746
0.17747683298777853,1.123015577912441e-06,9.965462408191993e-08,0.0003924167389084223
0.20144608748418705,1.165664910399429e-06,1.1740931775878522e-07,0.00038022149193741873
0.22865252596366312,1.20981745124908e-06,1.383139080915115e-07,0.0003683970073179444
0.25953334851275106,1.2552990420149882e-06,1.6289598187949923e-07,0.00035693405548736855
0.29458480157330685,1.3016439838824452e-06,1.9172226735554938e-07,0.000345823119663477
0.334370152488211,1.3479342302412775e-06,2.2535448705492764e-07,0.00033505454631584244
0.37952874105478046,1.3927091484781547e-06,2.642865748886947e-07,0.0003246186562948203
0.4307862535418892,1.434050832892161e-06,3.0888469284511995e-07,0.0003074996046977901
0.48896638427146427,1.4699510854408184e-06,3.593783336519556e-07,0.00024790099904797077
0.55500407216281,1.4988978818626135e-06,4.1594721409498047e-07,0.00022192196086055944
0.6299605249474366,1.520398240190536e-06,4.788954367597944e-07,0.00020944381446097722
0.7150402724894498,1.535204195571999e-06,5.488664131643743e-07,0.00020295275425769138
0.811610523253735,1.545159669231271e-06,6.2703392382768e-07,0.00019952283578306213
0.921223134975129,1.5526892444195586e-06,7.151866266931751e-07,0.00019773995940681308
1.045639552591273,1.5601790162817484e-06,8.156924442735698e-07,0.00019680383604686719
1.186859114184965,1.5694992810863883e-06,9.313872632320651e-07,0.00019594810085958478
1.3471511798048221,1.5817137735209548e-06,1.0654037880561458e-06,0.00019417589572990167
1.5290915994656933,1.5969845068497985e-06,1.220967796950445e-06,0.0001914943129981495
1.7356041063596916,1.6146430778231816e-06,1.4011905780875825e-06,0.00018755525594106522
1.9700073004555199,1.6332820305453127e-06,1.6087887619385408e-06,0.0001816278789534365
2.2360679774997894,1.6505015675600607e-06,1.8453168510171285e-06,0.000171919014782817
2.538061660402914,1.6610173408638022e-06,2.1078822150554075e-06,0.00015357763315258406
2.8808413057325324,1.6482869134908692e-06,2.3742265120414408e-06,0.00011674327198619305
3.2699152894091736,1.555295971165927e-06,2.5428430378359772e-06,0.00010704634161666877
3.711535924813137,1.26140847790279e-06,2.340881440800032e-06,0.00014784166518068469
4.212799935764557,8.719949110774225e-07,1.836770052686993e-06,0.0001600154730074357
4.781762498950186,7.066626779464092e-07,1.6895465464059259e-06,0.00014369651775298262
5.427566688427759,6.869675116498149e-07,1.864280991131322e-06,0.00012197500752134441
6.160590402346034,7.006892559939167e-07,2.1583297527515534e-06,0.00011252422194945302
6.9926131329529735,7.184276186792518e-07,2.5118432007263335e-06,0.00010911821481242476
7.9370052598409995,7.358242490280603e-07,2.9201204674271338e-06,9.996754401853508e-05
9.008942908320234,7.526747686349445e-07,3.3904020095826784e-06,9.168471365855205e-05
10.225651825635733,7.692803813710099e-07,3.93319666809611e-06,8.676311257280901e-05
11.606684194053106,7.859419171476715e-07,4.561089813600837e-06,8.368228640407196e-05
13.17423282912403,8.028519286041145e-07,5.288479117370933e-06,8.157835646728083e-05
14.953487812212204,8.200798310068244e-07,6.1315268790007965e-06,7.984120354071585e-05
16.973041288268096,8.376221985595168e-07,7.108498080060288e-06,7.084248043875329e-05
19.265346933842476,8.554850431315106e-07,8.240608076320873e-06,6.931580671940461e-05
21.86724147886555,8.737554500638045e-07,9.553310710010033e-06,6.777724174168304e-05
24.820536662904843,8.926314476566231e-07,1.1077795786511519e-05,6.616585989146961e-05
28.172691138478395,9.124064643875875e-07,1.2852472756971296e-05,6.453544133656308e-05
31.97757311872765,9.334211234562788e-07,1.4924271112944032e-05,6.289426906884916e-05
36.296326024990485,9.560068514802543e-07,1.7349768181725986e-05,6.12445548454121e-05
41.198351044997054,9.804442142988786e-07,2.019634246036076e-05,5.9590616925227216e-05
46.762422391131054,1.0069398995164555e-06,2.3543474451835775e-05,5.6268480881200945e-05
53.07795318065536,1.0356210553629084e-06,2.7484322944726675e-05,5.465547659302296e-05
60.246432280252485,1.0665475137894594e-06,3.212784128159416e-05,5.306224344497528e-05
68.38305520458347,1.0997305592875406e-06,3.7601467772963676e-05,5.1493979180410734e-05
77.61857527696091,1.1351489863603797e-06,4.40543235241895e-05,4.99549471509099e-05
88.10140479978796,1.1727638523298632e-06,5.1661071444336015e-05,4.844844997547195e-05
100.0,1.212532058994749e-06,6.062660294973745e-05,4.697690404609947e-05
